Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4YyTSL5nlHICPyX50Gc4aZ,"Glacier 3000","Glacier 3000","Teho",2021-05-13,329240,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-05-16T13:48:37Z,"melodic techno,melodic house,minimal techno","Cercle Records",0.562,0.67,5,-10.301,0,0.0374,0.0259,0.185,0.052,0.458,122.014,4
spotify:track:40tPP3K10yMZxwnT65REKj,"Inner Light","Inner Light","Elderbrook;Bob Moses",2021-07-30,257985,70,false,31ppgaxjpcjfzij6qyljry4drlui,2022-05-16T13:48:43Z,"","Parlophone UK",0.651,0.709,4,-7.842,1,0.037,0.00461,0.00744,0.0771,0.126,121.02,4
spotify:track:74cvkvTVxAXCew97vBnYiy,"Notorious","Notorious","Malaa",2016-08-24,271219,2,true,31ppgaxjpcjfzij6qyljry4drlui,2022-05-16T13:48:50Z,"g-house,bass house,future house","Confession",0.813,0.569,2,-6.068,1,0.0468,0.0508,0.0016,0.056,0.18,123.028,4
spotify:track:7u6f174xl25TOBHA2HpFHO,"Moth To A Flame (with The Weeknd, Chris Lake) - Chris Lake Remix","Moth To A Flame","Swedish House Mafia;The Weeknd;Chris Lake",2022-01-04,278120,39,false,31ppgaxjpcjfzij6qyljry4drlui,2022-05-16T13:48:55Z,"edm,tech house,house,bass house","Republic Records",0.587,0.892,10,-6.385,0,0.0415,0.00467,0.276,0.0703,0.285,126.017,4
spotify:track:3i9Tr3Vp2gjT8EsVKGt1N3,"California - Chris Lake & Matroda Remix","California","SNBRN;Kaleena Zanders;Chris Lake;Matroda",2015-05-11,305816,41,false,31ppgaxjpcjfzij6qyljry4drlui,2022-05-16T13:49:20Z,"tech house,house,bass house,g-house,electro house","Ultra Records, LLC",0.783,0.81,10,-4.041,0,0.0794,0.0226,0.257,0.119,0.38,124.028,4
spotify:track:4KEWUPMhM8b51N0S3nWqQH,"The Mad Elephant - Thomas Klipps Remix","The Mad Elephant EP","Flo Slim;Ken Bischof;Thomas Klipps",2019-05-15,344000,5,false,31ppgaxjpcjfzij6qyljry4drlui,2022-05-16T13:49:40Z,"minimal techno","Music4Aliens",0.807,0.589,7,-12.038,1,0.0533,0.00135,0.911,0.0681,0.344,124.996,4
spotify:track:1rPVM1ESP2PLePAovWO5zs,"Pain And Pleasure","Pain And Pleasure","Black V Neck;Dipzy",2021-08-20,199047,39,false,31ppgaxjpcjfzij6qyljry4drlui,2022-05-16T13:49:55Z,"tech house,latin house,bass house","Sink or Swim",0.786,0.872,7,-5.136,1,0.0533,0.00652,0.8,0.104,0.221,126.006,4
spotify:track:5gx7iehGnlJZbogyzw7RI6,"Si Tu Sabe","Si Tu Sabe","Black V Neck;Dipzy",2021-09-03,205440,32,false,31ppgaxjpcjfzij6qyljry4drlui,2022-05-16T13:50:04Z,"tech house,latin house,bass house","Sink or Swim",0.765,0.911,7,-5.896,1,0.0577,0.0034,0.0217,0.0876,0.552,125.029,4
spotify:track:7Fbx8mVJy36dsVq9IYTRXu,"Sextacy","Sextacy","SIDEPIECE",2022-01-14,153600,50,false,31ppgaxjpcjfzij6qyljry4drlui,2022-05-16T13:50:10Z,"tech house,edm,house","FFRR",0.809,0.953,1,-4.793,0,0.048,0.00439,0.312,0.312,0.873,125.008,4
spotify:track:45S42zApcTk5rUqezA1YO9,"Super Cute - Black V Neck Remix","Super Cute - Black V Neck Remix","VOLAC;Black V Neck;Stace Cadet",2020-06-08,246684,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-05-16T13:50:15Z,"g-house,bass house,tech house","Insomniac Records",0.801,0.937,1,-3.121,1,0.0589,0.00203,0.879,0.0625,0.585,126.041,4
