Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:34sGnIHB3ZthMvHpNX1i7e,"Day 'N' Nite - Crookers Remix","Man On The Moon: The End Of Day (Int'l Version)","Kid Cudi;Crookers",2009-01-01,281746,69,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"italian trap","Kid Cudi/Universal Records",0.757,0.706,11,-4.744,0,0.0462,0.0326,0.0497,0.0552,0.962,129.993,4
spotify:track:5Nh5qrvpfJnv5ZBsWDAtiD,"Life Forms","Life Forms","Dualist Inquiry",2019-11-15,343451,3,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"indian indie,hindi indie","Dualist Inquiry",0.596,0.766,2,-9.894,1,0.0491,0.00164,0.599,0.361,0.62,129.013,4
spotify:track:0OOT6JmtkcYidsuQ9Fh54i,"Weightless - jamesjamesjames Remix","Weightless (jamesjamesjames Remix)","Ben Böhmer;Panama;jamesjamesjames",2021-04-09,249779,1,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"melodic house,melodic techno,progressive house,deep house,lo-fi house","Future Classic",0.688,0.814,6,-7.252,0,0.0419,0.43,0.581,0.399,0.0961,127.99,4
spotify:track:5LT8hO0Z9Y1nlCJ7nfuSJi,"Generate - Radio Edit","Generate (Radio Edit)","Eric Prydz",2015-06-08,165076,60,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"","Virgin Records Ltd",0.603,0.826,11,-5.072,1,0.0274,0.00755,0.0000554,0.119,0.598,127.026,4
spotify:track:57p8CBvPOxrvyCbn6ttl5r,"Would You Ever","Would You Ever","Skrillex;Poo Bear",2017-07-26,234285,60,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"dubstep,edm,electro,electronic","OWSLA/Atlantic",0.653,0.91,10,-3.36,1,0.0566,0.0079,0,0.318,0.0921,126.047,4
spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff,"Call on Me - Radio Mix","Call on Me (Radio Mix)","Eric Prydz",2004-09-10,171360,81,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"","Pryda Presents",0.597,0.837,10,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342,4
spotify:track:0noVd1VU93X8TEZMmpR3yN,"Pjanoo - Club Mix","Pjanoo","Eric Prydz",2008-08-29,450912,53,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"","Pryda Presents",0.663,0.624,7,-6.923,0,0.0324,0.000939,0.888,0.0666,0.63,126.024,4
spotify:track:6pTDjJzSJaciuxfx9lW8hg,"Calypso","Say What?!","Round Table Knights",2011-02-27,226640,1,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"tech house","Made To Play",0.678,0.587,11,-6.756,1,0.42,0.00782,0.941,0.543,0.182,126.01,4
spotify:track:15PdA8p8usmrc4lWbZmm7H,"Allein","Eric Prydz Presents Pryda","Pryda",2012-01-01,335946,52,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"progressive house","Virgin",0.556,0.813,7,-5.456,0,0.0939,0.00686,0.825,0.194,0.325,125.98,4
spotify:track:6ho0GyrWZN3mhi9zVRW7xi,"Losing It","Losing It","FISHER",2018-07-13,248035,75,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"tech house,house","Fisher - Follow the FISH, LLC",0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,4
spotify:track:0L6FTymykfZ32iUglV83Wy,"Shooting Stars - Siriusmo Remix","Bag Raiders (Deluxe)","Bag Raiders",2011-01-01,337386,16,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"alternative dance","Modular",0.611,0.823,8,-5.141,0,0.0556,0.0168,0.0113,0.037,0.529,124.867,4
spotify:track:3v2oAQomhOcYCPPHafS3KV,"Opus","Opus","Eric Prydz",2016-02-05,543453,65,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"","Virgin Records Ltd",0.275,0.721,6,-6.222,0,0.0359,0.000702,0.821,0.0792,0.184,125.156,4
spotify:track:20on25jryn53hWghthWWW3,"Do It To It","Do It To It","ACRAZE;Cherish",2021-08-20,157890,22,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"tech house","Thrive Music, LLC",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,4
spotify:track:5YXqDxHGDwdiYpQ2P5IKzL,"Gecko","Gecko (Overdrive) [Remix Bundle]","Oliver Heldens",2014-06-20,166099,37,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"future house,house","Musical Freedom / FFRR",0.791,0.827,0,-6.647,1,0.0608,0.105,0.906,0.227,0.478,125.039,4
spotify:track:2RhKxrhti1jd1Krzh968Cb,"Intoxicated - Radio Edit","Intoxicated (Radio Edit)","Martin Solveig;Good Times Ahead",2015-02-23,158280,3,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"french house","Spinnin' Deep",0.796,0.607,0,-6.114,1,0.0409,0.00565,0.00231,0.0716,0.566,125.053,4
spotify:track:4CdqIjNJCJ35WZDJ4oMZg2,"Nacho","Gaya EP","Anyasa;Bawari Basanti",2021-08-12,251636,34,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"melodic house,melodic techno,indian indie,hindi indie","Anjunadeep",0.592,0.701,2,-8.22,0,0.0366,0.0326,0.0298,0.0895,0.118,125.006,4
spotify:track:5EEhXlG2oUjNEycxDEsdk0,"Redemption","Butterflies","Boris Brejcha",2019-08-30,533760,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"minimal techno,techno,melodic techno,tech house","Ultra Records",0.809,0.691,7,-9.68,1,0.0648,0.0133,0.908,0.113,0.383,125.008,4
spotify:track:0pJDnLRe38vYS1zAhpsESV,"Children - Edit Mix","Children","Tinlicker;Robert Miles",2020-09-25,245927,27,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"melodic house,progressive house,melodic techno,trance,eurodance","Smilax Records",0.638,0.907,5,-9.357,0,0.0424,0.0208,0.855,0.107,0.0362,124.007,4
spotify:track:0gwNGHcBRYtF7mvgUczVo1,"Return to Oz - ARTBAT Remix","Return to Oz (ARTBAT Remix)","Monolink;ARTBAT",2019-08-09,480000,62,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"melodic techno,melodic house,techno,progressive house","RCA Records Label",0.854,0.93,2,-7.528,1,0.0439,0.563,0.697,0.0815,0.192,123.998,4
spotify:track:5zdkUzguZYAfBH9fnWn3Zl,"Need U (100%) (feat. A*M*E) - Radio Edit","Need U (100%) (feat. A*M*E) [Remixes]","Duke Dumont;A*M*E",2013-03-29,174121,61,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"house","EMI",0.67,0.848,0,-5.103,0,0.0538,0.00172,0.00168,0.385,0.457,124.031,4
spotify:track:1qcO2tm6KaxIW3aAvy9z2J,"Gloves","Gloves","Emrod",2017-05-12,251612,42,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"","Inside Records",0.574,0.704,1,-10.354,1,0.254,0.114,0.884,0.109,0.159,122.065,4
spotify:track:5D1zGVDJTOqwaGSzYw5TtP,"Red Light Green Light - For Club Play Only, Pt. 6","Red Light Green Light (For Club Play Only, Pt. 6)","Duke Dumont;Shaun Ross",2019-02-22,211208,61,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"house","EMI",0.811,0.825,2,-5.48,1,0.0654,0.000646,0.517,0.0689,0.95,124.005,4
spotify:track:0OWMb0mr5PZvb8VoI8qNTq,"Fill Me In","Fill Me In","Loud Luxury;Ryan Shepherd",2017-02-03,219855,55,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"","AFTR:HRS",0.745,0.704,8,-7.306,0,0.0418,0.0516,0.000683,0.153,0.393,124.02,4
spotify:track:7Mqdzo9NcZLUwTAoyV2AeE,"Horizon","Horizon","ARTBAT",2021-11-05,464516,57,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"melodic techno,melodic house,techno,progressive house","UPPERGROUND",0.647,0.66,5,-10.309,0,0.0405,0.0331,0.914,0.665,0.0174,124.023,4
spotify:track:4cTIFTmacy3vyi5A5F3YeD,"Along Came Polly - Original Mix","Along Came Polly","Rebūke",2018-12-07,389038,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"melodic techno,techno,tech house","Hot Creations",0.825,0.595,0,-9.393,1,0.0669,0.00107,0.94,0.0578,0.0781,124.003,4
spotify:track:7LihoPgTF9hnxMh9lRTNkA,"Jennesys","Jennesys","Emrod",2017-03-10,240000,60,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"","Inside Records",0.646,0.83,0,-8.398,1,0.0395,0.21,0.836,0.115,0.137,124.009,4
spotify:track:6VbUiTe3uV9kHBXks9yICD,"No End in Sight / Outro","Little by Little","Lane 8",2018-01-19,439354,39,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"melodic house,progressive house,deep house","This Never Happened",0.579,0.623,0,-11.025,0,0.0371,0.448,0.908,0.118,0.0656,123.967,4
spotify:track:4eE4vEaakr3ZnSt1UNfOhz,"Tango","Tango","Emrod",2018-06-29,240000,55,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"","Inside Records",0.638,0.944,2,-9.382,1,0.0351,0.0118,0.787,0.334,0.154,124.004,4
spotify:track:7LPJToaDzRKgxpBQT7LnhD,"Reincarnation","Watergate 27 EP #2","Pablo Fierro",2020-11-30,401812,40,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"afro house,afro tech,tribal house,latin house,deep house,organic house","Watergate Records",0.79,0.872,2,-12.466,1,0.0465,0.077,0.875,0.0708,0.12,124.012,4
spotify:track:1FUNbwPOfV2D3Juv1eoXZZ,"Strangers","Begin Again","Ben Böhmer",2021-09-24,271770,55,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"melodic house,melodic techno,progressive house,deep house","Anjunadeep",0.551,0.881,8,-9.562,1,0.0338,0.0117,0.835,0.202,0.225,123.007,4
spotify:track:5tf1VVWniHgryyumXyJM7w,"Sugar (feat. Francesco Yates)","Sugar","Robin Schulz;Francesco Yates",2015-09-25,219043,83,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"tropical house","Tonspiel",0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,4
spotify:track:4rERaNiKlILD603GJvdEvm,"Cappadocia","Cappadocia","Ben Böhmer;Romain Garcia",2020-09-10,282063,2,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"melodic house,melodic techno,progressive house,deep house","Cercle Records",0.349,0.685,8,-9.281,1,0.0421,0.0037,0.893,0.122,0.277,123.025,4
spotify:track:0J07ya7WC09FaQADutoBRZ,"Love Tonight (Robin Schulz Remix)","Love Tonight (Robin Schulz Remix)","Shouse;Robin Schulz",2021-09-03,184783,62,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"tropical house","Hell Beach",0.52,0.785,0,-7.816,0,0.0764,0.0319,0.000373,0.392,0.225,122.935,4
spotify:track:50EzgMX3uxJZ8T2IJm2U6R,"Vumani","Vumani","Dr Feel",2022-02-04,377982,17,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"afro tech,afro house,tribal house,3 step","Selebogo Capital Records",0.711,0.809,7,-12.304,1,0.0498,0.00000716,0.867,0.0985,0.352,123.053,4
spotify:track:7wAVCSMQa3WyFFhfGfPDNP,"Bind - Rampa Remix","Bind (Remixes)","Howling;Rampa;RY X;Frank Wiedemann",2020-09-01,378536,44,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"afro house,afro tech,house,melodic house,indie folk","Counter Records",0.673,0.745,1,-12.584,1,0.0488,0.191,0.876,0.103,0.223,123.007,4
spotify:track:0uKKDJ3L2ayyhrrhT4iI9v,"Nova","Realm Of Consciousness Pt. III","Tale Of Us",2018-06-29,442525,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-26T10:12:17Z,"melodic techno,techno,melodic house,minimal techno","Afterlife",0.746,0.394,8,-18.059,1,0.0718,0.504,0.914,0.104,0.069,123.001,4
