Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:34I05taqvZpXqjgtGQJmMv,"Nagan","The Collection 2014-2019","Cain",2019-03-29,366082,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-12-31T14:56:43Z,"uk funky","Highlife",0.737,0.541,2,-15.145,1,0.0517,0.000324,0.469,0.0807,0.112,118.013,4
spotify:track:6BgHJll6fCYkbBaW52FACV,"Sauda","Sauda","Tech Panda;Kenzani",2020-10-30,277000,32,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-12-31T14:57:35Z,"indian indie,hindi indie,desi","Groovebird Records",0.618,0.672,4,-10.848,0,0.0885,0.186,0.0195,0.0926,0.159,120.027,4
spotify:track:4BExko3OEVRa3RI50gpFgA,"Huzur (Reprise)","Bazaar","Rusha & Blizza",2022-08-21,296092,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-12-31T14:58:51Z,"indian indie,hindi indie","Alfa Records Pvt Ltd",0.641,0.475,11,-15.918,0,0.0413,0.385,0.0646,0.0771,0.0399,106.938,4
spotify:track:7Ld5wfPhqTC1pKpFA7drFF,"Payal","Better Future Frequencies","Rusha & Blizza",2021-12-24,177710,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-12-31T15:00:40Z,"indian indie,hindi indie","Alfa Records",0.701,0.447,9,-10.154,0,0.299,0.669,0.0012,0.05,0.0947,104.002,4
spotify:track:5BSvhNwi8Gl3LXG4ispGEz,"Diamonds And Pearls","Feel The Balance","Krawall",2017-07-14,399024,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-12-31T15:07:41Z,"","Moonbootique",0.718,0.526,6,-9.571,0,0.199,0.385,0.804,0.209,0.172,123.032,4
spotify:track:4IQqOlTZpfjnSTOArpZX5j,"BIBA","OFIVE1","Farasat Anees;Slick Trick;Toshi",2020-09-03,216216,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-12-31T15:10:31Z,"qawwali,desi hip hop,sufi,indian indie,desi,desi pop,hindi indie","Farasat Anees Music",0.758,0.573,6,-6.221,0,0.0428,0.0888,0.000677,0.0834,0.284,110.983,4
spotify:track:4CdqIjNJCJ35WZDJ4oMZg2,"Nacho","Gaya EP","Anyasa;Bawari Basanti",2021-08-12,251636,34,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-12-31T15:12:21Z,"melodic house,melodic techno,indian indie,hindi indie","Anjunadeep",0.592,0.701,2,-8.22,0,0.0366,0.0326,0.0298,0.0895,0.118,125.006,4
spotify:track:6SfviJFBzLjAZIegHY9QRi,"Rasiya","Rasiya","Anyasa;Isheeta Chakrvarty",2021-07-28,228865,33,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-12-31T15:12:40Z,"melodic house,melodic techno,indian indie","Anjunadeep",0.556,0.572,6,-10.49,0,0.0387,0.216,0.367,0.143,0.312,121.967,4
spotify:track:0c3uCMUogjcZketGoFT00v,"O Mera Dil - Auztin Pauers & Ezrael Remix","African Paradigm EP II","Mr Raoul K;Auztin Pauers;Ezrael",2020-02-07,352773,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-12-31T15:19:08Z,"afro tech,tribal house,afro house,funky house","Compost Records",0.737,0.622,5,-9.276,0,0.0404,0.0582,0.338,0.0594,0.0474,120.026,4
spotify:track:7CcDvPdBgvgAbJ8ZufASAp,"Arambol","Bloom","Fake Tattoos",2019-09-25,228208,27,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-12-31T15:21:39Z,"","Golden Moon Recordings",0.709,0.848,2,-6.175,0,0.0285,0.339,0.859,0.0844,0.419,119.974,4
