Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:771iBy6S4Rc6QZzgoz4DGG,"Views","Views","Else",2020-06-10,176250,45,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:45:45Z,"french house","L’ordre Music",0.771,0.618,1,-7.454,1,0.0451,0.252,0.323,0.0947,0.432,127.99,4
spotify:track:3EEck47Jgp4kuWrFZ1JdoM,"Hold Me - Sped Up","Hold Me: The Edits","Lavern",2023-03-31,118018,45,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:46:04Z,"stutter house","Island Records",0.649,0.97,0,-7.854,0,0.0466,0.614,0.901,0.075,0.0667,142.309,4
spotify:track:06r5aMZ8cT6wZXcEyqOLH4,"Lone Raver","Lone Raver","Barry Can't Swim",2021-05-14,257299,50,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:46:20Z,"jazz house","Shall Not Fade",0.731,0.602,8,-12.526,1,0.0526,0.496,0.584,0.0916,0.194,128.065,4
spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,"Ain't No Sunshine","Just As I Am","Bill Withers",1971-05-01,126458,85,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:46:36Z,"soul","Columbia/Legacy",0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,4
spotify:track:5XXdHWkkprtfG8DxBARihy,"Drinkee - Vintage Culture & John Summit Remix","Drinkee (Vintage Culture & John Summit Remix)","SOFI TUKKER;John Summit;Vintage Culture",2021-07-23,205161,50,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:46:59Z,"house,tech house,brazilian bass,electronic,electro","Ultra Records, LLC",0.742,0.728,11,-6.404,0,0.046,0.0203,0.738,0.0776,0.373,124.003,4
spotify:track:62Ab6Y6zPJAh09rnokdXuD,"80 Four Thousand Six Hundred (Intro)","The 80 Loafs LP","Casket D.",2015-10-18,65252,33,true,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:47:09Z,"","Money Green Bosses",0,0.433,3,-16.386,0,0,0.946,0.00026,0.097,0,0,0
spotify:track:7FUAmnaXMsy304OxOahUPu,"Jhana","Jhana","Spiritual Moment",2023-06-02,153004,47,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:47:37Z,"","Jordan S. Mompo",0.174,0.0637,2,-29.35,0,0.0416,0.959,0.963,0.131,0.0384,82.91,4
spotify:track:5L4b2x1cOkKd2Br37vIxDz,"Still Hot","Still Hot","Nic D;Connor Price",2023-06-09,130804,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:47:48Z,"","FRDi Entertainment",0.91,0.597,11,-4.782,0,0.155,0.0212,0,0.175,0.75,90.05,4
spotify:track:6me7F0aaZjwDo6RJ5MrfBD,"Evergreen","RMCM","Richy Mitch & The Coal Miners",2017-05-17,87000,83,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:48:02Z,"","Richy Mitch & The Coal Miners",0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,3
spotify:track:6a1S5sL9K0ojF4mQJ4LOsL,"Kaise","Sutra","Rusha & Blizza",2020-10-16,160013,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:48:11Z,"indian indie,hindi indie","Alfa Records",0.75,0.367,2,-11.151,0,0.282,0.294,0.0488,0.29,0.196,96.009,4
spotify:track:3lYJLJUJiBQQLSGRmrM1jS,"3 Letters","3 Letters","Agoria;Blasé",2020-05-29,176283,44,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:48:22Z,"","Sapiens Recordings",0.763,0.564,11,-7.788,0,0.0298,0.0294,0.048,0.29,0.337,112.989,4
spotify:track:2ouFrmMwYik8nQX2n9SeZu,"On My Knees","Surrender","RÜFÜS DU SOL",2021-10-21,261001,77,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:48:34Z,"","Rose Avenue/Reprise",0.683,0.571,1,-7.721,1,0.0286,0.0335,0.0616,0.0957,0.29,120.044,4
spotify:track:0sDL6c7BZGffS71ICuJqF4,"Next to Me","Next to Me","RÜFÜS DU SOL",2021-08-11,314389,54,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:48:44Z,"","Rose Avenue/Reprise",0.638,0.609,7,-7.332,1,0.0295,0.112,0.127,0.115,0.31,117.981,4
spotify:track:77ejm2NZIATDQnZW0wi2Pn,"Raiva","Harmonia","Trikk;MEUTE",2025-04-25,270317,29,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:48:50Z,"melodic techno,melodic house,indie dance,brass band","Innervisions",0.879,0.695,6,-8.234,1,0.13,0.0687,0.95,0.0961,0.262,124.021,4
spotify:track:3eIdE2PTzeZ3FCODXmsfF9,"Sahiba","Midnight","Intense;Simiran Kaur Dhadli",2019-11-23,238707,58,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:49:09Z,"punjabi pop,punjabi hip hop,bhangra,desi","Intense Global Entertainment",0.747,0.751,5,-3.837,0,0.0508,0.107,0.00341,0.0623,0.569,155.958,4
spotify:track:35rfoLVPIPftGJcoZzwn9T,"Discoteca","Send Return","&ME;Rampa;Adam Port;Sofie Royer",2021-11-12,385103,50,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:49:18Z,"afro house,afro tech,house,melodic house","Keinemusik",0.772,0.485,11,-14.388,0,0.0611,0.000391,0.847,0.0913,0.156,120,4
spotify:track:1mv4lh1rW1K6xhxhJmEezy,"Music Sounds Better With You - Radio Edit","Music Sounds Better With You","Stardust;Benjamin Diamond;Alan Braxe;Thomas Bangalter",1998-07-20,260906,75,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:49:26Z,"french house","Because Music",0.729,0.662,5,-7.191,0,0.337,0.00128,0.208,0.305,0.359,124.149,4
spotify:track:285pBltuF7vW8TeWk8hdRR,"Lucid Dreams","Goodbye & Good Riddance","Juice WRLD",2018-12-10,239835,84,true,22nfklp6e2bdvfz6yfb4e5zdy,2025-05-30T01:49:42Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
spotify:track:4ENHsVVbv3JeUhFakidatb,"Light up my dark - Extended Mix","Light up my dark (Extended Mix)","Monolink",2024-08-09,433977,27,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-06-10T11:45:06Z,"melodic techno,melodic house,techno","Embassy One",0.68,0.871,6,-9.071,0,0.0461,0.196,0.639,0.125,0.0685,123.019,4
