Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5Jd5pSAMBfivEWhaIo3o9k,"Out Of The Game","Half Age EP","Weval",2013-03-16,259000,35,false,wajihyassine,2020-08-02T22:42:02Z,"","Weval",0.52,0.502,5,-11.19,1,0.0284,0.332,0.765,0.0646,0.167,170.059,4
spotify:track:6tt22mkttSR6vw7J4cYGVl,"Leave You","IMPERFECTIONS VOL.1","TEE MANGO",2016-10-14,352896,0,false,wajihyassine,2020-08-02T22:42:37Z,"jazz house,nu disco,disco house","Millionhands Music",0.885,0.559,5,-8.606,0,0.0638,0.00518,0.261,0.0506,0.73,120.023,4
spotify:track:3EIBZTUU1ouuqCQA0cQunX,"Orca - Original Mix","Orca","Durante",2018-11-16,374032,0,false,wajihyassine,2020-08-02T22:43:22Z,"melodic house,progressive house,deep house","Nice Age",0.806,0.85,8,-7.316,1,0.0423,0.145,0.872,0.066,0.157,123.995,4
spotify:track:76jt4oP8Vq7nz6C7bUySAC,"Ilanga - Manoo Remix","Ilanga (Manoo Remix)","KingSfiso;Mbuso Khoza;Manoo",2017-12-15,575828,21,false,wajihyassine,2020-08-02T22:44:51Z,"afro tech,afro house,tribal house,afro soul,maskandi,afropop","MoBlack Records",0.625,0.929,1,-7.109,1,0.036,0.00000556,0.237,0.0853,0.445,125.012,4
spotify:track:1oaBvHM6G6aEkP6RAHn7UU,"Lost in My Mind","Lost in My Mind","RÜFÜS DU SOL",2018-09-05,260664,27,false,wajihyassine,2020-08-02T22:48:21Z,"","Rose Avenue/Reprise",0.575,0.827,6,-5.576,1,0.0354,0.00962,0.000682,0.104,0.286,119.969,4
spotify:track:3MEjDXwQWnDzqwRanBgFzm,"Dead End Thrills - Patrice Bäumel Remix","Dead End Thrills (Patrice Bäumel Remix)","Cubicolor;Patrice Bäumel",2017-01-13,443661,33,false,wajihyassine,2020-08-02T22:49:12Z,"melodic house,melodic techno,minimal techno,techno","Anjunadeep",0.7,0.673,7,-10.217,1,0.0374,0.28,0.24,0.102,0.143,122.008,3
spotify:track:4pqPIdNOkIQcKtQRBXEUzw,"Abiro - Da Capo's Touch","Abiro (Da Capo Remix Pack)","Kato Change;Winyo;Da Capo",2018-10-26,399360,29,false,wajihyassine,2020-08-02T22:50:34Z,"afro tech,afro house,tribal house,3 step,deep house","Aluku Records",0.608,0.923,1,-10.497,1,0.0391,0.421,0.832,0.161,0.857,124.997,4
spotify:track:0MerJvfwzXskugqueeXl5d,"Caught in a Wave","Murmurations","Simian Mobile Disco;The Deep Throat Choir",2018-05-11,403800,0,false,wajihyassine,2020-08-02T22:53:25Z,"new rave,electroclash,alternative dance,electronica","Wichita Recordings",0.618,0.628,7,-12.43,0,0.0351,0.142,0.849,0.247,0.394,124.993,4
spotify:track:5rpx047aanR0h9Rfp1wgBB,"Innerbloom","Bloom","RÜFÜS DU SOL",2016-01-22,578040,1,false,wajihyassine,2020-08-02T22:54:11Z,"","Foreign Family Collective",0.729,0.72,3,-6.69,1,0.0371,0.125,0.353,0.178,0.0388,122.015,4
spotify:track:0RMQgXHIBTsAVcaS7qahLq,"What To Do - &ME Remix","What To Do (Remixes)","Guy Gerber;&ME",2018-10-26,504590,1,false,wajihyassine,2020-08-02T22:54:33Z,"melodic house,afro house,afro tech,house","Rumors",0.904,0.727,7,-9.992,0,0.0591,0.0000654,0.86,0.0737,0.408,122.001,4
spotify:track:3g9OumM3el9S3jMBlXCIDo,"Detox Blues - H.O.S.H. Remix","Deep In Hand - Remix EP","Riva Starr;Rssll;HOSH",2013-12-16,470267,11,false,wajihyassine,2020-08-02T22:55:45Z,"tech house,melodic techno","Snatch! Records",0.81,0.563,0,-8.983,0,0.0555,0.00039,0.928,0.0621,0.159,123.003,4
spotify:track:6vkFCzPmJ3beYG0zeevdmX,"Eyes","SOLACE","RÜFÜS DU SOL",2018-10-19,230533,61,false,wajihyassine,2020-08-02T22:56:38Z,"","Rose Avenue/Reprise",0.659,0.752,3,-6.239,0,0.0312,0.0115,0.00256,0.128,0.248,124.016,4
spotify:track:39rbdZk7P5ACNrQLcvodv7,"Jol","Jol","Dena Amy",2018-10-12,356855,28,false,wajihyassine,2020-08-02T22:57:38Z,"","Club Sweat",0.675,0.868,1,-7.523,1,0.0394,0.00959,0.72,0.0614,0.153,120.007,4
spotify:track:0qEsNQefVAHZ1ASyckn8yh,"Underwater - Adam Port Remix","SOLACE REMIXES VOL. 2","RÜFÜS DU SOL;Adam Port",2018-09-28,399397,29,false,wajihyassine,2020-08-02T22:58:01Z,"afro house,house","Rose Avenue/Reprise",0.774,0.681,11,-9.813,1,0.0525,0.000298,0.785,0.0769,0.16,118.016,4
spotify:track:1Qg4Da7hw0JlpjLMWwVDU8,"Burnt","Kiasmos","Kiasmos",2014-10-27,560918,40,false,wajihyassine,2020-08-02T22:58:55Z,"","Erased Tapes",0.369,0.561,6,-11.664,0,0.0655,0.0943,0.947,0.0291,0.0294,121.907,4
