Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3MkuFR7t25mu7Iscp6GGiV,"Panic Room","Panic Room","Au/Ra;CamelPhat",2018-07-28,214482,57,false,rjbedics,2018-08-04T04:28:52Z,"melodic techno,house,progressive house,melodic house,tech house","RCA Records Label",0.577,0.883,10,-6.423,1,0.0298,0.0259,0.0706,0.118,0.255,122.987,4
spotify:track:27rG19NSuFC8tzPwmtoK1t,"The Good Life","The Good Life","BONNIE X CLYDE",2019-03-01,170625,0,false,rjbedics,2020-10-20T19:46:20Z,"","Ultra Records",0.875,0.569,7,-3.588,1,0.0426,0.00151,0.0000284,0.13,0.387,128.055,4
spotify:track:6cx06DFPPHchuUAcTxznu9,"Head & Heart (feat. MNEK)","Head & Heart (feat. MNEK)","Joel Corry;MNEK",2020-07-03,166028,77,false,rjbedics,2020-10-20T19:41:51Z,"dance pop","Atlantic Records UK",0.734,0.874,8,-3.158,1,0.0662,0.168,0.0000114,0.0489,0.905,122.953,4
spotify:track:1QKR9U1OnjOHXLKAEzRcN8,"Run","Run","Lane 8;Kasablanca",2020-07-16,230318,0,false,rjbedics,2020-10-20T17:34:23Z,"melodic house,progressive house,deep house,melodic techno","This Never Happened",0.366,0.802,5,-6.695,1,0.0357,0.0228,0.644,0.248,0.23,123.889,4
spotify:track:0WDHsTEgyvjw4EM24O0Tyd,"Love Is Killing Me","Love Is Killing Me","BONNIE X CLYDE",2020-06-26,160000,0,false,rjbedics,2020-10-20T17:31:06Z,"","Ultra Records",0.684,0.873,0,-4.94,1,0.0644,0.169,0.0000153,0.117,0.374,125.906,4
spotify:track:0E0bXojYqy5UwqjscNSPvc,"Craving","Craving","ARTY;Audien;Ellee Duke",2020-08-07,205714,35,false,rjbedics,2020-10-20T17:03:03Z,"progressive house,trance,big room,progressive trance,edm","Armada Music",0.572,0.643,6,-4.894,0,0.0424,0.331,0,0.0594,0.387,125.906,4
spotify:track:0lzwqIfqmTXRl5mpM6zSiY,"Rewind","Rewind","Krewella;Yellow Claw",2020-07-10,179014,41,true,rjbedics,2020-10-20T17:01:24Z,"edm,dubstep,edm trap","Mixed Kids Records",0.704,0.882,1,-4.297,1,0.0522,0.0493,0.0000244,0.0886,0.418,167.013,4
spotify:track:06kxa3al7bUqRRo5nAFduZ,"Nightlight","Nightlight","ILLENIUM;Annika Wells",2020-08-28,222400,53,false,rjbedics,2020-10-20T16:54:36Z,"melodic bass,future bass,edm","Warner Records",0.494,0.651,11,-4.127,0,0.0384,0.0819,0,0.104,0.162,149.979,4
spotify:track:6jreFSOTUAViWjKyzOC4Kg,"REMEDY","REMEDY","Alesso",2018-08-31,190295,65,false,rjbedics,2020-10-20T16:48:38Z,"edm","10:22 pm",0.601,0.777,0,-4.612,1,0.0471,0.269,0,0.0883,0.485,119.963,4
spotify:track:2Y8hY4rRRQQjdaZkkwzpd9,"Trap (feat. Lil Baby)","Ghetto Lenny's Love Songs","SAINt JHN;Lil Baby",2019-08-23,184699,1,true,rjbedics,2020-10-20T16:43:42Z,"","HITCO",0.791,0.839,0,-2.887,1,0.0424,0.0849,0,0.193,0.349,116.991,4
spotify:track:074x9OaRq8m4Kn3J3Qgavf,"2AM","2AM","MK;Carla Monroe",2020-07-24,182400,0,false,rjbedics,2020-10-20T16:42:57Z,"house","Ultra Records",0.632,0.868,5,-6.254,1,0.0357,0.0426,0.263,0.307,0.455,122.98,4
spotify:track:4YsMDOgS5vQf5RyZD8lR34,"Girl","Girl","KC Lights",2020-08-07,159250,39,false,rjbedics,2020-10-20T16:42:44Z,"house","Armada Music",0.628,0.917,8,-7.623,1,0.0428,0.0000843,0.213,0.179,0.261,122.976,4
spotify:track:0rohJsT6NWsThpukt0Xxdc,"Higher Ground (feat. John Martin)","Higher Ground (feat. John Martin)","Martin Garrix;John Martin",2020-05-14,206279,54,false,rjbedics,2020-10-20T16:33:06Z,"edm,progressive house,electronica","Epic Amsterdam",0.442,0.619,1,-5.28,1,0.0321,0.0841,0,0.0889,0.382,128.318,4
spotify:track:1NhCTXyj2XjiUXpjpDNoaF,"Someone Like You (feat. Gia Koka)","Someone Like You (feat. Gia Koka)","David Solomon;Gia Koka",2020-07-24,194369,35,false,rjbedics,2020-10-20T16:32:42Z,"","Payback Records/Big Beat Records",0.668,0.844,6,-3.96,1,0.0385,0.0397,0.00000293,0.186,0.618,125.972,4
spotify:track:5Rse8If81NbzXL1ARjHOTB,"Pretty Please","Pretty Please","Jackson Wang;Galantis",2020-09-04,145792,0,false,rjbedics,2020-10-20T16:31:10Z,"k-pop","88rising Music/Warner Records",0.686,0.867,6,-4.396,0,0.0449,0.0397,0.0000418,0.396,0.691,126.068,4
spotify:track:6KhgrIcQLwCps3V1ayt144,"Electric Kids","Electric Kids","Tritonal;Linney",2020-08-07,264374,0,false,rjbedics,2020-10-20T16:26:46Z,"edm,progressive house,progressive trance,melodic bass,trance","Enhanced Recordings",0.453,0.857,9,-3.806,1,0.0542,0.0883,0.0000863,0.288,0.229,128,4
spotify:track:5usaydQKInuUpnaWQVTGM0,"Imagine","Imagine","Steve Aoki;Frank Walker;AJ Mitchell",2020-07-17,225000,0,false,rjbedics,2020-10-20T16:23:18Z,"electro house,edm","Ultra Records",0.645,0.738,1,-4.92,1,0.0589,0.00334,0.000105,0.12,0.255,119.859,4
spotify:track:0zzVTGyRrWpQu8Fr28NRAv,"OK Not To Be OK","OK Not To Be OK","Marshmello;Demi Lovato",2020-09-10,159862,61,false,rjbedics,2020-10-20T16:22:47Z,"edm","Joytime Collective",0.743,0.837,1,-5.025,0,0.0649,0.0172,0,0.0743,0.263,103.072,4
spotify:track:0jT6M1tT51b1p2s8qDUUkB,"Show Me Love","Show Me Love","Above & Beyond;Armin van Buuren",2019-03-01,211655,37,false,rjbedics,2019-05-25T14:41:43Z,"trance,progressive trance,progressive house,electronica,edm","Armind",0.46,0.878,4,-5.203,0,0.0437,0.022,0.508,0.157,0.454,128.017,4
spotify:track:3rqvlBymD9Vr3BMsOhjTsi,"Feel Alive (feat. Katt Rockell) - Morgan Page Remix","Feel Alive (feat. Katt Rockell) [Morgan Page Remix]","David Solomon;Katt Rockell;Morgan Page",2019-01-25,192574,18,false,rjbedics,2019-05-25T14:39:56Z,"edm,progressive house","Payback Records/Big Beat Records",0.549,0.7,7,-4.54,1,0.0425,0.0277,0,0.6,0.158,127.978,4
spotify:track:3eLdNmnRWr9gIyBcqTSSti,"SOS - Laidback Luke Tribute Remix / Radio Edit","SOS (Laidback Luke Tribute Remix)","Avicii;Aloe Blacc;Laidback Luke",2019-05-17,164516,45,false,rjbedics,2019-05-25T14:33:46Z,"edm,big room,electro house","Pophouse Entertainment Group",0.572,0.915,5,-4.451,0,0.0625,0.0111,0,0.339,0.678,123.919,4
spotify:track:3Kuu5vASpXK8oRsxOvau6P,"Think About You","Think About You","Kygo;Valerie Broussard",2019-02-14,208566,55,false,rjbedics,2019-05-25T14:30:47Z,"tropical house","Kygo",0.673,0.596,10,-7.891,1,0.0354,0.166,0,0.11,0.19,123.969,4
spotify:track:2EdT0divbyKeaurz7KgPm1,"Remember (with ZOHARA)","Remember (with ZOHARA)","Gryffin;ZOHARA",2018-10-26,221693,42,false,rjbedics,2019-05-25T14:30:22Z,"edm,melodic bass,future bass","Darkroom",0.619,0.901,11,-4.173,0,0.0563,0.0975,0.0455,0.178,0.503,123.002,4
spotify:track:2YNVpj4AfBb3HN1QTqEcVB,"Something Strange","Something Strange","Vicetone;Haley Reinhart",2018-11-02,189579,54,false,rjbedics,2019-05-25T14:30:01Z,"edm","Monstercat",0.628,0.817,4,-4.223,1,0.0287,0.242,0.0000131,0.262,0.539,119.041,4
spotify:track:6TR0FGw4zhlGbQALN065AI,"Breathe","Breathe","CamelPhat;Cristoph;Jem Cooke",2018-11-16,194232,63,false,rjbedics,2019-05-25T14:19:49Z,"melodic techno,house,progressive house,melodic house,tech house","Ministry of Sound Recordings",0.595,0.877,9,-7.414,0,0.0442,0.00646,0.0879,0.398,0.081,125.015,4
spotify:track:169JhLk9ysWRnxgYMxJ1bl,"Mood","Mood","Zack Martino;Dyson",2019-04-19,168773,30,false,rjbedics,2019-05-25T14:18:56Z,"","Armada Music",0.82,0.775,11,-4.618,1,0.132,0.225,0,0.166,0.291,114.964,4
spotify:track:33CfD8UkDEcSdAP9j4QpUY,"All Day And Night","All Day And Night (Jax Jones & Martin Solveig Present Europa)","Jax Jones;Martin Solveig;Madison Beer;Europa",2019-03-28,169303,57,false,rjbedics,2019-05-25T14:19:26Z,"french house","Polydor Records",0.585,0.782,1,-4.101,0,0.0897,0.269,0,0.156,0.521,121.908,4
spotify:track:3C6mvZs8thvKBSI6v0xmo2,"Designs for You","Designs For You","Phantoms",2019-03-22,229360,0,false,rjbedics,2019-05-25T14:10:12Z,"","Casablanca Records (Republic Records)",0.808,0.912,4,-6.427,0,0.0697,0.0427,0.603,0.0842,0.188,124.998,4
spotify:track:1ahVFh0ViDZr8LvkEVlq3B,"No Sleep (feat. Bonn)","No Sleep (feat. Bonn)","Martin Garrix;Bonn",2019-02-21,207094,61,false,rjbedics,2019-05-25T14:06:53Z,"edm,progressive house,electronica","Epic Amsterdam",0.44,0.635,11,-6.385,1,0.0326,0.129,0,0.121,0.327,128.133,4
spotify:track:3F6TGxqTgTnpGzIXqjZduA,"So Cold","So Cold","Mahalo;DLMT;Lily Denning",2019-05-01,196112,42,true,rjbedics,2019-05-25T14:03:29Z,"future house,bass house,g-house,liquid funk,drum and bass","Armada Music",0.779,0.76,8,-6.189,0,0.0427,0.0923,0.0302,0.125,0.111,124.009,4
spotify:track:2UkF0EWfh0T90ScJzGqnD1,"White Lies","White Lies","M-22",2019-01-25,176377,47,false,rjbedics,2019-05-25T14:00:48Z,"","3Beat",0.427,0.916,4,-3.716,0,0.116,0.000156,0.00000537,0.154,0.688,123.539,4
spotify:track:4PhYoXDqSjAKYw4aSfIBJJ,"Same Things (feat. Gabrielle Current)","Same Things (feat. Gabrielle Current)","Cassian;Gabrielle Current",2019-01-31,234186,0,false,rjbedics,2019-05-25T13:56:36Z,"melodic techno,melodic house,progressive house","Rose Avenue Records",0.508,0.783,7,-7.169,1,0.0359,0.12,0.0018,0.523,0.269,120.898,4
