Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3kGuBGbtrmnM8slvu2P7sl,"Rising Hope - Original Mix","Ananda","Kos:mo;Alchemiah",2024-04-05,344558,34,false,ysavu79aoc02ohhl4fr3rru9b,2024-04-08T08:49:52Z,"techno,acid techno","1605",0.74,0.904,7,-6.293,1,0.0453,0.00229,0.859,0.104,0.0955,136.01,4
spotify:track:35HQ8UIdKXQ734cCu7Azwk,"All These Girls","All These Girls","Brandew",2025-08-22,155147,18,false,ysavu79aoc02ohhl4fr3rru9b,2026-04-22T19:07:02Z,"tech house","BDW",0.689,0.902,6,-5.652,0,0.0736,0.0345,0.886,0.685,0.398,140.03,4
spotify:track:0njhp6C7W3wott03UlOXvv,"Technocolor","Technocolor","LOVESLAP",2026-04-24,151248,32,false,ysavu79aoc02ohhl4fr3rru9b,2026-04-29T14:08:52Z,"bass house","Pyro Records",0.724,0.95,1,-3.747,0,0.0602,0.00258,0.0831,0.251,0.262,142.972,4
spotify:track:58BCTpXieIjzlbVmWUbnre,"Twist It","Twist It","DI SUN",2025-09-12,225882,19,false,ysavu79aoc02ohhl4fr3rru9b,2025-09-26T09:17:54Z,"techno,acid techno","IMGN",0.755,0.613,2,-7.94,1,0.0803,0.00362,0.717,0.0798,0.0851,135.996,4
spotify:track:426acnRWhYwQNnKhGEDR2F,"Reason","Reason","FREDERIC",2026-01-09,153727,43,false,ysavu79aoc02ohhl4fr3rru9b,2026-01-18T20:11:27Z,"melodic techno","VANTIQ Music",0.511,0.941,4,-4.225,0,0.0325,0.00305,0.00953,0.0748,0.136,131.94,4
spotify:track:2JNvrdPDKqIVWdFBnTHBQK,"Bass Dominion","Lumora","Maurice Burgbacher",2025-09-26,213682,12,false,ysavu79aoc02ohhl4fr3rru9b,2025-10-21T13:40:32Z,"melodic techno,techno","Hapoi Music",0.633,0.972,10,-4.184,0,0.0341,0.0234,0.523,0.302,0.113,154.997,4
spotify:track:2QS9Gu0xSQI2EPgp7SRQfw,"Resistenza","Resistenza","Christian Bonori",2025-08-18,280462,13,false,ysavu79aoc02ohhl4fr3rru9b,2025-09-06T08:30:50Z,"","Deeplyunderground",0.586,0.662,7,-12.285,0,0.0303,0.00412,0.799,0.112,0.178,140.003,4
spotify:track:2eZdPRJZgcKNjFzgvN1jOV,"I Just Wanna","I Just Wanna","Brandew",2026-01-16,137151,17,false,ysavu79aoc02ohhl4fr3rru9b,2026-03-08T11:23:17Z,"tech house","BDW",0.69,0.674,1,-6.413,1,0.0566,0.0269,0.000504,0.0853,0.319,140.035,4
spotify:track:6rm4R8bL7mvwzJpXokFMsm,"Game Over","Game Over","MØÐUL8",2025-06-09,396022,25,false,ysavu79aoc02ohhl4fr3rru9b,2025-08-24T16:29:02Z,"","MØÐUL8",0.636,0.769,2,-9.175,1,0.031,0.00734,0.771,0.156,0.0366,131.999,4
spotify:track:6o00yrlRu4rocPOVHlkzxI,"Acid Story","Acid Story","Herr Krank",2024-08-16,285355,15,false,ysavu79aoc02ohhl4fr3rru9b,2024-08-26T16:37:09Z,"jazz house,acid house,disco house,hard house","House Hats Records",0.739,0.966,7,-4.032,1,0.0353,0.00265,0.863,0.0865,0.96,135.001,4
spotify:track:5mihYsMvUoK8jiFKPvd5Bc,"Jusqu'à ce que l'after nous sépare","Jusqu'à ce que l'after nous sépare","Nass-T",2025-07-21,305678,10,false,ysavu79aoc02ohhl4fr3rru9b,2025-07-25T06:49:52Z,"techengue","Nass-T",0.642,0.745,1,-4.841,1,0.0426,0.00143,0.664,0.0458,0.643,146.987,4
spotify:track:43Xhugn9iMHNDMSTLprCVV,"Between Us","Between Us","K3SS;BRAVVN",2025-07-11,192656,21,false,ysavu79aoc02ohhl4fr3rru9b,2025-07-22T15:06:52Z,"progressive trance,melodic techno,liquid funk,drum and bass","A Tribute To Life",0.529,0.932,5,-6.484,0,0.0404,0.211,0.561,0.179,0.191,127.998,4
spotify:track:1BUWGidE5yL51VzKRufbTH,"Fated","Fated","Hools",2025-01-17,353333,6,false,ysavu79aoc02ohhl4fr3rru9b,2025-07-22T07:17:54Z,"melodic techno,progressive house,melodic house","23:59",0.631,0.77,1,-8.823,1,0.0341,0.00128,0.826,0.111,0.115,126.007,4
spotify:track:4QQr98EVeKuxr9HsZXq7qY,"O!ZO","O!ZO","Dimi Drumpad",2025-08-15,260567,8,false,ysavu79aoc02ohhl4fr3rru9b,2025-08-24T16:36:41Z,"","Psyndicate Rec",0.385,0.787,0,-7.746,1,0.0516,0.00258,0.81,0.107,0.58,145.246,4
spotify:track:6BtjjM1F4Pj0xl9dtAIRHe,"Sand","Sand","Reeon",2025-07-11,367598,3,false,ysavu79aoc02ohhl4fr3rru9b,2025-07-22T07:16:57Z,"techno,acid techno","iM Electronica",0.88,0.573,5,-8.031,0,0.0717,0.00295,0.777,0.0828,0.181,128.007,4
spotify:track:1gxKXXeFgMmHDw1htuMDYz,"Not Over","Not Over","Ocean",2025-07-03,288000,17,false,ysavu79aoc02ohhl4fr3rru9b,2025-07-22T07:16:56Z,"hard house","Salt Water",0.699,0.68,0,-12.485,0,0.0541,0.0105,0.906,0.0551,0.728,139.976,4
spotify:track:61AMpQIi9N3WUueGcoESHg,"Fight the Dark","Fight the Dark","H-Tech",2025-05-30,235448,9,false,ysavu79aoc02ohhl4fr3rru9b,2025-06-06T12:08:52Z,"","G-Mafia Records",0.683,0.997,11,-4.036,1,0.0479,0.0111,0.659,0.0634,0.528,144.996,4
spotify:track:1e4PqdkFejyFK7seWuuXyv,"Unsaved Progress","Unsaved Progress","Nass-T",2025-05-21,398367,1,false,ysavu79aoc02ohhl4fr3rru9b,2025-05-25T08:23:50Z,"techengue","Nass-T",0.519,0.828,11,-6.289,0,0.0373,0.005,0.674,0.11,0.106,146.992,4
spotify:track:2o7qZ7neP01X3dYMiHfk2H,"Coercion","Coercion","Aali Rehman",2025-05-08,491456,4,false,ysavu79aoc02ohhl4fr3rru9b,2025-05-14T13:54:50Z,"minimal techno,melodic techno","Integrate Records",0.803,0.736,11,-11.362,0,0.0462,0.00832,0.926,0.074,0.477,127,4
spotify:track:4tWy0nX8wqvV17543dmy9C,"Surrender","Surrender","Crossbow",2025-05-09,398709,16,false,ysavu79aoc02ohhl4fr3rru9b,2025-05-12T15:02:51Z,"techno,acid techno","OFF Recordings",0.703,0.892,6,-7.44,0,0.0934,0.000882,0.727,0.116,0.144,135.996,4
spotify:track:0iCIYxu3ELKnmGXkiazwu3,"Endless Space","Endless Space","Maurice Burgbacher",2025-05-02,229839,6,false,ysavu79aoc02ohhl4fr3rru9b,2025-05-04T11:01:57Z,"melodic techno,techno","Hapoi Music",0.537,0.969,9,-3.404,1,0.092,0.00254,0.742,0.399,0.0855,150.015,4
spotify:track:11NdQcj0yfhNi3ApRcy5Lg,"Sombra Guerrera","Sombra Guerrera","GMPayne",2025-04-10,267428,1,false,ysavu79aoc02ohhl4fr3rru9b,2025-05-04T11:01:07Z,"","GMPayne",0.585,0.958,2,-8.898,1,0.0505,0.00271,0.841,0.117,0.261,140.011,4
spotify:track:1h1ccXJpGiYeKjt6RRDTR3,"Fallen Light - Original Mix - Mixed","The Sound of 2025, Chapter 3: London (Night Mix)","DHM",2025-04-04,357564,4,false,ysavu79aoc02ohhl4fr3rru9b,2025-05-04T10:53:14Z,"trance","Addictive Sounds",0.346,0.99,6,-6.804,1,0.0563,0.0000291,0.919,0.101,0.227,139.981,4
spotify:track:1FVBKeYdha5YC5wAdUoEzb,"Time To Rise - Extended Mix","Time To Rise","DHM",2025-04-26,443661,4,false,ysavu79aoc02ohhl4fr3rru9b,2025-05-04T10:51:35Z,"trance","LLOKKO TRANCE CORE",0.486,0.948,10,-7.476,0,0.0319,0.0000262,0.883,0.29,0.257,141.992,4
spotify:track:7b1ygqwOxeslXRRpGVlxM8,"The Line","The Line","Bruno (HU)",2025-04-18,369375,15,false,ysavu79aoc02ohhl4fr3rru9b,2025-04-26T08:17:51Z,"minimal techno,melodic techno,techno","Enter Audio",0.799,0.984,0,-6.069,1,0.0874,0.00575,0.876,0.62,0.397,127.988,4
