Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:68GFN13nt7FkVT6p55TTON,"Never Gonna Forget (with Diplo feat. Elderbrook)","Subconsciously","Black Coffee;Diplo;Elderbrook",2021-02-05,199768,58,false,,1970-01-01T00:00:00Z,"afro house,afro tech,house,moombahton","Ultra Records, LLC",0.694,0.675,11,-9.89,0,0.0284,0.0382,0.00838,0.0858,0.455,119.96,4
spotify:track:3wlEt7tgbcyowpdlcnCwfz,"Sauti","Sauti","Francis Mercier;Faul & Wad;African Children's Choir",2024-07-19,208770,76,false,,1970-01-01T00:00:00Z,"afro house,afro tech,melodic house,house,tribal house,latin house,tropical house","Insomniac Records",0.666,0.974,2,-3.855,0,0.055,0.0314,0.253,0.322,0.227,121.984,4
spotify:track:49GpUfc9M09eGET6yBJUAj,"Gorah","Gorah","Nitefreak;Emmanuel Jal",2023-11-03,246000,72,false,,1970-01-01T00:00:00Z,"afro house,afro tech,house,tribal house","Higher Ground",0.597,0.755,1,-7.341,0,0.0336,0.000135,0.885,0.205,0.114,120.036,4
spotify:track:5Mn5EJDJvK6DpXhsxvl53r,"Imagine","Does It Matter EP","Samm (BE)",2023-04-28,376547,48,false,,1970-01-01T00:00:00Z,"afro house,afro tech,melodic house","Magnifik Music",0.694,0.527,1,-11.827,1,0.0406,0.0126,0.931,0.103,0.218,119.002,4
spotify:track:4GmpIWzcwP9Z6c9rWQGucn,"What Is Control","What Is Control","Moeaike;Ed Begley",2024-09-13,232195,55,false,,1970-01-01T00:00:00Z,"afro house,afro tech,melodic house,spoken word","All I Need",0.591,0.87,6,-6.56,1,0.0325,0.0106,0.637,0.0795,0.245,123.025,4
spotify:track:6jTbKd7VnhCt5qxyWTdak7,"Karibu","Karibu","WITH U",2024-03-29,242500,69,false,,1970-01-01T00:00:00Z,"afro house","Kontor Records",0.702,0.81,5,-9.467,0,0.0398,0.246,0.267,0.102,0.269,120.022,4
spotify:track:7wAVCSMQa3WyFFhfGfPDNP,"Bind - Rampa Remix","Bind (Remixes)","Howling;Rampa;RY X;Frank Wiedemann",2020-09-01,378536,44,false,,1970-01-01T00:00:00Z,"afro house,afro tech,house,melodic house,indie folk","Counter Records",0.673,0.745,1,-12.584,1,0.0488,0.191,0.876,0.103,0.223,123.007,4
spotify:track:2vaVwhktMuNE2jcM2j1RxJ,"Your Eyes (feat. Shekhinah)","Your Eyes (feat. Shekhinah)","Black Coffee;Shekhinah",2016-09-26,250175,50,false,,1970-01-01T00:00:00Z,"afro house,afro tech,house,afro soul,afropop,afro r&b","Ultra Records, LLC",0.59,0.531,5,-9.225,0,0.0372,0.0227,0.00000545,0.12,0.285,101.989,4
spotify:track:1evlBqxfjtUoUMLB0iCbjD,"Not The Same - Black Coffee feat. Shoba Remix","Not The Same (Black Coffee feat. Shoba Remix)","Nitefreak;Imad;Black Coffee;Clubhouse;Shoba",2024-12-06,216000,54,false,,1970-01-01T00:00:00Z,"afro house,afro tech,house,3 step","Deep Root Tribe",0.62,0.859,9,-7.503,0,0.0363,0.0041,0.00611,0.608,0.513,120.018,4
spotify:track:4qcm5unFJ5uufX7crJvf9F,"Does It Matter","Does It Matter EP","Samm (BE)",2023-04-28,310681,33,false,,1970-01-01T00:00:00Z,"afro house,afro tech,melodic house","Magnifik Music",0.777,0.775,8,-7.672,1,0.077,0.0321,0.857,0.0816,0.326,118.02,4
spotify:track:6ROCQzsL6vnmdrG3tG1Dxl,"Ulelè","Ulelè","Moeaike;Samm (BE);Ajna (BE)",2025-01-03,226115,48,false,,1970-01-01T00:00:00Z,"afro house,afro tech,melodic house,organic house","Madorasindahouse Records",0.68,0.715,10,-8.069,0,0.0365,0.0155,0.229,0.143,0.163,121,4
spotify:track:6EKfZDw2kRQ6R4Vf7olc2f,"What I Need","What I Need","Naarly;Sickluv;Thabza De Soul",2024-12-20,244026,72,false,,1970-01-01T00:00:00Z,"afro house,afro tech","Engeloop Records",0.713,0.622,11,-9.494,0,0.0406,0.351,0.0997,0.102,0.0933,119.997,4
spotify:track:6HvCOJvbEzVTmEFmv79pTf,"We Dance Again","We Dance Again","Black Coffee;Nakhane",2015-08-20,281193,59,false,,1970-01-01T00:00:00Z,"afro house,afro tech,house","Universal Music (Pty) Ltd.",0.676,0.352,7,-18.299,1,0.0482,0.171,0.58,0.111,0.489,122.017,4
spotify:track:57e5ib2PnvuiaTvaI4jGDp,"Premier Gaou - Nitefreak Remix","Premier Gaou (Nitefreak Remix)","Francis Mercier;Magic System;Nitefreak",2021-11-05,222295,69,false,,1970-01-01T00:00:00Z,"afro house,afro tech,melodic house,house,tribal house,latin house,coupé décalé","Spinnin' Deep",0.67,0.849,7,-4.806,0,0.0336,0.00117,0.0698,0.221,0.0374,122.005,4
