Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4iSsUBkriv6P5C8ncZ9Rr6,"Black Day","Amniotic","Monolink",2018-04-20,337266,49,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-04T09:03:25Z,"melodic techno,melodic house,techno","Embassy One",0.826,0.34,11,-12.945,0,0.0729,0.0757,0.057,0.082,0.0476,116.001,4
spotify:track:5ySBb2ctQ3wlSHVgphxdYh,"The Rapture","Avalon EP","&ME",2017-07-03,481396,42,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-04T12:58:05Z,"afro house,afro tech,house,melodic house","Keinemusik",0.758,0.705,7,-8.182,0,0.0809,0.00372,0.708,0.0691,0.472,120.001,4
spotify:track:1t0Jmqg1pKVBbxjQFZebeR,"Marea (we’ve lost dancing)","Marea (we’ve lost dancing)","Fred again..;The Blessed Madonna",2021-02-22,285375,68,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-04T13:06:01Z,"stutter house,house,edm","Atlantic Records UK",0.761,0.781,5,-6.778,0,0.141,0.0681,0.108,0.0607,0.473,123.023,4
spotify:track:7CcDvPdBgvgAbJ8ZufASAp,"Arambol","Bloom","Fake Tattoos",2019-09-25,228208,27,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-04T14:01:51Z,"","Golden Moon Recordings",0.709,0.848,2,-6.175,0,0.0285,0.339,0.859,0.0844,0.419,119.974,4
spotify:track:4qetR2UUyBeUrJ9DbYrpVQ,"Stop It","Oi Oi","FISHER",2017-11-10,163790,4,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-12T18:49:13Z,"tech house,house","DIRTYBIRD",0.86,0.824,8,-7.207,1,0.0518,0.024,0.657,0.205,0.87,124.016,4
spotify:track:1gRQxbfL4ULWyTosgXSbWT,"You Little Beauty","You Little Beauty","FISHER",2019-05-10,206587,67,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-12T18:49:30Z,"tech house,house","Catch & Release/Astralwerks",0.926,0.951,6,-5.531,0,0.0924,0.00232,0.452,0.313,0.918,123.987,4
spotify:track:1JvBUMCOP6r9wmsq2ew4Z5,"Sonnentanz","Deep House Study","Klangkarussell",2021-08-25,362813,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-12T18:52:47Z,"","UME - Global Clearing House",0.699,0.388,5,-10.209,0,0.129,0.327,0.912,0.0982,0.159,119.684,4
spotify:track:6Qi0Wls2EaolwPMPMxfe5f,"Sonnentanz - Sun Don't Shine","Netzwerk","Klangkarussell;Will Heard",2014-01-01,238120,75,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-12T18:57:03Z,"","Intercord",0.579,0.549,5,-8.262,0,0.0909,0.104,0.0202,0.0964,0.155,119.74,4
spotify:track:4YRvb9B8cgvhst11qk8CKn,"Sonnentanz","Netzwerk","Klangkarussell",2014-01-01,360146,61,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-12T18:57:46Z,"","Intercord",0.646,0.359,5,-10.388,0,0.155,0.247,0.914,0.0872,0.154,119.885,4
spotify:track:00TFDHSe7s8cWm5CzDY8UP,"Extreme Ways","18","Moby",2002-05-13,237640,70,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-12T19:12:23Z,"downtempo,trip hop","Mute, a BMG Company",0.504,0.777,9,-7.916,0,0.0583,0.00106,0.00109,0.12,0.549,100.006,4
spotify:track:0bXpmJyHHYPk6QBFj25bYF,"Intro","xx","The xx",2009-08-16,127920,7,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-12T19:12:46Z,"","Young Turks",0.617,0.778,9,-8.871,0,0.027,0.459,0.925,0.128,0.152,100.363,4
spotify:track:2avKuMN2QXkaG9vvHa2JLt,"Take A Look Around","Chocolate Starfish And The Hot Dog Flavored Water","Limp Bizkit",2000-10-17,321040,82,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-12T19:13:04Z,"nu metal,rap metal,alternative metal,rap rock","Interscope",0.425,0.852,11,-5.605,1,0.0461,0.0174,0.311,0.0935,0.499,101.97,4
spotify:track:4ok4NiGs5EmP9T04AEDBA9,"Umbovukazi","Hyenah presents RISE RADAR 01","Da Capo",2019-09-13,444263,42,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-04-13T16:15:46Z,"afro tech,afro house,3 step,tribal house,deep house","Rise Music",0.833,0.759,0,-8.941,1,0.149,0.017,0.856,0.0898,0.155,122.013,4
