Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4ACbff3fw2FkJ0xtJWilck,"Love","No Sign of Weakness","Burna Boy",2025-07-10,176159,63,true,ty5kkq44cnlzzvtwwob36mx4g,2025-07-11T03:59:41Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Spaceship/ Bad Habit/Atlantic Records",0.65,0.755,11,-4.549,0,0.0385,0.385,0.000755,0.117,0.805,95.038,4
spotify:track:0WsC4ETIXyiHDMXRaPMvKe,"wgft (feat. Burna Boy)","The Last Wun","Gunna;Burna Boy",2025-08-08,184440,82,true,ty5kkq44cnlzzvtwwob36mx4g,2025-09-16T16:53:20Z,"melodic rap,afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","300 Entertainment",0.713,0.413,2,-8.091,1,0.0975,0.0913,0.00688,0.141,0.377,88.503,4
spotify:track:4OGN4GO4yqtWcj4152jJz9,"TaTaTa (feat. Travis Scott)","No Sign of Weakness","Burna Boy;Travis Scott",2025-07-10,150651,43,false,ty5kkq44cnlzzvtwwob36mx4g,2025-07-11T03:59:41Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano,rap","Spaceship/ Bad Habit/Atlantic Records",0.859,0.491,10,-9.24,0,0.326,0.0536,0.00289,0.0747,0.708,124.019,4
spotify:track:53su7G6dkr0uuEPFGB6jKF,"Change Your Mind (feat. Shaboozey)","No Sign of Weakness","Burna Boy;Shaboozey",2025-07-10,148705,42,false,ty5kkq44cnlzzvtwwob36mx4g,2025-07-11T03:59:41Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Spaceship/ Bad Habit/Atlantic Records",0.701,0.709,6,-4.462,1,0.0637,0.149,0.0000348,0.0911,0.782,95.08,4
spotify:track:3z4CGd63tpUn9a6oQSG0CI,"Location (feat. Burna Boy)","PSYCHODRAMA","Dave;Burna Boy",2019-03-08,241293,24,true,ty5kkq44cnlzzvtwwob36mx4g,2025-03-28T13:01:15Z,"grime,uk grime,uk drill,drill,afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Neighbourhood [GB] / Dave",0.812,0.496,9,-5.969,0,0.297,0.271,0,0.0955,0.55,109.979,4
spotify:track:24futxi7j75kgGXiumTEn2,"Don't Let Me Drown - From F1® The Movie","Don’t Let Me Drown (From F1® The Movie)","Burna Boy;F1 The Album",2025-06-26,185590,61,false,ty5kkq44cnlzzvtwwob36mx4g,2025-06-27T04:01:26Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Atlantic Records",0.755,0.638,1,-6.817,0,0.034,0.01,0.000516,0.189,0.177,112.971,4
spotify:track:4FHlbOMdOcPnOYmfH8dl1Z,"Dem Dey","No Sign of Weakness","Burna Boy",2025-07-10,192158,53,true,ty5kkq44cnlzzvtwwob36mx4g,2025-07-11T03:59:41Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Spaceship/ Bad Habit/Atlantic Records",0.743,0.795,1,-6.176,0,0.126,0.0535,0.00138,0.109,0.587,155.993,5
spotify:track:4RoKNqyZ9622tcAeNPNv5k,"City Boys","I Told Them...","Burna Boy",2023-08-24,153346,72,true,ty5kkq44cnlzzvtwwob36mx4g,2025-03-28T13:01:15Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Spaceship/ Bad Habit/Atlantic Records",0.832,0.612,2,-7.58,0,0.141,0.065,0,0.132,0.591,100.013,4
spotify:track:3FskQrDXcY24ur2fCvz35O,"Ye","Outside","Burna Boy",2018-01-26,231618,71,true,ty5kkq44cnlzzvtwwob36mx4g,2025-03-28T13:01:15Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Bad Habit/On A Spaceship/Atlantic",0.503,0.592,5,-5.923,0,0.444,0.0181,0.00014,0.169,0.344,201.85,4
spotify:track:6xX6zmaXeKzB4u9TiM1XgU,"WE PRAY","Moon Music (Full Moon Edition)","Coldplay;Little Simz;Burna Boy;Elyanna;TINI",2024-10-03,233406,72,false,ty5kkq44cnlzzvtwwob36mx4g,2025-09-16T16:55:52Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano,latin pop","Parlophone UK",0.745,0.52,5,-7.99,0,0.0551,0.0658,0.0000957,0.0753,0.683,135.966,4
