Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
,"undefined","undefined","undefined",,,,,enrouterecords,2019-11-18T14:21:35Z,"","undefined",,,,,,,,,,,,
spotify:track:4owHe1DXBuKrDmIFfcQkPY,"With You","With You","Quentyn;Carl Louis",2024-12-06,228000,11,false,enrouterecords,2024-12-07T15:36:43Z,"synthpop,indie dance,indie electronic,french indie pop,progressive house,electropop,norwegian pop","Enroute Records",0.395,0.709,9,-7.528,0,0.0331,0.00177,0.0245,0.489,0.152,118.551,4
spotify:track:3ZbYyZUNaMmJ8JsiaC3zFp,"Wolves","Wolves","Quentyn;Josha Daniel",2024-11-08,189268,25,false,enrouterecords,2024-11-07T13:06:40Z,"synthpop,indie dance,indie electronic,french indie pop,progressive house,electropop,melodic techno","Enroute Records",0.543,0.8,6,-6.604,0,0.0398,0.0491,0.0861,0.525,0.535,123.028,4
spotify:track:3dHxz2xClaQdyh8KuZIwrr,"I Wanna Know","I Wanna Know","Quentyn",2024-08-23,224262,36,false,enrouterecords,2024-08-22T12:06:49Z,"synthpop,indie dance,indie electronic,french indie pop,progressive house,electropop","Enroute Records",0.692,0.78,6,-6.353,1,0.0496,0.00412,0.00127,0.314,0.446,122.001,4
spotify:track:0jdmosw7tgUEwgi5D6lCOq,"New Day","New Day EP","Josha Daniel",2024-04-12,194063,12,false,enrouterecords,2024-04-12T06:16:50Z,"synthpop,indie electronic,french indie pop,indie dance,melodic techno","Enroute Records",0.558,0.649,9,-9.729,1,0.0328,0.114,0.912,0.321,0.0389,122.003,4
spotify:track:5I6yXHw7f9Wh39Vs4qdAJm,"Dissolve Me","New Day EP","Josha Daniel",2024-04-12,118569,9,false,enrouterecords,2024-04-12T06:16:24Z,"synthpop,indie electronic,french indie pop,indie dance,melodic techno","Enroute Records",0.497,0.617,0,-9.91,1,0.0377,0.627,0.615,0.138,0.065,99.97,4
spotify:track:5P7QfIkTLyWIF3VYVOHzYi,"Moonlight Drive","Moonlight Drive","Josha Daniel",2024-01-12,198311,15,false,enrouterecords,2024-01-11T18:05:59Z,"synthpop,indie electronic,french indie pop,indie dance,melodic techno","Enroute Records",0.548,0.774,0,-5.941,0,0.0314,0.022,0.00489,0.228,0.695,102.923,4
spotify:track:1YSqRCTlZJaMrksUVbehOZ,"Something To Say","Something To Say","Quentyn;CASUAL",2023-06-09,210076,25,false,enrouterecords,2024-01-11T18:05:59Z,"synthpop,indie dance,indie electronic,french indie pop,progressive house,electropop","Enroute Records",0.623,0.719,5,-7.372,1,0.0328,0.115,0.00364,0.378,0.464,119.968,4
spotify:track:7B8xVAWIpDQChoQQDkwh7f,"Pullin Me In","Untouchable EP","Ivy Lane",2023-08-11,136727,19,false,enrouterecords,2024-01-11T18:05:59Z,"synthpop,indie electronic,indie dance","Enroute Records",0.542,0.868,0,-3.956,1,0.0488,0.0191,0.000621,0.281,0.771,165.086,4
spotify:track:7hw0smlcYQ3O0GSEVSvGfs,"Nobody","Nobody","Quentyn;KEV",2021-10-22,180062,11,false,enrouterecords,2024-01-11T18:05:59Z,"synthpop,indie dance,indie electronic,french indie pop,progressive house,electropop","Enroute Records",0.679,0.755,0,-5.438,1,0.063,0.231,0.0000776,0.571,0.834,105.019,4
