Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4qDBXgjpBItXeXoCLdEuS6,"Meet Me In The Dark","Meet Me In The Dark","AVE",2026-05-22,175384,23,false,spinninrecordsofficial,2026-05-21T13:16:09Z,"bass house","Spinnin' Records",0.789,0.761,10,-8.815,0,0.0602,0.0125,0.000996,0.119,0.291,130.027,4
spotify:track:50I9JvDgzGl6OQft3TwEQL,"KIN","KIN","HEDEGAARD",2026-06-19,180799,0,false,spinninrecordsofficial,2026-05-07T23:51:33Z,"g-house","OneHundred",0.503,0.699,11,-6.734,0,0.11,0.447,0.708,0.136,0.103,81.871,4
spotify:track:6HKNYBGRBvofWjSHmfkVvE,"No Sleep","No Sleep","Alexandra Stan;FAULHABER",2026-05-01,145846,53,false,spinninrecordsofficial,2026-04-30T14:30:22Z,"europop,slap house","Spinnin' Records",0.678,0.877,0,-2.201,0,0.102,0.0987,0.0000413,0.517,0.548,130.073,4
spotify:track:2ovZAk5eRSGmG6Bxx0cDN7,"Invincible (feat. Lia Knapp)","Invincible (feat. Lia Knapp)","KAAZE;Lia Knapp",2026-04-03,184615,47,false,spinninrecordsofficial,2026-04-02T16:18:25Z,"big room,progressive house,edm","Spinnin' Records",0.508,0.877,0,-4.99,1,0.042,0.00237,0.0279,0.657,0.33,130.019,4
spotify:track:1uQPMFQqh9TZAHZhAZLTgZ,"Last Night On Earth","Last Night On Earth","Cheat Codes;Jonita Gandhi",2026-03-20,177201,58,false,spinninrecordsofficial,2026-03-19T23:00:18Z,"bollywood,tamil pop,kollywood,hindi pop,desi","Spinnin' Records",0.584,0.715,0,-5.458,1,0.0469,0.11,0.00000102,0.629,0.548,128.177,4
spotify:track:3mAttc0Ojiw3xELRfVN6Ea,"That's Her (feat. Wiz Khalifa)","That's Her (feat. Wiz Khalifa)","CYRIL;Wiz Khalifa",2026-03-06,147000,54,false,spinninrecordsofficial,2026-03-06T09:03:00Z,"","Spinnin' Records",0.667,0.827,2,-7.805,1,0.0367,0.043,0.00000115,0.179,0.375,108.051,4
spotify:track:7hKhKRLA9zSPKOXr15ncVx,"Rotation","Rotation","MORTEN",2026-02-27,174701,52,false,spinninrecordsofficial,2026-02-27T00:21:48Z,"","Future Rave",0.697,0.927,11,-5.408,0,0.0356,0.0224,0.041,0.568,0.366,128.025,4
spotify:track:4vQ6ukYvUilTpbjgXaRkkE,"I Will Pray For You","I Will Pray For You","Nato Medrado",2026-03-13,167804,24,false,spinninrecordsofficial,2026-03-12T23:00:19Z,"melodic techno","CONTROVERSIA",0.747,0.867,7,-6.735,1,0.0357,0.00247,0.0406,0.213,0.483,123.013,4
,"undefined","undefined","undefined",,,,,spinninrecordsofficial,2025-05-01T12:33:40Z,"","undefined",,,,,,,,,,,,
spotify:track:4vAXBzm7TeUFZAUCo29qJn,"Stronger Than Before","Stronger Than Before","Supafly;Luvstruck;Shayan",2026-02-27,188684,48,false,spinninrecordsofficial,2026-02-27T00:00:04Z,"hard house","Spinnin' Records",0.58,0.975,5,-4.532,0,0.0844,0.121,0.0027,0.263,0.447,132.968,4
,"undefined","undefined","undefined",,,,,spinninrecordsofficial,2025-06-12T08:42:09Z,"","undefined",,,,,,,,,,,,
spotify:track:2IWHXB8dwvZR8cfdOx172B,"Eyes All Over Mine","Eyes All Over Mine","Dawty;Joshua Robbie;Preston Harris",2026-02-20,152943,39,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"afro house","Spinnin' Records",0.681,0.784,10,-6.591,0,0.0551,0.00628,0.000292,0.133,0.321,119.998,4
spotify:track:4W7h2WuFuCPDXey0LclFM1,"Begin Again (feat. Mokita)","Begin Again (feat. Mokita)","Slushii;Mokita",2026-02-06,218482,36,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"future bass","Spinnin' Records",0.493,0.805,7,-3.678,0,0.0838,0.0284,0,0.148,0.158,144.939,4
spotify:track:1Ie6i08seXm2qBYyaPyvkI,"Fluent","Fluent","Sofiloud",2026-01-30,128769,36,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"","Spinnin' Records",0.792,0.669,1,-4.57,1,0.0707,0.0235,0,0.074,0.731,130.002,4
spotify:track:6DH5mdtGpAnQaATeirJeeF,"Hard Techno Love","Hard Techno Love","VINAI;PHOROS;Church of Molly",2026-01-23,116129,28,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"melbourne bounce,slap house,big room,hard techno","Spinnin' Records",0.519,0.974,1,-1.949,1,0.13,0.000455,0.854,0.34,0.231,154.988,4
spotify:track:3OHKZwLhlW83PqLAUmkr75,"Insomnia (feat. Andy Ruiz)","Insomnia (feat. Andy Ruiz)","Daxson;Andy Ruiz",2026-01-23,147964,34,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"trance,progressive trance","Spinnin' Records",0.561,0.994,11,-2.959,1,0.116,0.00724,0.82,0.395,0.272,140.009,4
spotify:track:0sbdU6J0TXPuRcSeIa7glU,"Turn The Lights Off (Hypaton Remix)","Turn The Lights Off (Hypaton Remix)","Justė;Jaxstyle;Jon;Hypaton",2026-01-30,186093,43,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"","Spinnin' Records",0.514,0.991,1,-4.004,0,0.0508,0.0136,0.194,0.15,0.355,127.999,4
spotify:track:55oaId1IHZV9XfvHB3P7PJ,"Locked In (feat. Trippie Redd)","Locked In (feat. Trippie Redd)","David Guetta;MORTEN;Trippie Redd",2026-01-23,168923,58,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"edm,melodic rap","Future Rave",0.623,0.973,8,-5.595,1,0.0749,0.00184,0.00129,0.0886,0.313,130.033,4
spotify:track:2Aaq0FavPjpJHA17Ux488k,"Shivers","Shivers","unfazed",2026-01-09,165120,39,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"afro house","Spinnin' Deep",0.639,0.81,1,-7.166,1,0.0317,0.0119,0.0164,0.0795,0.285,125.01,4
spotify:track:342is2Mbd5vqTD5HADpRz8,"Unfaithful","Unfaithful","Blasterjaxx",2026-01-09,231891,72,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"big room,edm","MAXXIMIZE",0.365,0.914,0,-1.985,0,0.0596,0.0271,0.00000598,0.0945,0.23,148.056,4
spotify:track:3HadGL5QPHqInyvQ23oFub,"Dreaming - Club Mix","Dreaming (Club Mix)","A7S;HEADER",2026-01-02,156093,26,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"big room","Spinnin' Records",0.633,0.865,11,-6.586,1,0.0372,0.0147,0.00037,0.673,0.121,127.954,4
spotify:track:1rGAcKaILp1yS5vPJGirjI,"What's A Girl To Do (D-Sturb Remix)","What's A Girl To Do (D-Sturb Remix)","Luvstruck;D-Sturb",2025-12-19,147096,58,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"hard house,hardstyle,frenchcore,hardcore","Spinnin' Records",0.499,0.967,5,-1.747,0,0.115,0.0811,0.00101,0.7,0.473,155.021,4
spotify:track:4indTJ70BCXFhS3wGiBYyH,"I Got Love (feat. Nate Dogg) [Will Sparks Remix]","I Got Love (feat. Nate Dogg) [Will Sparks Remix]","CYRIL;Kelland;Nate Dogg;Will Sparks",2025-12-19,193432,36,true,spinninrecordsofficial,2026-02-20T11:17:31Z,"g-funk,west coast hip hop,old school hip hop,melbourne bounce,big room,techno","WM Australia",0.688,0.94,1,-5.128,1,0.0694,0.118,0.205,0.208,0.349,133.978,4
spotify:track:1xQpwS0JePQbRNbt0wshNp,"Good Times","Good Times","Lucas & Steve",2025-12-05,163902,38,false,spinninrecordsofficial,2026-02-20T11:17:31Z,"future house","Spinnin' Records",0.66,0.89,10,-2.911,0,0.0455,0.00561,0.451,0.231,0.249,129.892,4
