Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4BggEwLhGfrbrl7JBhC8EC,"Butterfly","The Gift Of Game","Crazy Town",2000-12-15,216733,77,false,,2026-05-01T14:19:27Z,"rap rock,nu metal","Columbia",0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,4
spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7,"Can't Get You out of My Head","Fever","Kylie Minogue",2002-11-19,230640,83,false,,2026-05-01T14:19:27Z,"dance pop","Parlophone UK",0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,4
spotify:track:7K3Lc3TfSR14aTOjIH7TUj,"Just The Way You Are","Just The Way You Are","Milky",2002-10-04,210070,88,false,,2026-05-01T14:19:27Z,"","Ministry of Sound Recordings",0.669,0.965,8,-4.061,1,0.0362,0.000645,0.00556,0.263,0.973,129.998,4
spotify:track:5XVjNRubJUW0iPhhSWpLCj,"Better Off Alone","Who Needs Guitars Anyway?","Alice Deejay",2000-10-01,214883,83,false,,2026-05-01T14:19:27Z,"eurodance,europop","Universal Music B.V.",0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,4
spotify:track:4hjuUelurEBKlqpJPJ77Iw,"Pocketful of Sunshine","Strip Me Away","Natasha Bedingfield",2008,203440,70,false,,2026-05-01T14:19:27Z,"","Phonogenic",0.726,0.881,9,-3.892,0,0.0391,0.203,0,0.108,0.682,110.019,4
spotify:track:7krdXU75QtaRdQzQClLLq8,"Say Cheese! (Smile Please)","Fast Food Rockers","Fast Food Rockers",2003-01-01,216066,32,false,,2026-05-01T14:19:27Z,"","Modal Production Group Ltd",0.64,0.982,0,-5.935,1,0.0384,0.0148,0.0000983,0.921,0.826,135.999,4
spotify:track:4DX82Vc8qAH4jJPvKxvwg6,"Move Your Feet","D-D-Don't Don't Stop The Beat","Junior Senior",2002-04-03,181826,75,false,,2026-05-01T14:19:27Z,"","Crunchy Frog",0.747,0.904,9,-2.623,1,0.0803,0.046,0.106,0.203,0.846,118.877,4
spotify:track:5UCPOJs8VJARoIX6acKRuJ,"The Rhythm Of The Night","The Rhythm of the Night","Corona",1995-01-01,264280,78,false,,2026-05-01T14:19:27Z,"eurodance","DWA Records",0.69,0.805,5,-11.522,0,0.0336,0.000232,0.739,0.095,0.799,127.807,4
spotify:track:5619Ojc6t9evEEs3B7Drhe,"Shake It","Metro Station","Metro Station",2007-09-18,179946,73,false,,2026-05-01T14:19:27Z,"","Red Ink",0.618,0.955,4,-3.836,1,0.0798,0.00221,0.00000309,0.486,0.79,150.034,4
spotify:track:22HYEJveCvykVDHDiEEmjZ,"Tubthumping","Tubthumper","Chumbawamba",1997-09-01,278778,75,false,,2026-05-01T14:19:27Z,"","EMI",0.348,0.88,2,-7.366,1,0.0978,0.128,0,0.357,0.606,101.185,4
spotify:track:2HStGirSZokbjdi1xU1QCW,"Gotta Get Thru This - D'N'D Radio Edit","Gotta Get Thru This","Daniel Bedingfield;D'N'D Productions",2002-01-01,162333,60,false,,2026-05-01T14:19:27Z,"uk garage","Polydor Records",0.836,0.762,7,-5.044,0,0.0598,0.0826,0.0000548,0.102,0.941,133.592,4
spotify:track:71ucHTKi9couPlPaPxDu57,"Respectable","F.L.M. (Deluxe Edition)","Mel & Kim",1991-03-18,202640,55,false,,2026-05-01T14:19:27Z,"","Cherry Red Records",0.697,0.971,0,-5.093,1,0.0429,0.00374,0.0000268,0.138,0.89,122.274,4
