Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4Z3F8VnLHzcIRNDRRJmr8P,"Too Sweet","Too Sweet","Trinix;The Macarons Project",2025-11-28,164196,79,false,electroposé,2026-04-13T08:52:37Z,"","Inside Records",0.974,0.43,10,-9.536,1,0.137,0.0944,0.000116,0.111,0.433,112.023,4
spotify:track:5yQfJ6p6vJc21677BW8bmE,"Smile","Smile","PLÜM;Moment in Time;autrioly",2025-11-14,184067,65,false,electroposé,2026-04-13T08:52:37Z,"","Inside Records",0.829,0.582,3,-9.335,1,0.0659,0.561,0.436,0.112,0.229,118.008,4
spotify:track:7nqeKUkuQb3pIiNUas2FEV,"Clocks","Clocks","Alex Baker;Sahara Moon",2023-07-12,230400,67,false,electroposé,2026-04-13T08:52:37Z,"","Beyond Rec",0.588,0.473,7,-13.409,0,0.0613,0.127,0.0616,0.0895,0.183,100.032,4
spotify:track:4MSj19TwYBLgDFj3ddEeco,"Black Friday (pretty like the sun)","Black Friday (pretty like the sun)","Lost Frequencies;Tom Odell",2024-07-19,145599,84,false,electroposé,2026-04-13T08:52:37Z,"tropical house","UROK",0.853,0.618,6,-10.833,1,0.0923,0.633,0.89,0.0972,0.32,126.031,4
spotify:track:3VNFUFkDgjMvb4dJ6vxYBm,"High Life","High Life","Moment in Time",2024-10-09,142519,66,false,electroposé,2026-04-13T08:52:37Z,"","Sunflower Records",0.696,0.626,1,-8.618,1,0.0591,0.644,0.309,0.112,0.224,128,4
spotify:track:45uwWuhL7nNamSKw3DnpQl,"Fever","Fever","heylucas;Nina Carr",2021-06-15,173411,65,false,electroposé,2026-04-13T08:52:37Z,"tropical house","Beyond Rec",0.61,0.554,2,-8.301,0,0.13,0.428,0.000322,0.157,0.231,106.818,4
spotify:track:1GfJCWGLfdev016PSsrUO8,"Make Me Feel","Make Me Feel","oskar med k",2025-06-20,186240,80,false,electroposé,2026-04-13T08:52:37Z,"stutter house","7CULT powered by PULSE.CX",0.797,0.71,6,-8.008,0,0.0862,0.139,0.107,0.152,0.175,124.919,4
spotify:track:6xGSSLIRRl2YH68nrPtnqI,"Follow the Feeling","Times I've Missed","Ourson;Matthew Adam Green",2024-12-11,208401,60,false,electroposé,2026-04-13T08:52:37Z,"","Beyond Rec",0.581,0.548,2,-12.35,1,0.0364,0.436,0.823,0.296,0.0679,120.038,4
spotify:track:10TsQZCb8QVql2ocirBc6R,"Be Your Friend","Be Your Friend","XYSM;EDGR",2023-07-26,164015,66,false,electroposé,2026-04-13T08:52:37Z,"tropical house","Beyond Rec",0.715,0.616,0,-10.323,1,0.0465,0.0798,0.79,0.115,0.0312,120.031,4
spotify:track:0BQ4zIMESy75Qf2HeMi4ds,"Electric Feel","Electric Feel","TEEMID",2021-03-19,213974,67,false,electroposé,2026-04-13T08:52:37Z,"","Inside Records",0.686,0.472,0,-8.638,0,0.0897,0.416,0.0908,0.0971,0.0832,100.106,3
