Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4F7A0DXBrmUAkp32uenhZt,"Party Monster","Starboy","The Weeknd",2016-11-25,249213,79,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:09Z,"","The Weeknd/Lyric",0.573,0.63,1,-8.389,1,0.105,0.189,0.0000231,0.259,0.218,77.525,4
spotify:track:1Z5L1sgdPUPfcuxsfaYzcB,"Tonight Is the Night","Nights Like These","Outasight",2012-11-23,190000,49,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:09Z,"","Warner Records",0.626,0.784,7,-3.874,1,0.0515,0.0372,0,0.182,0.555,120.031,4
spotify:track:1C7XvLv4Boxi8bNleQRirt,"Jackie Chan","Summer Feelin","Tiësto;Dzeko;Preme;Post Malone",2018-06-15,215760,17,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:09Z,"edm,trance,big room","UMG Recordings, Inc.",0.745,0.838,3,-2.881,0,0.046,0.358,0,0.058,0.714,127.998,4
spotify:track:1yMbUKRRiISrp66LUHRpSr,"Cole’s Memories - Original Mix","We Are Your Friends (Music From The Original Motion Picture)","Pyramid",2015-08-21,351213,51,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:09Z,"electronica","UMGRI Interscope",0.573,0.522,8,-11.369,1,0.0388,0.00452,0.792,0.0932,0.0517,125.987,4
spotify:track:69kOkLUCkxIZYexIgSG8rq,"Get Lucky (feat. Pharrell Williams and Nile Rodgers)","Random Access Memories","Daft Punk;Pharrell Williams;Nile Rodgers",2013-05-20,369626,78,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:09Z,"french house,electronic,electro","Columbia",0.81,0.793,6,-9.404,0,0.0403,0.0378,0.00000177,0.072,0.863,116.05,4
spotify:track:5CMjjywI0eZMixPeqNd75R,"Lose Yourself to Dance (feat. Pharrell Williams)","Random Access Memories","Daft Punk;Pharrell Williams",2013-05-20,353893,71,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:09Z,"french house,electronic,electro","Columbia",0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,4
spotify:track:2bkNIMseHRfLidQqpXGsBx,"Too Much (feat. Timbaland)","Icarus Falls","ZAYN;Timbaland",2018-12-14,187163,50,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:09Z,"","RCA Records Label",0.45,0.646,0,-4.443,1,0.0566,0.00442,0.000473,0.0855,0.3,90.246,1
spotify:track:5ZT161RjOzw1rjJY4WH35e,"Dhol Jageero Da","Dhol Jageero Da","Panjabi MC",2001,264720,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:09Z,"bhangra","Moviebox Birmingham, Ltd.",0.716,0.974,11,-2.479,0,0.17,0.185,0.00148,0.333,0.889,81.02,4
spotify:track:3NpNTYETMcXspfs8hE8T7h,"OH HO HO HO (Original Song)","OH HO HO HO (Original Song)","Sukhbir",1999-01-01,367818,57,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:09Z,"bhangra,bollywood,desi","Sukhbir",0.733,0.963,10,-5.06,1,0.0665,0.0558,0.0000132,0.0766,0.91,145.05,4
spotify:track:1C5e7ZRscn79tjMEc3swc7,"Kangna","Unda Da Influence","Dr Zeus;Master Rakesh;Shortie;Deepti",2003-01-01,210680,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:09Z,"bhangra,punjabi pop,punjabi hip hop,desi,desi hip hop,desi pop","Dr Zeus Worldwide",0.756,0.858,1,-4.05,0,0.0585,0.035,0.000254,0.061,0.764,101.984,4
