Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4VnDmjYCZkyeqeb0NIKqdA,"Can You Hear The Music","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,110160,72,false,,2026-05-12T11:12:58Z,"score,soundtrack","Back Lot Music",0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4
spotify:track:7aS8e5XKVWDcbyn06mF9fz,"Candles","Monsters (Original Motion Picture Soundtrack)","Jon Hopkins",2010-11-29,148546,48,false,,2026-05-12T11:12:58Z,"idm,ambient","Double Six Records",0.298,0.148,3,-26.245,0,0.0438,0.868,0.843,0.11,0.0603,108.658,4
spotify:track:0Jc2SfIHv63JNsUZpunh54,"Solar Sailer - From ""TRON: Legacy""/Score","TRON: Legacy","Daft Punk",2010-12-03,162120,52,false,,2026-05-12T11:12:58Z,"french house,electronic,electro","Walt Disney Records",0.179,0.167,1,-23.408,1,0.0394,0.852,0.748,0.106,0.0399,124.266,3
spotify:track:2KJkKZ6u3QRm9Xpu5I2CPB,"Patience Is A Virtue","Rest","Clem Leek",2013-02-20,119063,50,false,,2026-05-12T11:12:58Z,"","Brian Records",0.305,0.168,4,-16.916,1,0.0332,0.964,0.852,0.103,0.051,117.312,4
spotify:track:0ycebfjWcjejIkz7LEWQhU,"NIGHT TRAIN FOR SPACE","P2P","Uppermost",2023-09-15,191034,49,false,,2026-05-12T11:12:58Z,"french house","Uppwind Records",0.701,0.478,5,-14.484,1,0.0669,0.799,0.943,0.115,0.289,128.035,4
spotify:track:4QTVCBkEQ6XmsoupzuuM2k,"Precipice","Piety of Ashes","The Flashbulb",2017-09-01,130720,45,false,,2026-05-12T11:12:58Z,"idm,breakcore,post-rock,glitch","Alphabasic",0.467,0.369,2,-19.842,0,0.037,0.898,0.926,0.111,0.358,89.991,4
spotify:track:3oMawK9eqpd5Ln59b8tr4E,"Mercy - from ""The Hunger Games: The Ballad of Songbirds and Snakes"" Score","The Hunger Games: The Ballad of Songbirds and Snakes (Original Motion Picture Score)","James Newton Howard",2023-11-17,141066,41,false,,2026-05-12T11:12:58Z,"soundtrack,score","Sony Classical",0.142,0.0262,5,-27.348,0,0.0359,0.806,0.0472,0.0945,0.0359,141.967,5
spotify:track:6fymXW3eFHPmIOdDfnLXS4,"Emerald and Stone","Small Craft On A Milk Sea","Brian Eno;Jon Hopkins;Leo Abrahams",2010-11-01,132306,52,false,,2026-05-12T11:12:58Z,"ambient,krautrock,art rock,minimalism,drone,glam rock,space music,idm","UMC (Universal Music Catalogue)",0.425,0.0379,11,-25.247,1,0.0528,0.987,0.907,0.0756,0.0387,80.045,5
spotify:track:2xibxsCa7g3ScMB2vIwHWC,"Train From Paris","Northern Rooms","Mindtrap",2006-10-05,268466,40,false,,2026-05-12T11:12:58Z,"","Elektrikal Records",0.712,0.587,7,-11.101,1,0.045,0.689,0.83,0.118,0.509,89.975,4
spotify:track:4WmB04GBqS4xPMYN9dHgBw,"Day One (Interstellar Theme)","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]","Hans Zimmer",2014-11-18,199422,72,false,,2026-05-12T11:12:58Z,"soundtrack,score","WaterTower Music",0.311,0.0173,9,-27.788,0,0.0348,0.927,0.964,0.0727,0.0658,95.985,3
spotify:track:3CKstYFeiGJMGgRpHWbUGE,"Monsters Theme","Monsters (Original Motion Picture Soundtrack)","Jon Hopkins",2010-11-29,295853,41,false,,2026-05-12T11:12:58Z,"idm,ambient","Double Six Records",0.161,0.296,3,-17.388,0,0.0381,0.709,0.917,0.111,0.0795,109.055,3
spotify:track:10PRcEnKj8J3m13s1wvjiI,"Cotton Spheres","Cumulus Motion","Lama House",2019-06-28,174755,41,false,,2026-05-12T11:12:58Z,"","Epidemic Sound",0.33,0.395,0,-13.337,1,0.0306,0.912,0.947,0.107,0.0398,112.799,4
spotify:track:2usrT8QIbIk9y0NEtQwS4j,"Intro","xx","The xx",2009-08-16,127920,79,false,,2026-05-12T11:12:58Z,"","Young",0.617,0.778,9,-8.872,0,0.027,0.459,0.925,0.128,0.152,100.363,4
spotify:track:4unEKanhrUiSOMqja8Euw5,"The Last of Us","The Last of Us: Season 1 (Soundtrack from the HBO Original Series)","Gustavo Santaolalla",2023-02-27,67669,45,false,,2026-05-12T11:12:58Z,"soundtrack","Milan",0.681,0.495,11,-13.205,0,0.0416,0.627,0.981,0.107,0.132,103.027,4
spotify:track:1vW8krAHupYxF1xRCfQnkD,"Symmetry Systems (Emerald)","Symmetry Systems","36",2022-06-03,202427,41,false,,2026-05-12T11:12:58Z,"drone,ambient,space music,dark ambient","3six Recordings",0.336,0.436,7,-14.419,1,0.0356,0.863,0.954,0.0791,0.151,104.697,4
spotify:track:6xcD8EbsvMep9ULtidHI2j,"Winter Sun","Winter Sun","Sun Of They",2022-02-25,142000,40,false,,2026-05-12T11:12:58Z,"","Sun Of They",0.392,0.223,10,-22.74,0,0.0321,0.908,0.869,0.111,0.282,143.912,4
spotify:track:1d6BkMki9M6K0yp9OLBzOM,"Fire and Light","Karma & Desire","Actress",2020-10-23,75969,42,false,,2026-05-12T11:12:58Z,"idm,ambient,experimental","Ninja Tune",0.337,0.28,0,-18.646,0,0.0384,0.987,0.882,0.0851,0.0824,140.004,4
spotify:track:0lWWho4vGcKfIX8kA8YmAy,"Dreamscapes","Dreamscapes","Agnes Lundh",2022-02-11,159500,39,false,,2026-05-12T11:12:58Z,"","Agnes Lundh",0.272,0.204,11,-20.273,1,0.0344,0.91,0.902,0.111,0.227,73.728,4
spotify:track:3PmEzB2ORXmXBx07JY9z66,"Optimistic Nihilism","Kurzgesagt, Vol. 4 (Original Motion Picture Soundtrack)","Epic Mountain",2017-12-24,372000,43,false,,2026-05-12T11:12:58Z,"","Epic Mountain",0.544,0.429,2,-16.308,0,0.0338,0.597,0.836,0.355,0.0577,120.063,4
spotify:track:5PZvnDAinoO35pfJFG1Y63,"La Luna","Arkade Destinations Tulum","Mr. Tape;RNSHW",2018-08-03,357383,39,false,,2026-05-12T11:12:58Z,"","Arkade",0.758,0.522,8,-12.401,0,0.0717,0.0233,0.879,0.0835,0.134,106.991,4
spotify:track:5GrVyPPaSy9OksTkFOpdns,"Alone in the World","Owls and Pinecones","Kupla",2018-07-06,137764,39,false,,2026-05-12T11:12:58Z,"lo-fi hip hop,lo-fi,lo-fi beats","Kuplasound",0.695,0.266,7,-8.486,0,0.0622,0.251,0.446,0.172,0.219,78.974,4
