Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2jxJzUWxqX2fnQTD9lmi2x,"Papi (Bhabi)","Papi (Bhabi)","Eden Shalev",2022-12-02,346125,60,false,billy.esteban,2025-06-05T09:57:29Z,"afro house,afro tech,psytrance","MoBlack Records",0.672,0.656,8,-8.313,1,0.0426,0.000577,0.538,0.0756,0.338,119.003,4
spotify:track:6NIJqFHB5cHAn064JCP7Li,"Move","Move","Adam Port;Stryv;Keinemusik;Orso;Malachiii",2024-06-07,177598,77,false,billy.esteban,2025-06-05T09:57:29Z,"afro house,house,melodic house,afro tech","Keinemusik",0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
spotify:track:5nPbKG04fhLkIAjcPFaZq7,"I Adore You (feat. Daecolm)","I Adore You (feat. Daecolm)","HUGEL;Topic;Arash;Daecolm",2024-07-19,214000,87,false,billy.esteban,2025-06-05T09:57:29Z,"latin house,afro house,techengue,house","Intercord",0.704,0.787,11,-6.751,0,0.0462,0.00926,0.00538,0.159,0.31,119.996,4
spotify:track:3TY5qcMhpd9KpJx21aOZpC,"Ain't Nobody","Ain't Nobody","Tekla DuDu CDA;Nickarth;Cafe De Anatolia;ILIEV",2026-04-17,152605,28,false,billy.esteban,2026-04-17T14:49:23Z,"organic house,afro house,deep house,tribal house,melodic techno","CDA Records",0.775,0.854,6,-5.395,1,0.0843,0.024,0.00000405,0.11,0.731,107.011,4
spotify:track:5wql4Jwda7LSMZFJXtBQql,"Taya Tere","Taya Tere","Eden Shalev;Cafe De Anatolia",2024-12-13,320655,42,false,billy.esteban,2025-06-05T09:57:29Z,"afro house,afro tech,psytrance,organic house,deep house,tribal house,melodic techno","Cafe De Anatolia HUB",0.764,0.53,5,-14.813,1,0.0481,0.000297,0.824,0.0969,0.511,122.027,4
spotify:track:4C0KxdITkd9TCBnpDCYGfi,"I Run","I Run","Tekla DuDu CDA;CDA Music;Nickarth",2026-04-30,119899,25,false,billy.esteban,2026-04-30T22:55:53Z,"","CDA Records",0.747,0.701,6,-7.505,0,0.0421,0.0314,0.0000748,0.137,0.273,121.999,3
spotify:track:2YDOjCfkGciEXxSutB6LJR,"World Hold On - FISHER Rework","World Hold On (FISHER Rework)","Bob Sinclar;FISHER;Steve Edwards",2022-07-08,178304,9,false,billy.esteban,2025-06-05T09:57:29Z,"french house,disco house,tech house,house","Yellow productions",0.771,0.883,1,-5.243,0,0.0584,0.00596,0.00607,0.135,0.895,127.008,4
spotify:track:0bIEboajb2Wu4ozrTDp07F,"Mad About You","Mad About You","Ampermut;Gobi Desert Collective;JANKA;Cafe De Anatolia",2026-01-30,151011,41,false,billy.esteban,2026-01-29T23:28:38Z,"organic house,downtempo,tribal house,afro house,deep house,melodic techno","CDA Records",0.626,0.675,6,-8.797,0,0.0589,0.171,0.00866,0.285,0.536,177.973,4
spotify:track:62ufShoZW2aqSFgYiZOZ23,"Romantica","Romantica","YannaY;Cafe De Anatolia",2021-08-13,382000,47,false,billy.esteban,2025-06-05T09:57:29Z,"organic house,afro house,deep house,tribal house,melodic techno","Cafe De Anatolia",0.808,0.628,2,-10.09,0,0.0516,0.000831,0.881,0.121,0.326,119.999,4
spotify:track:0xoYZ45fgTfyQYREZPN7Sa,"You & Me - Rivo Remix","You & Me (Rivo Remix)","Disclosure;Rivo;Eliza Doolittle",2023-12-22,208524,82,false,billy.esteban,2025-06-05T09:57:29Z,"house,afro house","UMC (Universal Music Catalogue)",0.702,0.797,10,-6.635,0,0.0557,0.583,0.495,0.179,0.0356,122.011,4
