Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:59NraMJsLaMCVtwXTSia8i,"Prada","Prada","cassö;RAYE;D-Block Europe",2023-08-11,132359,83,true,a902190,2024-06-29T10:24:46Z,"hypertechno,grime,uk drill","Ministry of Sound Recordings",0.638,0.717,8,-5.804,1,0.0375,0.001,0.00000179,0.113,0.422,141.904,4
spotify:track:7vUROW0qSrg2HACYL3rglZ,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Steve Void Edit","Calabria (Deluxe Edition)","Dance Fruits Music;DMNDS;Steve Void;Lujavo;Lunis;Fallen Roses",1900-01-01,147096,41,false,a902190,2024-06-29T10:24:46Z,"deep house,slap house,lo-fi hip hop,lo-fi","Fruits Music",0.579,0.746,10,-8.05,0,0.0552,0.0126,0.0647,0.224,0.108,123.693,4
spotify:track:1BXfDqPvs6SJbAcOEK40Z3,"The Rhythm of the Night","The Rhythm of the Night","MELON;Rezidential;Dance Fruits Music",2023-02-24,189374,45,false,a902190,2024-06-29T10:24:46Z,"deep house,slap house","Fruits Music",0.637,0.917,0,-5.155,0,0.0517,0.0032,0.566,0.294,0.104,128.018,4
spotify:track:5ZUIPLoTLJZrPQh2kFZEUM,"Addicted","Addicted","Zerb;The Chainsmokers;Ink",2024-03-29,152250,79,true,a902190,2024-06-29T10:24:46Z,"afro house","TH3RD BRAIN",0.771,0.741,5,-7.132,0,0.0374,0.0245,0.000163,0.111,0.19,120.064,4
spotify:track:4RkZWbpfkzXUyahUkR1Lyh,"Pon de Replay","Pon de Replay","MELON;Steve Void;Dance Fruits Music",2023-02-24,157440,46,false,a902190,2024-06-29T10:24:46Z,"deep house,slap house","Fruits Music",0.806,0.752,6,-7.72,1,0.0884,0.00724,0.00384,0.057,0.452,125.043,4
spotify:track:6JbvvGKwtgcjeOU810AS8w,"Thick Of It All","Thick Of It All","Alan Walker;Joe Jonas;Julia Michaels",2024-09-05,199720,45,false,a902190,2024-09-06T06:36:54Z,"","Monstercat",0.532,0.834,2,-3.343,1,0.0495,0.0128,0,0.0815,0.304,143.007,4
spotify:track:4rngjvFqdPeG4pMOI7SUGt,"Lay All Your Love On Me","Lay All Your Love On Me","MELON;Dance Fruits Music",2023-04-28,204000,50,false,a902190,2024-06-29T10:24:46Z,"deep house,slap house","Fruits Music",0.635,0.917,0,-4.908,1,0.0388,0.000754,0.0355,0.257,0.423,140.014,4
spotify:track:23RoR84KodL5HWvUTneQ1w,"(It Goes Like) Nanana - Edit","(It Goes Like) Nanana [Edit]","Peggy Gou",2023-06-15,231545,77,false,a902190,2024-06-29T10:24:46Z,"","XL Recordings",0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,4
spotify:track:5lwvIh1NGDx4wsCTDMDtRO,"Another Love","This Is MELON, Vol. 1 (Dance)","MELON;Dance Fruits Music",2023-02-24,170322,40,true,a902190,2024-06-29T10:24:46Z,"deep house,slap house","Fruits Music",0.758,0.551,4,-8.42,0,0.0376,0.671,0.0217,0.132,0.416,123.996,4
spotify:track:3H5PW5NXN6lOiRDlbGLX25,"Runaway (U & I)","Runaway (U & I)","MELON;Dance Fruits Music",2023-02-24,161904,43,false,a902190,2024-06-29T10:24:46Z,"deep house,slap house","Fruits Music",0.604,0.892,10,-5.209,0,0.0474,0.0116,0.001,0.347,0.314,126.031,4
spotify:track:5w5QIumEdK72YrHkEXdTKa,"Don't You Worry Child","This Is MELON, Vol. 1 (Dance)","MELON;Dance Fruits Music",2023-02-24,196153,39,false,a902190,2024-06-29T10:24:46Z,"deep house,slap house","Fruits Music",0.683,0.807,11,-6.673,0,0.0445,0.141,0.000206,0.164,0.207,130.027,4
spotify:track:06ekyEfviHPLgmI3NVMlbZ,"L'Amour Toujours","L'Amour Toujours","MELON;RobxDan;Dance Fruits Music",2023-02-24,183111,42,false,a902190,2024-06-29T10:24:46Z,"deep house,hypertechno,slap house","Fruits Music",0.356,0.911,11,-4.664,0,0.209,0.00185,0.00223,0.162,0.247,135.033,4
spotify:track:4uUG5RXrOk84mYEfFvj3cK,"I'm Good (Blue)","I'm Good (Blue)","David Guetta;Bebe Rexha",2022-08-26,175238,87,true,a902190,2024-06-29T10:24:46Z,"edm","Parlophone UK",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
