Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ilkrJ2rvP1mZXchgkIEGP,"Gecko","Gecko (Radio Edit)","Oliver Heldens",2014-03-24,166099,40,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"future house,house","Parlophone UK",0.791,0.827,0,-6.647,1,0.0608,0.105,0.906,0.227,0.478,125.039,4
spotify:track:1HrMWH5GUdK6Yi94rbANJA,"Cola","Cola","CamelPhat;Elderbrook",2017-06-16,223869,12,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"melodic techno,house,progressive house,melodic house,tech house","Defected Records",0.706,0.74,6,-7.904,1,0.0325,0.0245,0.512,0.135,0.444,122.007,3
spotify:track:152lZdxL1OR0ZMW6KquMif,"Location","American Teen","Khalid",2017-04-27,219080,80,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"","Right Hand Music Group, LLC/RCA Records",0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,4
spotify:track:64VzxgaIpjB52YUtsF9St7,"If I Lose Myself - Alesso vs OneRepublic","Forever","OneRepublic;Alesso",2015-05-22,213480,46,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"soft pop,edm","Alesso / Def Jam",0.518,0.829,2,-3.322,1,0.0414,0.198,0.00000557,0.13,0.149,125.991,4
spotify:track:0noVd1VU93X8TEZMmpR3yN,"Pjanoo - Club Mix","Pjanoo","Eric Prydz",2008-08-29,450912,53,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"","Pryda Presents",0.663,0.624,7,-6.923,0,0.0324,0.000939,0.888,0.0666,0.63,126.024,4
spotify:track:3v2oAQomhOcYCPPHafS3KV,"Opus","Opus","Eric Prydz",2016-02-05,543453,65,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"","Virgin Records Ltd",0.275,0.721,6,-6.222,0,0.0359,0.000702,0.821,0.0792,0.184,125.156,4
spotify:track:0oks4FnzhNp5QPTZtoet7c,"Giorgio by Moroder","Random Access Memories","Daft Punk",2013-05-20,544626,66,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"french house,electronic,electro","Columbia",0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,4
spotify:track:3xYGWKsZ5CXWisReT4w4Bh,"Pacha On Acid","Pacha On Acid","AFROJACK",2010-02-24,448745,26,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"edm,big room","SIZE Records",0.783,0.755,4,-9.803,1,0.0772,0.441,0.924,0.0959,0.331,128.991,4
spotify:track:5QcSDOm6mcvFDl7KBT1fHv,"Spaceman - Carnage Festival Trap Remix","Spaceman (Carnage Festival Trap Remix)","Hardwell;Carnage",2012-12-29,234160,1,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"big room,edm,progressive house,electronica","Revealed Recordings",0.712,0.497,11,-8.976,1,0.0777,0.0235,0.768,0.101,0.238,139.987,4
spotify:track:0TR9FufF714K5z3fobhs7x,"Atom","Dirty Dutch Exodus (Mixed By Chuckie)","Nari & Milani",2012-11-30,334015,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"","Dirty Dutch Compilations",0.533,0.98,1,-5.98,0,0.0529,0.0253,0.876,0.0363,0.109,127.983,4
spotify:track:1CZyEpQeKPWp9Eeq4ppzyR,"No Beef (feat. Miss Palmer) - Vocal Mix","No Beef","AFROJACK;Steve Aoki;Miss Palmer",2011-08-22,361941,44,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"edm,big room,electro house","Wall Recordings",0.741,0.838,11,-5.181,0,0.0405,0.0229,0.309,0.0649,0.234,127.98,4
spotify:track:2LD2gT7gwAurzdQDQtILds,"Veridis Quo","Discovery","Daft Punk",2001-03-12,345186,77,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.605,0.687,9,-13.928,0,0.045,0.479,0.949,0.104,0.12,106.896,4
spotify:track:7vGuf3Y35N4wmASOKLUVVU,"Silence","Silence","Marshmello;Khalid",2017-08-11,180822,80,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"edm","Joytime Collective/RCA Records",0.52,0.761,4,-3.093,1,0.0853,0.256,0.00000496,0.17,0.286,141.971,4
spotify:track:0NlGoUyOJSuSHmngoibVAs,"All I Want","In A Perfect World (Expanded Edition)","Kodaline",2013-06-17,305746,81,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"","B-Unique/RCA",0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,3
spotify:track:1NeLwFETswx8Fzxl2AFl91,"Something About Us","Discovery","Daft Punk",2001-03-12,232666,76,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,4
spotify:track:4T3fNx3CgwDRRYgmFCbD4J,"Better","Better","Khalid",2018-09-14,229412,67,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"","Right Hand Music Group, LLC/RCA Records",0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,4
spotify:track:4By48hpAtUx7F7F1yxvwvm,"Entertainer","Icarus Falls","ZAYN",2018-12-14,202599,62,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"","RCA Records Label",0.697,0.568,5,-8.017,1,0.0369,0.475,0.0000251,0.0922,0.502,153.931,4
spotify:track:1pKYYY0dkg23sQQXi0Q5zN,"Around the World","Homework","Daft Punk",1997-01-17,429533,75,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,4
spotify:track:2bkNIMseHRfLidQqpXGsBx,"Too Much (feat. Timbaland)","Icarus Falls","ZAYN;Timbaland",2018-12-14,187163,50,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"","RCA Records Label",0.45,0.646,0,-4.443,1,0.0566,0.00442,0.000473,0.0855,0.3,90.246,1
spotify:track:248OFOZef6ShXv6DGgbnxU,"Saved","American Teen","Khalid",2017-04-27,206543,65,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"","Right Hand Music Group, LLC/RCA Records",0.739,0.448,10,-10.28,0,0.138,0.189,0,0.118,0.553,81.044,4
spotify:track:5CMjjywI0eZMixPeqNd75R,"Lose Yourself to Dance (feat. Pharrell Williams)","Random Access Memories","Daft Punk;Pharrell Williams",2013-05-20,353893,71,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"french house,electronic,electro","Columbia",0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,4
spotify:track:0DiWol3AO6WpXZgp0goxAV,"One More Time","Discovery","Daft Punk",2001-03-12,320357,84,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,4
spotify:track:5W3cjX2J3tjhG8zb6u0qHn,"Harder, Better, Faster, Stronger","Discovery","Daft Punk",2001-03-12,226413,77,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T14:30:24Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,4
