Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4wYkfii8h4Ho4bJ9u8ZyV8,"Sa Re Ga Ma Premium","Sa Re Ga Ma Premium","Fake Tattoos;Sahil Madaan;Patrao",2026-01-29,217090,15,false,7pnz0z1olc52xg8urp8y6gr96,2026-04-14T17:08:17Z,"","Golden Moon Recordings",0.89,0.802,1,-7.868,1,0.0603,0.175,0.315,0.0657,0.37,124.999,4
spotify:track:5oRlTmw4HO7eFRUPU53Ywj,"Daulat","Daulat","Fake Tattoos",2025-11-12,253497,35,false,7pnz0z1olc52xg8urp8y6gr96,2025-11-25T06:11:36Z,"","Golden Moon Recordings",0.799,0.947,8,-7.367,0,0.0477,0.00111,0.723,0.19,0.278,123.985,4
spotify:track:0BIUZCo5SaRVqaYTnTTqmp,"Ishq","Ishq","AFRONOM;Ansick;Fake Tattoos",2025-05-02,164899,40,false,7pnz0z1olc52xg8urp8y6gr96,2025-08-27T08:39:50Z,"afro house","AFRODITE",0.762,0.979,9,-5.784,1,0.0494,0.325,0.843,0.231,0.751,124.008,4
spotify:track:7AsY0Ly4skKBKbKT6mBkPJ,"Mafia","Exotic","Fake Tattoos",2025-05-22,292514,25,false,7pnz0z1olc52xg8urp8y6gr96,2025-08-27T08:40:21Z,"","Golden Moon Recordings",0.748,0.862,1,-8.033,0,0.0575,0.00204,0.834,0.155,0.636,127.999,4
spotify:track:5VPBufFruNDfBiZ7BBYPti,"Haseen Raatein (Happy Nights)","Exotic","Fake Tattoos",2025-05-22,339000,33,false,7pnz0z1olc52xg8urp8y6gr96,2025-08-27T08:39:53Z,"","Golden Moon Recordings",0.798,0.947,0,-6.387,1,0.0525,0.017,0.815,0.127,0.556,125.007,4
spotify:track:2IwqhhrMSMsn82YMUYsAZy,"Spaceship Taaran - Fake Tattoos Remix","Spaceship Taaran (Fake Tattoos Remix)","Sunset Riders;Fake Tattoos;The Magic Sun",2025-09-19,344526,7,false,7pnz0z1olc52xg8urp8y6gr96,2025-11-25T06:12:00Z,"organic house,downtempo","The Magic Sun",0.762,0.488,2,-23.002,1,0.06,0.00959,0.79,0.0951,0.828,123.99,4
spotify:track:2nOwRhRCImC1WxC3SMIvqU,"Santur Dream - Tribal Mix","Exotic","Fake Tattoos",2025-05-22,314890,17,false,7pnz0z1olc52xg8urp8y6gr96,2025-08-27T08:40:26Z,"","Golden Moon Recordings",0.756,0.818,4,-6.389,0,0.0693,0.00279,0.339,0.0703,0.583,125.028,4
spotify:track:7tBYjVWghQNx6AGRWKn1Rr,"Jhoom - Tribal Mix","Exotic","Fake Tattoos",2025-05-22,304410,6,false,7pnz0z1olc52xg8urp8y6gr96,2025-08-27T08:40:29Z,"","Golden Moon Recordings",0.802,0.797,2,-6.053,1,0.0424,0.00258,0.831,0.122,0.416,124.996,4
spotify:track:7vWCowFbp68g7ZoH3RTKhf,"Habibi","Exotic","Fake Tattoos",2025-05-22,328330,12,false,7pnz0z1olc52xg8urp8y6gr96,2025-08-27T08:40:18Z,"","Golden Moon Recordings",0.715,0.925,0,-5.691,1,0.0343,0.0176,0.731,0.0959,0.813,125.018,4
spotify:track:75i9fXg9LERSfnkiHHLzqv,"South India","South India","Fake Tattoos;Subodhik",2025-07-18,222069,22,false,7pnz0z1olc52xg8urp8y6gr96,2025-11-25T06:12:12Z,"","Pinkturban",0.783,0.946,2,-8.136,1,0.0463,0.323,0.717,0.0907,0.437,125.012,4
spotify:track:6FdBxTd1gzR1xK7lkFazeA,"Sufi","Branded","Fake Tattoos;Neil Richter",2022-05-04,341355,12,false,7pnz0z1olc52xg8urp8y6gr96,2024-10-17T12:27:51Z,"melodic techno","Golden Moon Recordings",0.745,0.678,8,-9.944,0,0.0507,0.0146,0.0183,0.0796,0.43,124.01,4
spotify:track:4zBfbu5tm4vNBIv5ZvKznj,"Haseena","Exotic","Fake Tattoos",2025-05-22,314890,28,false,7pnz0z1olc52xg8urp8y6gr96,2025-08-27T08:40:04Z,"","Golden Moon Recordings",0.715,0.773,4,-8.357,0,0.0479,0.000344,0.794,0.151,0.0765,124.995,4
spotify:track:1ckViQPaQ0KFgvGuAEScIh,"Baadshah","Unfazed","Fake Tattoos",2023-09-13,374420,25,false,7pnz0z1olc52xg8urp8y6gr96,2024-02-23T12:49:40Z,"","Golden Moon Recordings",0.801,0.97,10,-6.317,0,0.042,0.00245,0.841,0.0389,0.18,124.997,4
spotify:track:01lJC1FkuuAK4JT2kKytvx,"Shehzada","Unfazed","Fake Tattoos",2023-09-13,329050,16,false,7pnz0z1olc52xg8urp8y6gr96,2024-05-11T04:34:47Z,"","Golden Moon Recordings",0.779,0.87,2,-5.9,1,0.0423,0.0233,0.844,0.0698,0.366,124.995,4
spotify:track:6hbuc2qCUdSaKZGMXKWPbD,"Karmaa","Karmaa","M.Hustler;Leo N;KOFA",2025-10-24,191843,29,false,7pnz0z1olc52xg8urp8y6gr96,2025-11-25T06:16:20Z,"afro house,afro tech","Hooligan Groove",0.726,0.963,9,-5.185,1,0.0457,0.000831,0.833,0.174,0.466,125,4
spotify:track:2RFec2TdEm0BnWUP0IQRkF,"Mehfil 89","Ehsaas","Aatma;Fake Tattoos",2026-03-20,183307,22,false,7pnz0z1olc52xg8urp8y6gr96,2026-04-14T17:08:30Z,"","Lotus Lab Music",0.614,0.811,11,-7.274,0,0.0378,0.000452,0.834,0.118,0.166,127.003,4
spotify:track:2dQTwOLfaqkVuyUUXe7G29,"Same Man","Same Man","No Hopes;KOFA;VANI",2026-03-13,220775,29,false,7pnz0z1olc52xg8urp8y6gr96,2026-04-14T17:09:10Z,"indie dance,g-house,afro house,afro tech","Stress Out",0.628,0.904,10,-6.367,0,0.0406,0.000847,0.6,0.0741,0.78,122.98,4
spotify:track:2Q0Ulx1pR8gTJoCfxOOVCZ,"Salam","Salam","MESTIZA",2026-03-20,173637,58,false,7pnz0z1olc52xg8urp8y6gr96,2026-04-14T17:11:12Z,"latin house,flamenco,afro house,tribal house","Sacro Music",0.746,0.991,11,-4.924,1,0.0619,0.0314,0.833,0.0805,0.196,122.013,4
spotify:track:7yAGZILvTOYiHvSH6s6LaC,"Midnight Surma","Midnight Surma","Ansick",2026-03-03,173380,27,false,7pnz0z1olc52xg8urp8y6gr96,2026-04-14T17:11:56Z,"afro house","INDOLAB",0.805,0.881,1,-7.804,1,0.0388,0.0223,0.74,0.124,0.581,124.978,4
spotify:track:1mZnxNzp17JrPyzDzkoiiC,"Loco Loco","Loco Loco","Gordo;Reinier Zonneveld",2026-02-13,136666,77,true,7pnz0z1olc52xg8urp8y6gr96,2026-04-14T17:12:18Z,"techengue,afro house,latin house,techno,acid techno,hard techno,tekno,minimal techno","Spinnin' Records",0.732,0.958,11,-4.958,0,0.0382,0.00658,0.00953,0.408,0.505,126.962,4
spotify:track:48xRhdgmS5bt1mb4Bb8acy,"Beledna","Beledna","MoBlack;Wail Bouri;Emmanuel Jal",2025-10-03,238048,38,false,7pnz0z1olc52xg8urp8y6gr96,2026-04-14T17:13:35Z,"afro house,afro tech,tribal house","Intercord",0.537,0.949,10,-5.998,0,0.0563,0.00511,0.627,0.196,0.88,123.003,4
