Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Isojh4WEaeEyyu9j2H4Sa,"El Primer Corazón","El Primer Corazón EP","Classmatic",2022-01-28,210000,45,false,31ppgaxjpcjfzij6qyljry4drlui,2022-07-29T11:01:33Z,"tech house,latin house","Revival New York",0.813,0.887,4,-7.092,1,0.065,0.00475,0.726,0.103,0.31,127.969,4
spotify:track:47ZtIbXcqQt0z3YFmcscDI,"Roadtrip","Acid Attack","Ann Clue;Boris Brejcha",2016-06-21,493440,49,false,31ppgaxjpcjfzij6qyljry4drlui,2022-07-29T17:40:49Z,"minimal techno,techno,melodic techno,tech house","Fckng Serious",0.576,0.386,7,-12.604,1,0.061,0.0141,0.92,0.102,0.0375,124.994,4
spotify:track:6LljELgmJ5jXeQMdjjFKSN,"Renaissance Diner - Øostil Remix","Renaissance Diner","Black Peters;Øostil",2019-10-04,427712,26,false,31ppgaxjpcjfzij6qyljry4drlui,2022-07-29T11:00:56Z,"melodic techno,melodic house,techno","Oddity Records",0.741,0.625,1,-13.15,1,0.0514,0.283,0.89,0.106,0.0398,124.998,4
spotify:track:4dUIinlaify3Z3DAZmPkc7,"Confusion","Confusion","&ME;Rampa;Adam Port;Ali Love",2021-08-27,416500,37,false,31ppgaxjpcjfzij6qyljry4drlui,2022-07-29T11:01:08Z,"afro house,afro tech,house,melodic house,tech house","Keinemusik",0.756,0.527,8,-11.861,1,0.0428,0.00201,0.509,0.112,0.248,119.996,4
spotify:track:1GMq61rtAFhnn0K7GBJDkK,"Like Wooh Wooh","Like Wooh Wooh","Rnbstylerz",2019-07-30,196043,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-07-29T11:01:26Z,"","Rnbstylerz",0.814,0.803,10,-5.354,1,0.0844,0.0416,0.808,0.0713,0.575,125.012,4
spotify:track:1yfqKP7UcohE0dKMC4nDqW,"Poltergeist","Propaganda","Oliver Huntemann",2017-10-13,475080,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-07-29T11:01:03Z,"minimal techno,techno,tech house","Senso Sounds",0.804,0.692,4,-8.599,0,0.0464,0.0032,0.938,0.109,0.0366,122.004,4
spotify:track:3GHJ47kr5h2nisPvaRGBFT,"I Go - DJ Koze Remix","I Go (Remixes)","Peggy Gou;DJ Koze",2022-03-30,329996,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-07-29T11:00:42Z,"","Gudu Records",0.822,0.551,1,-9.871,0,0.062,0.0498,0.26,0.217,0.642,123.989,4
spotify:track:2XHCs45hwVfLArRInpP9wX,"Diagonal","Diagonal EP","Khainz",2017-01-23,392806,13,false,31ppgaxjpcjfzij6qyljry4drlui,2022-07-29T11:01:00Z,"melodic techno,minimal techno,melodic house,techno","Heinz Music",0.806,0.722,6,-8.569,0,0.0611,0.00027,0.897,0.0673,0.463,123.01,4
spotify:track:02IJj27PR94olmp9hc69mF,"Sirens - Extended","Sirens EP","Mauro Venti",2022-07-08,391200,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-07-29T11:00:46Z,"tech house","Hot Creations",0.805,0.753,11,-9.152,0,0.0543,0.0241,0.613,0.0637,0.452,128.002,4
spotify:track:2fSNDaBmTg8VucedIUA3IA,"False Need","False Need","Mochakk",2022-04-08,214985,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-07-29T18:02:26Z,"tech house,house","Black Book Records",0.794,0.651,6,-8.434,1,0.0479,0.00985,0.764,0.0778,0.144,127.013,4
