Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:56ojEzFHWfW42B0s6Z5jLB,"Nathan (still breathing)","Actual Life 3 (January 1 - September 9 2022)","Fred again..",2022-10-28,163996,0,false,1112403168,2022-10-28T18:55:39Z,"stutter house,house,edm","Atlantic Records UK",0.616,0.522,1,-8.544,1,0.0687,0.816,0.00249,0.219,0.165,97.977,4
spotify:track:32DqQqnNiZI5VxozdaUUDu,"Kammy (like i do)","Kammy (like i do)","Fred again..",2022-10-03,238829,45,false,1112403168,2022-10-05T12:40:08Z,"stutter house,house,edm","Atlantic Records UK",0.715,0.945,2,-6.464,0,0.0615,0.031,0.0845,0.268,0.599,132.005,4
spotify:track:2sLVs5iX0osogh4jcsAJkv,"Danielle (smile on my face)","Danielle (smile on my face)","Fred again..",2022-09-14,201230,57,true,1112403168,2022-09-14T11:32:59Z,"stutter house,house,edm","Atlantic Records UK",0.678,0.931,5,-5.813,1,0.0867,0.00159,0.0275,0.091,0.346,130.021,4
spotify:track:0F3DdOECeVoVaELgPcYiSf,"Tanya (maybe life)","Actual Life 2 (February 2 - October 15 2021)","Fred again..",2021-11-19,316129,49,false,1112403168,2022-08-04T15:03:08Z,"stutter house,house,edm","Atlantic Records UK",0.692,0.842,5,-8.199,1,0.392,0.0483,0.00000248,0.382,0.227,128.037,4
spotify:track:0Ftrkz2waaHcjKb4qYvLmz,"Delilah (pull me out of this)","Delilah (pull me out of this)","Fred again..;Delilah Montagu",2022-10-17,250702,64,false,1112403168,2022-10-17T19:54:31Z,"stutter house,house,edm","Atlantic Records UK",0.685,0.827,10,-7.745,1,0.224,0.138,0.00207,0.374,0.586,133.93,4
spotify:track:7kAJWULoQUsWiiTJp2951Y,"Bby","Diamond Cut / Bby","Overmono",2021-11-19,343341,45,false,1112403168,2022-08-04T15:06:04Z,"uk garage,breakbeat","XL Recordings",0.561,0.601,2,-8.792,1,0.0432,0.0327,0.867,0.0697,0.0944,130.009,4
spotify:track:5MPPttjfGap2C6j6eKcO6J,"Baby (Lil Baby feat. DaBaby)","Quality Control: Control The Streets Volume 2","Quality Control;Lil Baby;DaBaby",2019-08-16,142417,82,true,1112403168,2022-08-05T15:23:22Z,"","Quality Control Music/Motown Records",0.97,0.463,10,-7.259,1,0.366,0.0957,0,0.151,0.46,108.003,4
spotify:track:45wsXcGKtFzlxGPn1piial,"Haribo","New Heroes, Vol. 1","Matt Jam Lamont;Echelon;Smokey Bubblin' B",2020-05-01,303000,32,false,1112403168,2022-08-04T15:13:36Z,"uk garage,uk funky,bassline,rally house,house","Undagrnd Freqz",0.798,0.972,9,-5.924,0,0.0534,0.00103,0.847,0.259,0.907,129.997,4
spotify:track:5bF00VrMY3FwnQDgoP4Gnk,"Strong","Strong","Romy;Fred again..",2022-11-14,234053,56,false,1112403168,2022-11-14T20:01:15Z,"stutter house,house,edm","Young",0.576,0.825,4,-6.742,1,0.047,0.0707,0.259,0.337,0.311,133.977,4
spotify:track:6gdDu39yYqPcaTgCwYEW8i,"Turn On The Lights again.. (feat. Future)","Turn On The Lights again.. (feat. Future)","Fred again..;Swedish House Mafia;Future",2022-07-29,267946,66,false,1112403168,2022-08-04T15:15:04Z,"stutter house,house,edm,rap","Atlantic Records UK",0.683,0.887,6,-4.944,0,0.0497,0.0125,0.446,0.318,0.551,132.007,4
