Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0eK5y1c7WDyWwx6k9SFjbT,"Renegade","The Blueprint (Explicit Version)","JAŸ-Z;Eminem",2001-09-11,337760,63,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"hip hop,east coast hip hop,rap","Roc-A-Fella",0.561,0.774,1,-3.144,0,0.447,0.399,0.00000184,0.189,0.82,77.621,1
spotify:track:1SgENhaSaWJ9OWci6zRAvD,"The Uppercut","Loyal To The Game","2Pac;E.D.I. Mean;Young Noble",2004-01-01,230226,47,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Amaru",0.874,0.64,10,-4.083,0,0.306,0.283,0.000002,0.137,0.687,80.991,4
spotify:track:7ycWLEP1GsNjVvcjawXz3z,"Praise The Lord (Da Shine) (feat. Skepta)","TESTING","A$AP Rocky;Skepta",2018-05-25,205813,83,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"rap,grime,uk grime","A$AP Worldwide/Polo Grounds Music/RCA Records",0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4
spotify:track:41Fflg7qHiVOD6dEPvsCzO,"Worth It (feat. Kid Ink)","Reflection (Deluxe)","Fifth Harmony;Kid Ink",2015-01-30,224573,80,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"","Syco Music/Epic",0.884,0.765,8,-3.865,1,0.0882,0.063,0.00000704,0.118,0.594,99.987,4
spotify:track:0GTsMcWuvIt1FaLkZgnqKw,"Partir","Ben L'Oncle Soul","Ben L'Oncle Soul",2010-01-01,251773,18,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"indie soul","Universal Music Division Decca Records France",0.393,0.237,0,-13.288,0,0.0366,0.815,0,0.185,0.137,112.094,4
spotify:track:0aWMostcnfyjuCEcO7sTz5,"GHOST","GHOST","Jaden;Christian Rich",2018-06-22,129733,47,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"","MSFTSMusic / Roc Nation Records, LLC",0.782,0.531,1,-6.636,1,0.168,0.145,0.0501,0.238,0.247,148.046,4
spotify:track:7M2tXmeS15NAzEn7ABFeBg,"Homicide (feat. Eminem)","Confessions of a Dangerous Mind","Logic;Eminem",2019-05-10,245386,69,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"rap,hip hop","Def Jam Recordings",0.695,0.758,10,-5.667,0,0.398,0.137,0,0.167,0.769,140.056,4
spotify:track:5SkRLpaGtvYPhw02vZhQQ9,"All Falls Down","The College Dropout","Kanye West;Syleena Johnson",2004-02-10,223506,86,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"rap,neo soul","Roc-A-Fella",0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,4
spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,"Good News","Circles","Mac Miller",2020-01-17,342040,71,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"","Warner Records",0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,4
spotify:track:6Tsu3OsuMz4KEGKbOYd6A0,"Hypnotize - 2007 Remaster","Greatest Hits","The Notorious B.I.G.",2007-03-02,230000,73,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.895,0.694,9,-4.384,1,0.275,0.176,0,0.292,0.632,93.944,4
spotify:track:3ZWc3Bm8eUMRRJhSWKHHeV,"THAT'S THAT","BORN LIKE THIS","MF DOOM",2009-03-23,135066,0,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Lex Records",0.499,0.728,8,-4.922,0,0.385,0.235,0,0.686,0.853,96.089,4
spotify:track:2lD6AoA8qf2t4Dkf2TcmNK,"Rigamortus","Section.80","Kendrick Lamar",2011-07-02,168591,63,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"hip hop,west coast hip hop","Top Dawg Entertainment / Section.80",0.52,0.807,2,-6.281,1,0.409,0.24,0.00257,0.199,0.628,178.012,4
spotify:track:4V3N5LvUOh3yDPP16cwAhE,"Aquemini","Aquemini","Outkast",1998-09-29,319241,58,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"southern hip hop,hip hop","Arista/LaFace Records",0.707,0.661,1,-5.711,0,0.39,0.245,0,0.176,0.157,89.197,4
spotify:track:0IaauN3waFAr5oMBsG4FJi,"Black Water","Funeral Sky (Deluxe)","Reuben And The Dark",2015-06-23,153920,7,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"","Arts & Crafts",0.326,0.459,6,-9.242,1,0.0385,0.85,0.243,0.359,0.23,125.728,4
spotify:track:0eu4C55hL6x29mmeAjytzC,"Life Goes On","Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)","Oliver Tree",2021-05-28,161803,79,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"","Atlantic Records",0.7,0.49,0,-5.187,1,0.076,0.186,0,0.117,0.569,79.982,4
spotify:track:1T4U8Q2DRfs6OUg8DEsRZf,"Bad","Bad","Don Diablo;Zak Abel",2020-03-20,169910,58,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"future house,edm","Intercord",0.791,0.738,0,-5.197,1,0.0732,0.406,0.00826,0.159,0.666,123.927,4
spotify:track:2QrXzOqLCVDRZHkToA0tSR,"Never Go Back","Never Go Back","Dennis Lloyd",2019-02-15,175424,60,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"","Arista Records",0.421,0.653,9,-4.85,0,0.398,0.0135,0,0.114,0.733,78.6,4
spotify:track:10KQrsptNFQ0rwr7rHYjeu,"GFY","Exident","Dennis Lloyd",2019-04-05,186666,55,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"","Arista Records",0.634,0.676,10,-7.862,0,0.226,0.131,0,0.119,0.358,137.139,4
spotify:track:63SevszngYpZOwf63o61K4,"Nevermind","Nevermind","Dennis Lloyd",2017-06-30,156600,80,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"","WM Italy",0.6,0.688,5,-8.339,0,0.201,0.159,0.0000129,0.409,0.0793,99.977,4
spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,"Alright","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,219333,81,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"hip hop,west coast hip hop","Aftermath",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
spotify:track:6FE3ONANW4SBkUwffBgLc7,"Jack in Titanic","Endless Scroll","BODEGA",2018-07-06,184825,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:31:03Z,"post-punk","What's Your Rupture?",0.687,0.582,10,-5.964,0,0.0288,0.0265,0.0113,0.0873,0.38,108.021,4
