Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0FOQOr2M57GI3aESpAgElX,"Mood (feat. iann dior)","El Dorado","24kGoldn;iann dior",2021-03-24,140877,56,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:00Z,"melodic rap","Records/Columbia",0.701,0.727,7,-3.644,0,0.0358,0.192,0,0.128,0.76,91.008,4
spotify:track:0sDL6c7BZGffS71ICuJqF4,"Next to Me","Next to Me","RÜFÜS DU SOL",2021-08-11,314389,54,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:00Z,"","Rose Avenue/Reprise",0.638,0.609,7,-7.332,1,0.0295,0.112,0.127,0.115,0.31,117.981,4
spotify:track:4jtyUzZm9WLc2AdaJ1dso7,"0 To 100 / The Catch Up","0 To 100 / The Catch Up","Drake",2013-07-14,275226,73,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:00Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.559,0.716,11,-3.964,0,0.39,0.737,0,0.252,0.504,176.618,4
spotify:track:49acDBy9eCghAkXVdqRusk,"Rollin (feat. Future & Khalid)","Rollin (feat. Future & Khalid)","Calvin Harris;Future;Khalid",2017-05-12,272658,34,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:00Z,"edm,rap","Columbia",0.752,0.756,6,-4.552,0,0.0902,0.457,0.0000781,0.306,0.683,91.972,4
spotify:track:3ShV5E92NCpxh2B4MXycxU,"Elevated","Elevated","Shubh",2021-10-22,200658,0,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:00Z,"punjabi hip hop,punjabi pop,desi hip hop,hindi hip hop,desi","Shubh",0.828,0.533,6,-5.779,0,0.091,0.214,0.000028,0.307,0.605,93.021,4
spotify:track:4oWDaJpusSH1lqIQQkEHsS,"Father Ocean - Ben Böhmer Remix Edit","Father Ocean","Monolink;Ben Böhmer",2018-12-07,318674,62,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:00Z,"melodic techno,melodic house,techno,progressive house,deep house","Embassy One",0.609,0.74,2,-11.046,1,0.0342,0.396,0.749,0.113,0.0391,122.008,4
spotify:track:1byNRv4Mb2usF2sCSMXp60,"Sister Saviour - DFA vocal remix","Sister Saviour","The Rapture;Tim Goldsworthy;James Murphy",2003-01-01,265293,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:00Z,"new rave,indie dance,electroclash,alternative dance","EMI",0.746,0.715,7,-6.317,1,0.047,0.00436,0.475,0.0768,0.487,117.012,4
spotify:track:4Ub8UsjWuewQrPhuepfVpd,"Pompeii","All This Bad Blood","Bastille",2013-01-01,214147,77,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:00Z,"","EMI (Virgin)",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
spotify:track:6DCZcSspjsKoFjzjrWoCdn,"God's Plan","Scorpion","Drake",2018-06-29,198973,87,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:00Z,"rap","Cash Money/Drake LP6",0.754,0.449,7,-9.211,1,0.109,0.0332,0.0000829,0.552,0.357,77.169,4
spotify:track:3qk4wRMDlaeagZGjSYbsOV,"Sober","The Beautiful & Damned","G-Eazy;Charlie Puth",2017-12-15,203960,54,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:00Z,"soft pop","BPG/RVG/RCA Records",0.558,0.766,6,-5.953,0,0.231,0.263,0,0.32,0.182,96.281,4
