Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:11BAVEGi1ivJ6JWLqKUNrZ,"Catch & Release - Deepend Remix","When The Lights Go Down","Matt Simons;Deepend",2015-09-30,195173,74,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-10T21:57:43Z,"tropical house,deep house,lounge","Next Plateau Entertainment",0.838,0.536,1,-8.645,0,0.0478,0.555,0.000376,0.111,0.107,104.988,4
spotify:track:7kbTZWt7DnzIzbkyzFE1PW,"For A Better Day","Stories","Avicii",2015-10-02,206066,69,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-10T22:04:58Z,"edm","Pophouse Entertainment Group",0.639,0.843,5,-3.393,1,0.0334,0.0386,0.0829,0.108,0.317,135.002,4
spotify:track:3p7tnkOpYL5WH4IaRzLZ5e,"Friends","Friends","Night Tales",2018-11-30,274529,53,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-11T01:47:42Z,"","Craft Recordings",0.862,0.52,6,-7.628,1,0.0499,0.00467,0.107,0.0988,0.515,118.002,4
spotify:track:0Py4iHLT1CPUOB6UJCrKeq,"How To Listen To This Album","Echoes","Stereoclip",2021-11-26,150461,54,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-11T03:19:41Z,"melodic techno","Armada Electronic Elements",0.551,0.712,9,-10.032,0,0.0514,0.285,0.44,0.109,0.0746,123.059,4
spotify:track:13NJl8CmtD3PZLpsj90coa,"MOUNT","DANCEHALL","The Blaze",2018-09-07,181346,44,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-12T12:20:14Z,"","Animal 63",0.514,0.371,5,-12.726,0,0.0371,0.852,0.457,0.109,0.0624,129.989,4
spotify:track:4oZnV1W54b1TIn96i0KIwV,"Let Go","Let Go","Duskus",2022-04-21,126043,55,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-14T04:04:09Z,"stutter house,future bass","Broken Levee",0.793,0.564,9,-11.307,1,0.125,0.311,0.914,0.203,0.399,133.054,4
spotify:track:3ZSqMer9RLSglvi18bWXYV,"Sky and Sand","Berlin Calling (The Soundtrack by Paul Kalkbrenner)","Paul Kalkbrenner;Fritz Kalkbrenner",2013-07-12,230500,71,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-14T13:47:19Z,"minimal techno,techno,electro","Paul Kalkbrenner Musik",0.792,0.329,10,-12.906,0,0.0593,0.6,0.857,0.193,0.526,127.02,4
spotify:track:0HZtVLVL6oLU9WobKQxqGu,"Lido","Isles","BICEP",2021-01-22,200240,52,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-14T13:51:19Z,"","Ninja Tune",0.648,0.339,9,-14.428,0,0.0304,0.966,0.881,0.105,0.169,119.984,4
spotify:track:5cGBQ9W3XtRuRQFgDklDrI,"Voodoo","Perfect Mistakes","Tinlicker;Ben Böhmer",2022-10-04,233804,60,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-14T13:57:02Z,"melodic house,progressive house,melodic techno,deep house","Anjunadeep",0.558,0.834,5,-8.585,1,0.0366,0.00573,0.89,0.0987,0.108,123.998,4
spotify:track:3T2oIu6ppEekNvlYQHL8y2,"Sirene","Stalk 2 (Original Series Soundtrack - Saison 2)","Paul Sabin",2021-10-07,169189,50,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-14T14:35:26Z,"","Paul Sabin / Fortune",0.713,0.56,8,-12.368,0,0.0404,0.621,0.842,0.108,0.177,111.022,4
spotify:track:1NJH4ROnDMzFuFDGLsDo4S,"White Flag","White Flag","Romain Garcia",2021-01-08,198463,56,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T02:44:33Z,"melodic house,melodic techno,progressive house","Ton Töpferei",0.658,0.775,2,-10.136,1,0.0424,0.0414,0.821,0.119,0.0396,121.01,4
spotify:track:555xHSjplKrHgZteVOwJ7R,"Spiral - Edit","Spiral (Edit)","Philipp Wolf",2022-10-14,221577,52,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T03:16:09Z,"melodic house,melodic techno","Places",0.643,0.482,5,-13.656,0,0.339,0.325,0.888,0.234,0.123,123.097,4
spotify:track:7MiYNyj5si5yiWyeSkgzqB,"Joda - Worakls Remix","Hungry Music Remix, Vol. 1","Joachim Pastor;Worakls",2016-03-11,338086,55,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T03:21:55Z,"melodic techno,minimal techno,electro","Hungry Music",0.757,0.678,3,-11.225,0,0.0323,0.0399,0.849,0.129,0.13,115.01,4
spotify:track:67PhsJ3qXCLORv16JTniDM,"Void Loop","Void Loop","BIRRD",2022-06-23,245706,60,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T03:33:37Z,"","Yotanka Records",0.47,0.718,1,-8.154,1,0.0382,0.0352,0.838,0.179,0.286,121.078,4
spotify:track:4oNnLEVCRyD3Into7UwOKy,"Dissociative","Dissociative","Traf",2018-09-13,337920,57,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T03:37:35Z,"","TRAF",0.676,0.604,8,-13.81,1,0.0323,0.394,0.893,0.285,0.0937,124.99,4
spotify:track:5bjXTibRMVzZUQwiT47Z93,"Love Inc","Eve","Booka Shade",2013-11-01,361000,58,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T03:41:56Z,"minimal techno,melodic house,melodic techno,electronica","Blaufield Music",0.782,0.737,5,-9.004,0,0.0512,0.00827,0.853,0.858,0.119,122.997,4
spotify:track:17bj0Y5P4YUZzAheOxxJUg,"Azure","Berlin Calling (The Soundtrack by Paul Kalkbrenner)","Paul Kalkbrenner",2013-07-12,364059,60,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T03:46:17Z,"minimal techno,techno,electro","Paul Kalkbrenner Musik",0.73,0.504,4,-13.915,1,0.0478,0.123,0.882,0.107,0.0932,121.992,4
spotify:track:4HadYIhNfy7evMUI5W6wEc,"Reykjavik","Reykjavik","Joachim Pastor",2015-02-13,456762,54,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T04:16:14Z,"melodic techno,minimal techno","Hungry Music",0.766,0.347,1,-12.763,0,0.053,0.0369,0.85,0.0987,0.297,122.019,4
spotify:track:5r43Rwy2cBKF6HQYIS41Bw,"Hide U - Tinlicker Remix","Hide U (Tinlicker Remix)","Kosheen;Tinlicker",2021-04-09,221048,66,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T04:22:03Z,"trip hop,melodic house,progressive house,melodic techno","Armada Music",0.498,0.868,0,-6.863,0,0.0327,0.00149,0.113,0.139,0.126,123.979,4
spotify:track:5K5CvZolPrlzOIvo080rAI,"Fractal","This Is Not Our Universe","Tinlicker",2019-09-27,317454,58,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T04:37:35Z,"melodic house,progressive house,melodic techno","Anjunabeats",0.535,0.883,7,-8.089,0,0.031,0.0144,0.853,0.127,0.0358,122.999,4
spotify:track:6MerLCpygAMCXiEJuVlbVn,"Movmënt","Movmënt","MANARËM",2024-08-09,259906,13,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T04:44:11Z,"","MANARËM",0.584,0.373,9,-15.196,0,0.0448,0.51,0.797,0.11,0.0344,114.053,4
spotify:track:0edyHXwgPYS6EwwVa02F3n,"Promesse - Short Version","Promesse (Short Version)","Joachim Pastor",2017-06-02,298582,48,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-15T05:34:46Z,"melodic techno,minimal techno","Hungry Music",0.811,0.649,7,-8.963,0,0.0323,0.00123,0.909,0.115,0.271,127.013,4
spotify:track:5NuS3ktpMOyhfO8CrUqQhB,"Toi","Toi / Cerisier blanc","Worakls",2015-02-13,428945,54,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-16T01:45:13Z,"minimal techno,melodic techno,electro","Hungry Music",0.81,0.555,11,-9.895,0,0.0482,0.00851,0.919,0.0626,0.0916,126.012,4
spotify:track:4wySt0Tw3gCiybsPeXScGA,"No Sympathy","No Sympathy","nimino",2023-03-28,258254,57,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T18:33:10Z,"stutter house,melodic house","This Never Happened",0.934,0.458,1,-7.18,1,0.0788,0.467,0.584,0.111,0.512,121.005,4
spotify:track:0IRDLaO3ng5eyl4Po8hZXj,"summer on the inside","summer on the inside","warner case;Jean Tonique;Max Kaluza",2021-07-30,205166,70,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T18:35:03Z,"nu disco,french house,french indie pop","Headroom Records",0.833,0.822,7,-7.862,0,0.0702,0.45,0.635,0.479,0.784,120.788,4
spotify:track:3zPco1u9i9bCjkG5pngR5t,"Clouds","Levi Don't Do It","BUNT.;Nate Traveller",2024-01-19,158760,77,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T18:39:47Z,"stutter house","Arista Records",0.7,0.748,9,-8.16,0,0.0771,0.226,0.796,0.104,0.154,130.056,4
spotify:track:4XOc8gjhKl7FvdD4CHBYIy,"She Don't Dance","She Don't Dance","Everyone You Know",2019-07-19,226610,54,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T18:40:39Z,"","RCA Records Label",0.716,0.875,11,-4.664,0,0.0594,0.0213,0.00000257,0.535,0.099,109.991,4
spotify:track:7sWUDZ69yRXN0fnLg9heYX,"The Drive","Ain't Smiled in Ages","Everyone You Know",2024-11-15,229216,40,true,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T18:41:08Z,"","RCA Records Label",0.644,0.789,9,-5.613,0,0.195,0.0789,0,0.122,0.268,87.992,4
spotify:track:6mjN72fXeZwLkCDG7rHH3N,"After Earth - Edit","Morning Falls EP","Ben Böhmer",2018-01-05,238406,61,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T18:51:19Z,"melodic house,melodic techno,progressive house,deep house","Anjunadeep",0.595,0.54,5,-10.477,1,0.0347,0.0367,0.903,0.122,0.226,123,4
spotify:track:4ItMchWCT6d3acnzQfcpmy,"Maelstrom","Breathing","Ben Böhmer",2019-11-22,237176,60,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T18:51:39Z,"melodic house,melodic techno,progressive house,deep house","Anjunadeep",0.687,0.42,5,-10.179,1,0.0543,0.106,0.81,0.104,0.288,123.013,3
spotify:track:6zn2ecncFfP9yjtGoCNCyS,"Neptune","Neptune","François Ier",2014-06-16,392851,49,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T18:52:04Z,"","Boxon Records",0.727,0.543,3,-9.064,1,0.0449,0.0509,0.872,0.129,0.0386,121.029,4
spotify:track:2k5SEAK05D29ZkqbnFgIVL,"Satisfied (Ambient Reprise)","Silver Linings Remixed","Catching Flies",2020-04-17,195959,65,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T18:52:31Z,"downtempo","Indigo Soul",0.386,0.304,4,-12.215,0,0.0531,0.892,0.749,0.102,0.057,122.001,4
spotify:track:6MAfxjDn1I84Q2fZw3NlUa,"Lose It All (I Don't Wanna)","Levi Don't Do It","BUNT.",2024-01-19,139046,62,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T19:05:37Z,"stutter house","Arista Records",0.683,0.864,11,-7.115,0,0.0876,0.203,0.836,0.0922,0.355,140.01,4
spotify:track:1yiLmcHovufRMfOgxqSsfI,"Regal","Root to Branch, Vol. 5","Polar Inc.",2020-08-04,232377,57,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T19:07:09Z,"melodic house","This Never Happened",0.715,0.66,5,-9.51,1,0.129,0.69,0.892,0.101,0.226,121.999,4
spotify:track:0SQMLCWkO6gmZPJkTH5n8o,"King Curtis - Edit","King Curtis","Fritz Kalkbrenner",2021-07-23,226848,51,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T19:07:41Z,"","Nasua Music",0.611,0.672,8,-10.758,1,0.0345,0.0467,0.893,0.153,0.194,121.01,4
spotify:track:1DwsNuQmxK0T1GvUTSfCps,"Vozzhayevka","Kinkajou / Vozzhayevka","Sound Quelle",2020-12-18,190500,42,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T20:16:44Z,"progressive house,melodic house,organic house,deep house,progressive trance","Colorize (Enhanced)",0.546,0.522,3,-11.412,0,0.0341,0.0671,0.962,0.122,0.194,115.992,4
spotify:track:3b589i3VEOsWJRNdOdWDsK,"DEVOTION","DEVOTION","Mild Minds",2022-07-26,231978,54,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-17T20:17:19Z,"stutter house","Foreign Family Collective",0.577,0.871,2,-5.4,0,0.0332,0.577,0.813,0.15,0.214,118.003,4
spotify:track:3OwRa2tUnsZ1UQChpLXSSC,"Fënce","Fënce","MANARËM",2024-08-29,197850,9,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-18T03:36:11Z,"","MANARËM",0.778,0.699,1,-4.952,0,0.0827,0.747,0.946,0.109,0.129,124.991,4
spotify:track:6zfczP87XO2SxWlQtnjFNa,"The Look","The English Riviera","Metronomy",2011-04-11,277653,76,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-21T19:26:43Z,"new rave,alternative dance","Because Music Ltd.",0.638,0.535,9,-7.792,0,0.0415,0.623,0.0391,0.0837,0.504,84.947,4
spotify:track:7q584VOAZLMPaIQ9pedKFl,"Both Of Us","Both Of Us","Jayda G",2020-05-26,353568,53,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-21T19:27:10Z,"","Ninja Tune",0.756,0.668,11,-10.756,1,0.0704,0.00217,0.837,0.0796,0.504,123.97,4
spotify:track:49fOKvQVojIKvJKQhQj2nA,"The Flute Song - Paul Kalkbrenner Remix","Planet of the Simius (The Remixes)","Kid Simius;Paul Kalkbrenner",2018-12-14,300360,42,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-22T07:31:36Z,"minimal techno,techno,electro","Jirafa Records",0.672,0.422,11,-10.78,0,0.088,0.288,0.763,0.236,0.475,117.983,4
spotify:track:2X485T9Z5Ly0xyaghN73ed,"Let It Happen","Currents","Tame Impala",2015-07-17,467586,87,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-23T03:28:38Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,4
spotify:track:5TgDhaHIxJr3Sfr5xWMD64,"THE MOON // 3:49AM","THE MOON // 3:49AM","Mokado",2024-10-25,212013,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-26T06:47:24Z,"","Café de la Danse / LA Café",0.681,0.618,5,-7.68,0,0.0379,0.0891,0.78,0.0702,0.479,121.982,4
spotify:track:4qbk7CaLjQIjuQpebRnyFN,"Movement","Duality","TWO LANES",2023-06-16,371859,44,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-26T07:02:56Z,"","TWO LANES MUSIC",0.604,0.574,1,-14.417,1,0.0396,0.046,0.863,0.106,0.0442,116.991,4
spotify:track:0bQmS1DS24E6TK5gdVm1jD,"Mutt","Mutt","Swimming Paul",2025-02-07,200625,40,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-26T16:11:18Z,"stutter house","Headroom Records",0.866,0.677,4,-7.497,0,0.154,0.0081,0.0875,0.064,0.13,128.014,4
spotify:track:1zgs6QpTBuJ67TQvXMtp7L,"VHS RAVE","VHS RAVE","Tiësto;Swimming Paul",2024-09-06,191250,62,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-28T05:16:14Z,"edm,trance,big room,stutter house","Musical Freedom",0.714,0.925,8,-6.119,0,0.0635,0.0277,0.348,0.137,0.282,127.988,4
spotify:track:7qTu1G3gDgC5qJ6Eu71OUs,"Cherry Blossom - Vintage Culture Remix","Cherry Blossom (Vintage Culture Remix)","Empire Of The Sun;Vintage Culture",2025-03-07,253437,49,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-28T07:03:40Z,"brazilian bass,electronic,electro","EMI Recorded Music Australia Pty Ltd",0.613,0.88,5,-4.792,0,0.0368,0.00174,0.688,0.162,0.557,128.021,4
spotify:track:0koayp1WcjhQjN5kS5JxoE,"The Way It Goes","Smiling Through The Pain","Swimming Paul",2024-06-21,184790,58,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-07-30T02:57:21Z,"stutter house","Headroom Records",0.825,0.688,8,-5.661,1,0.141,0.0079,0.169,0.286,0.361,128.021,4
spotify:track:1kHUc1GdwFl5QMwIsdVGc3,"Arc de Triomphe","13 Months of Sunshine","Aminé",2025-05-16,166618,55,true,22nfklp6e2bdvfz6yfb4e5zdy,2025-08-04T14:07:54Z,"","CLBN LLC",0.887,0.791,8,-6.117,0,0.286,0.016,0.00000998,0.308,0.788,129.967,4
spotify:track:28WFDBPuVavZOK0KxkYSd7,"Untroubled","Cold Water","Kidnap",2021-08-13,240250,43,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-08-05T03:44:46Z,"melodic house","Birds That Fly",0.77,0.891,7,-8.795,1,0.062,0.13,0.841,0.102,0.483,125.003,4
spotify:track:6yGAgWa1aMglog9hnFyyM7,"Ville","Dérive","Jumo",2017-05-12,132000,47,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-08-05T03:49:09Z,"","Nowadays Records",0.719,0.527,0,-10.35,0,0.196,0.385,0.894,0.105,0.352,157.536,3
spotify:track:3Do9fwtLWSCvcGJgq7PXUB,"Soul Spiral","Soul Spiral","Durante",2022-04-15,216000,41,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-08-05T03:50:47Z,"melodic house,progressive house,deep house","Armada Music",0.845,0.651,0,-11.986,1,0.0499,0.206,0.815,0.106,0.378,125.002,4
spotify:track:6yGAgWa1aMglog9hnFyyM7,"Ville","Dérive","Jumo",2017-05-12,132000,47,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-08-05T03:53:50Z,"","Nowadays Records",0.719,0.527,0,-10.35,0,0.196,0.385,0.894,0.105,0.352,157.536,3
spotify:track:6Au1l0egQFYxbnCZxakoOL,"Sinnerman - Sofi Tukker Remix","Sinnerman (Sofi Tukker Remix)","Nina Simone;SOFI TUKKER",2021-10-08,232632,68,false,22nfklp6e2bdvfz6yfb4e5zdy,2025-08-06T05:37:31Z,"vocal jazz,soul jazz,soul,jazz,blues","Verve",0.795,0.764,11,-7.463,0,0.04,0.411,0.0105,0.0912,0.156,124.027,4
