Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2e2yKavdT6WQzzMHwNtPFa,"In The Yuma (feat. Aatig)","In The Yuma (feat. Aatig)","Chris Lake;Aatig",2022-11-11,156215,63,false,31fcpnmben6ajp2wskdaa3fzqgk4,2023-08-29T17:19:37Z,"tech house,house,bass house","Black Book Records/Astralwerks",0.83,0.897,1,-4.796,0,0.0626,0.000251,0.779,0.132,0.936,126.028,4
spotify:track:2IyT4A7X7QYMAhEK6etsi3,"LEFT TO RIGHT","LEFT TO RIGHT","Odd Mob",2022-08-12,146250,0,false,31fcpnmben6ajp2wskdaa3fzqgk4,2023-08-29T17:19:37Z,"tech house,bass house","Insomniac Records",0.855,0.959,8,-4.442,1,0.269,0.141,0.348,0.306,0.22,128.024,4
spotify:track:7udjTmsTZqdB1xLOHGJ8dM,"Bel Mercy","Bel Mercy","Jengi",2022-12-02,169606,53,false,31fcpnmben6ajp2wskdaa3fzqgk4,2023-08-29T17:19:37Z,"","Mad Decent",0.945,0.759,1,-5.971,1,0.0865,0.231,0.651,0.0989,0.688,127.024,4
spotify:track:3I6EFt9kGCNBdd0ODrEb4i,"Naked (feat. Stanaj)","Naked (feat. Stanaj)","Myles O'Neal;Stanaj",2023-08-15,198095,25,false,31fcpnmben6ajp2wskdaa3fzqgk4,2023-08-29T17:19:37Z,"tech house","IN / ROTATION (Insomniac Records)",0.827,0.735,8,-5.095,0,0.151,0.211,0.00000736,0.0475,0.633,125.973,4
spotify:track:7jURkEKDVEm9sHueqUX0ko,"Gimme That Bounce","Gimme That Bounce","Mau P",2023-01-27,217410,64,false,31fcpnmben6ajp2wskdaa3fzqgk4,2023-08-29T17:19:37Z,"tech house,house","Insomniac Records",0.801,0.96,8,-5.534,1,0.264,0.0284,0.877,0.0985,0.101,126.045,4
spotify:track:4iAADGCKIR9GkLGvAHfZUS,"Beat Goes On (Rhythm to the Brain)","Beat Goes On (Rhythm to the Brain)","Campbell",2022-10-07,133213,63,false,31fcpnmben6ajp2wskdaa3fzqgk4,2023-08-29T17:19:37Z,"drum and bass","Atlantic Records UK",0.821,0.781,0,-4.465,1,0.0397,0.00563,0.0191,0.0403,0.434,137.017,4
spotify:track:1Pfl11Dyf9ijBQY73mBsew,"Maybach","Maybach","MOVEE ON;LAEHY",2023-08-25,208644,5,false,31fcpnmben6ajp2wskdaa3fzqgk4,2023-08-29T17:19:37Z,"afro house","Walgrove Records",0.8,0.944,11,-6.332,1,0.0623,0.00497,0.825,0.0999,0.814,130.008,4
spotify:track:4mhqmrl6F6n0SEUvZBTNVP,"AFTERPARTY","AFTERPARTY","KILL SCRIPT",2022-11-29,208615,19,false,31fcpnmben6ajp2wskdaa3fzqgk4,2023-08-29T17:19:37Z,"","IN / ROTATION (Insomniac Records)",0.683,0.952,11,-8.303,0,0.0584,0.000138,0.857,0.116,0.408,129.983,4
spotify:track:3cVVlPOw2pSEzLx9KNplYu,"Shake It","Shake It","Deeper Purpose",2023-01-20,187261,30,false,31fcpnmben6ajp2wskdaa3fzqgk4,2023-08-29T17:19:37Z,"tech house,house","Insomniac Records",0.802,0.991,7,-7.344,1,0.0442,0.00817,0.795,0.0872,0.603,126.006,4
spotify:track:0pJO8UlrDNNzXoiYfKpFlJ,"Inception","Inception","Símon Sumö",2023-06-21,150743,16,false,31fcpnmben6ajp2wskdaa3fzqgk4,2023-08-29T17:19:37Z,"","Amsterdam Records",0.78,0.561,2,-10.965,0,0.0508,0.0148,0.767,0.176,0.0526,120.999,3
