Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:503OTo2dSqe7qk76rgsbep,"Still D.R.E.","2001","Dr. Dre;Snoop Dogg",1999-11-16,270586,85,true,,1970-01-01T00:00:00Z,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap","Aftermath",0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,4
spotify:track:4xkOaSrkexMciUUogZKVTS,"Till I Collapse","The Eminem Show","Eminem;Nate Dogg",2002-05-26,297786,87,true,,1970-01-01T00:00:00Z,"rap,hip hop,g-funk,west coast hip hop,old school hip hop","Eminem Catalog PS",0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,4
spotify:track:0hFZRMipuQbyfLfXSH7EHd,"Vacay","13 Months of Sunshine","Aminé",2025-05-16,142962,56,true,,1970-01-01T00:00:00Z,"","CLBN LLC",0.841,0.669,0,-7.053,0,0.225,0.215,0.00000221,0.278,0.448,124.924,4
spotify:track:514joG57v4yKTsfQmz7stz,"Janice STFU","ICEMAN","Drake",2026-05-15,237344,92,true,,1970-01-01T00:00:00Z,"rap","OVO/Republic",0.789,0.483,1,-7.959,1,0.0486,0.0808,0,0.172,0.194,125.952,4
spotify:track:42F7AY5a40owYmUeq0QQTl,"The Thrill","The Thrill","Wiz Khalifa;Empire Of The Sun",2020-11-11,234333,84,true,,1970-01-01T00:00:00Z,"","Rostrum Records",0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,4
spotify:track:7sWUDZ69yRXN0fnLg9heYX,"The Drive","Ain't Smiled in Ages","Everyone You Know",2024-11-15,229216,40,true,,1970-01-01T00:00:00Z,"","RCA Records Label",0.644,0.789,9,-5.613,0,0.195,0.0789,0,0.122,0.268,87.992,4
spotify:track:5tgSjvWO685Z0mYKefArMI,"CRG (feat. Dave)","CAN'T RUSH GREATNESS","Central Cee;Dave",2025-01-24,182040,75,true,,1970-01-01T00:00:00Z,"uk drill,drill,uk grime,grime","Columbia",0.948,0.771,0,-5.205,1,0.266,0.191,0,0.105,0.904,129.899,4
spotify:track:2SjnvpedDUU0Ga69bxnoCa,"ALL THE LOVE (feat. Andre Troutman)","BULLY","Kanye West;Ye;Andre Troutman",2026-03-28,229152,85,false,,1970-01-01T00:00:00Z,"rap","YZY/gamma.",0.334,0.758,7,-6.32,0,0.0721,0.0194,0.0000111,0.213,0.208,118.247,4
spotify:track:2cH8wHImerFokgmhjyhCTU,"Huntin’ Wabbitz","Might Delete Later","J. Cole",2024-04-05,162026,72,true,,1970-01-01T00:00:00Z,"rap","Cole World, Inc. under exclusive license to Interscope Records",0.807,0.49,1,-8.451,0,0.353,0.177,0,0.0937,0.431,113.982,4
spotify:track:2wGSgTmgSF3xjRrHkTc25R,"Hate It Or Love It","The Documentary","The Game;50 Cent",2005,206400,85,true,,1970-01-01T00:00:00Z,"west coast hip hop,old school hip hop,gangster rap,hip hop,east coast hip hop","Geffen",0.802,0.785,9,-4.781,1,0.207,0.14,0,0.123,0.435,99.998,4
spotify:track:76hpb4zuwh6bsBZCDfVYJy,"Blame On Me","Jackman.","Jack Harlow",2023-04-27,241848,62,false,,1970-01-01T00:00:00Z,"","Generation Now/Atlantic",0.805,0.387,5,-8.724,0,0.512,0.437,0.00000167,0.115,0.435,95.988,4
spotify:track:6Ec5LeRzkisa5KJtwLfOoW,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)","Metro Boomin;A$AP Rocky;Roisee",2023-06-02,256026,81,false,,1970-01-01T00:00:00Z,"rap","Republic Records",0.6,0.537,9,-7.777,0,0.0362,0.0468,0.0038,0.206,0.126,90.061,4
