Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4CdqIjNJCJ35WZDJ4oMZg2,"Nacho","Gaya EP","Anyasa;Bawari Basanti",2021-08-12,251636,34,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-16T20:03:46Z,"melodic house,melodic techno,indian indie,hindi indie","Anjunadeep",0.592,0.701,2,-8.22,0,0.0366,0.0326,0.0298,0.0895,0.118,125.006,4
spotify:track:5d1IthC1D1CaajaQ0Vh8s3,"Rani","Hindustani Rascal","MALFNKTION",2015-09-28,271952,45,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-16T20:38:23Z,"indian indie,hindi indie","MALNUTRITION",0.73,0.533,6,-10.614,0,0.0428,0.616,0.846,0.213,0.556,106.021,4
spotify:track:1DFD5Fotzgn6yYXkYsKiGs,"Piece Of Your Heart","Piece Of Your Heart","MEDUZA;Goodboys",2019-02-01,152913,70,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-16T21:09:11Z,"","Intercord",0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
spotify:track:7tK1ic1IQUbwCY1JBpNdyC,"Carny - Original Mix","Dirty Dutch Blackout (Deluxe Edition)","Pleasurekraft",2011-12-02,376320,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-16T21:10:19Z,"techno,minimal techno,tech house","Dirty Dutch Compilations",0.951,0.359,2,-7.989,1,0.133,0.003,0.633,0.141,0.501,125.018,4
spotify:track:3B1Je3rlEac3p4ikYW13zw,"Define","Define","Dom Dolla;Go Freek",2015-07-24,232129,67,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-16T21:15:19Z,"house,tech house,future house","Sweat It Out",0.405,0.808,0,-3.867,0,0.0355,0.18,0.000412,0.133,0.32,122.043,4
spotify:track:3EEWeoEsWY5kO8UdtluGcg,"Indian Summer","Kindred Spirits","Jai Wolf",2016-11-18,248470,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-16T21:17:35Z,"","Mom+Pop",0.431,0.824,6,-2.52,1,0.0641,0.0244,0.0457,0.0845,0.0397,169.821,4
spotify:track:2LD2gT7gwAurzdQDQtILds,"Veridis Quo","Discovery","Daft Punk",2001-03-12,345186,77,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-16T21:23:09Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.605,0.687,9,-13.928,0,0.045,0.479,0.949,0.104,0.12,106.896,4
spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,"In My Mind","In My Mind","Dynoro;Gigi D'Agostino",2018-06-08,184560,80,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-16T21:26:25Z,"italo dance,eurodance","Columbia/B1 Recordings",0.694,0.77,6,-5.335,1,0.149,0.176,0.000011,0.118,0.163,125.905,4
spotify:track:3xYGWKsZ5CXWisReT4w4Bh,"Pacha On Acid","Pacha On Acid","AFROJACK",2010-02-24,448745,26,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-16T21:31:54Z,"edm,big room","SIZE Records",0.783,0.755,4,-9.803,1,0.0772,0.441,0.924,0.0959,0.331,128.991,4
spotify:track:7wAVCSMQa3WyFFhfGfPDNP,"Bind - Rampa Remix","Bind (Remixes)","Howling;Rampa;RY X;Frank Wiedemann",2020-09-01,378536,44,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-16T21:42:58Z,"afro house,afro tech,house,melodic house,indie folk","Counter Records",0.673,0.745,1,-12.584,1,0.0488,0.191,0.876,0.103,0.223,123.007,4
