Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5O3BBu1w4gfT0vsLPN3bfW,"Front 2 Back","Front 2 Back","Jordan Peak",2025-07-11,179771,59,false,datatransmission,2025-10-08T16:06:35Z,"house","Defected Records",0.726,0.946,1,-7.05,1,0.095,0.00289,0.0004,0.27,0.751,130.998,4
spotify:track:6BNNLxvizMT29kT15HGivM,"Gelatyn","Gelatyn","Hawkeys;Tim Grand",2026-04-29,200625,38,false,datatransmission,2026-05-01T09:16:31Z,"tech house,indie dance,bass house,melodic techno","Data Transmission",0.734,0.96,6,-6.85,1,0.0418,0.0066,0.363,0.186,0.921,128.001,4
spotify:track:3GnyBw5uNVFUxK3miOMqer,"Meant To Be","Meant To Be","Ed Hoffman;Eskay;Veronika Wild",2026-05-15,167187,20,false,datatransmission,2026-05-15T09:01:50Z,"tech house","63b",0.778,0.85,5,-5.865,0,0.0454,0.00115,0.268,0.169,0.795,130.016,4
spotify:track:20GqcQXULI3N04sVXYzmV7,"Hold Me Closer","Hold Me Closer","Arielle Free;Jem Cooke",2026-05-15,180875,39,false,datatransmission,2026-05-19T13:33:43Z,"","Solotoko",0.658,0.925,1,-7.085,1,0.0617,0.0146,0.0937,0.136,0.41,129.955,4
spotify:track:2beN8HPiQ6lwfofiRhoc3d,"Get Down - Radio Edit","Get Down","Daniel Stoica",2026-05-08,221250,14,false,datatransmission,2026-05-08T09:08:38Z,"tech house","dt weapons",0.689,0.988,7,-6.474,1,0.0633,0.00364,0.572,0.0757,0.289,128.002,4
spotify:track:5q6QXK4K3DvIlwGEtElny3,"Baby","Baby","Prospa;Murda Beatz",2026-05-08,193384,74,false,datatransmission,2026-05-08T09:25:48Z,"house","CircoLoco Records",0.852,0.823,11,-5.026,0,0.0894,0.00775,0.268,0.0713,0.745,130.003,4
spotify:track:4qAeEn8eYlVHDXAMcV4seO,"Dance With Me","Dance With Me","Nausica",2026-05-08,166874,31,false,datatransmission,2026-05-11T11:58:15Z,"latin house,tribal house,tech house,techengue","Toolroom Trax",0.804,0.879,2,-4.632,1,0.0413,0.0296,0.653,0.089,0.769,127.988,4
spotify:track:1ePyL7q9Wc2OQGOVb36uWT,"TO THE RESCUE","To The Rescue EP","Edd",2026-05-15,207347,29,false,datatransmission,2026-05-19T14:44:58Z,"disco house","Metamorfosi Records",0.7,0.979,11,-5.236,0,0.0441,0.00117,0.216,0.312,0.876,131.01,4
spotify:track:1TovOCm4N26awJpOM9JIBj,"I Wanna Feel","I Wanna Feel","Lizzie Curious",2026-05-07,140000,25,false,datatransmission,2026-05-12T10:46:07Z,"funky house","Curious Energy Records",0.581,0.984,3,-4.162,1,0.0914,0.108,0.81,0.311,0.545,132.006,4
spotify:track:5qP8KF9stgPaaXuXu2Hj1I,"Trust Me","Trust Me","Dunmore Brothers;Ben Westbeech",2026-05-08,202818,47,false,datatransmission,2026-05-08T11:25:48Z,"tech house,disco house","Solid Grooves Records",0.805,0.627,11,-6.745,0,0.052,0.00683,0.0574,0.0749,0.644,126.01,4
spotify:track:14DJZH28zbgJF537WarzWV,"That's Just Jazz!","All Stars 11","Enamour",2026-05-15,195967,22,false,datatransmission,2026-05-15T09:34:47Z,"melodic house,progressive house,melodic techno,organic house","Maccabi house",0.785,0.954,7,-7.755,1,0.0602,0.000467,0.851,0.122,0.556,124.015,4
spotify:track:2VPISJRbdnAsMf2qjDaabk,"Uptown Jam","Uptown Jam","Jude & Frank",2026-05-15,169218,28,false,datatransmission,2026-05-15T09:37:56Z,"latin house,tribal house,techengue,tech house","Edible",0.709,0.922,2,-6.406,0,0.0637,0.00646,0.799,0.111,0.511,128.009,4
spotify:track:1neiLoQdMSyk5gbzuYEpHx,"Dress Code","Dress Code","CodeRitual",2026-05-15,183750,25,false,datatransmission,2026-05-19T14:48:33Z,"","realsyck",0.689,0.917,7,-5.57,1,0.0303,0.0262,0.495,0.137,0.607,127.999,4
spotify:track:10gL7s5J2B4Tdr54vu0Ld8,"Memphis - Radio Edit","Memphis","Shahay;Sound Of Ghetto",2026-05-15,102976,7,false,datatransmission,2026-05-19T14:50:00Z,"bass house,g-house,bassline,uk garage","Wh0 Worx",0.87,0.764,11,-5.07,0,0.0681,0.00994,0.837,0.342,0.494,126.042,4
spotify:track:1xkPvKakviKYjfZxn7ExzA,"My Self","My Self","Zorzan",2026-05-15,164307,6,false,datatransmission,2026-05-19T14:36:40Z,"tech house","House Of Hustle",0.801,0.925,11,-8.102,1,0.0809,0.00199,0.724,0.0887,0.823,129.996,4
spotify:track:06fcladE0gfQHtyXQv7o7t,"Real Love","Real Love","Marco Lys;Lovely Laura;Ben Santiago",2026-04-10,177449,26,false,datatransmission,2026-05-15T14:24:33Z,"tech house,house","Nervous Records",0.75,0.957,7,-4.707,1,0.305,0.00302,0.00257,0.129,0.438,126.001,4
spotify:track:30LAaJpoP4d1GCw0HQl171,"Work It Out","Work It Out","Dansyn;DOX",2026-05-15,191703,41,false,datatransmission,2026-05-15T10:08:06Z,"tech house,indie dance","LIP SERVICE",0.729,0.931,1,-4.895,1,0.043,0.0183,0.21,0.071,0.68,127.007,4
spotify:track:0dC8dnWJX3KAD22QbcCY1b,"The Emotion","The Emotion","Morixo;Tasty Lopez",2026-04-10,136651,23,false,datatransmission,2026-04-24T14:53:29Z,"uk funky,house","Second Phase Records",0.594,0.956,5,-6.436,0,0.0367,0.00039,0.818,0.277,0.474,124.006,4
spotify:track:1RCJkxU1xarzDSG7UriX9O,"Makina Time - Joel Corry Remix","Makina Time (Joel Corry Remix)","Dimitri Vegas & Like Mike;Dj Konik;Dimitri Vegas;Joel Corry;Marlon Hoffstadt",2026-05-15,173731,56,false,datatransmission,2026-05-15T09:52:03Z,"big room,electronica,edm,dance pop,hard house,eurodance,techno","Smash The House",0.712,0.881,5,-4.122,0,0.0358,0.00362,0.76,0.494,0.745,133.975,4
spotify:track:0EsPqNwiWskxTFmNM14pQc,"Fumaça No Ar","Fumaça No Ar","LC Lennert",2026-05-15,179183,18,false,datatransmission,2026-05-15T14:57:15Z,"latin house","What Da House",0.717,0.902,11,-5.073,0,0.0488,0.0221,0.227,0.343,0.961,130.017,4
spotify:track:1VRtFiC2jmfXzhbjA1PDZW,"We Are","We Are","Adam Ten;Dodi",2026-05-15,213809,49,false,datatransmission,2026-05-15T09:50:34Z,"indie dance,melodic house,tech house","Experts Only",0.822,0.717,10,-5.953,0,0.0513,0.000925,0.841,0.0648,0.932,126.007,4
spotify:track:5EBQsW1qvVgL5su8FaHmGk,"Drum Beats Go Like","Drum Beats Go Like","Monki",2026-05-08,172500,38,false,datatransmission,2026-05-08T09:26:56Z,"","Three Six Zero Recordings",0.75,0.985,6,-5.23,1,0.0927,0.0104,0.0917,0.0368,0.802,131.032,4
spotify:track:7GjUqfYtt6uvXKnoJs80f0,"How You Move","Miseducated EP","Body Ocean;Benni Ola",2026-04-10,197343,39,false,datatransmission,2026-05-11T11:49:33Z,"bass house,uk garage,indie dance","Night Bass Records",0.802,0.82,1,-5.517,1,0.109,0.0229,0.463,0.0637,0.449,128.022,4
spotify:track:04jsAQ9spK7kIKH16yLaTS,"Body Movement","Body Movement","Guy Burns",2026-05-15,186943,28,false,datatransmission,2026-05-15T09:27:55Z,"","Lift Me Up Records",0.719,0.931,10,-5.981,0,0.0439,0.0101,0.00736,0.109,0.936,128.006,4
