Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7qBFF5KdKE4GisQvOZMlwc,"Kazinama - Kabhi Tanhayion Mein Bhi","Tishnagi","Mubarak Begum;Kazinama",2025-03-31,234240,24,false,21lhygv42hmwomcbrhjtpz7da,2025-10-06T15:51:43Z,"ghazal,qawwali,hindi indie","Saregama India Ltd",0.64,0.805,11,-9.649,0,0.0385,0.00946,0.774,0.0888,0.0693,124.983,4
spotify:track:6ina4OBuYXzhtZjS3A15k6,"Kaamukta","Naray / Kaamukta","VIZANO;Indo Warehouse",2025-09-19,411147,16,false,21lhygv42hmwomcbrhjtpz7da,2025-11-08T11:20:02Z,"afro house,desi","Indo Warehouse",0.715,0.883,7,-8.407,0,0.0466,0.00316,0.851,0.0874,0.58,122.006,4
spotify:track:23hhNpmWOTgY2H4IMrEhU7,"Majnu","Majnu","Kahani;HYDR;PDNY;Indo Warehouse",2025-02-14,263040,33,false,21lhygv42hmwomcbrhjtpz7da,2025-11-08T11:25:19Z,"indian indie,desi,hindi indie","Indo Warehouse",0.777,0.605,6,-7.533,1,0.0693,0.0219,0.0209,0.109,0.224,124.997,4
spotify:track:0f24qMwVFyl2c0WEKuy5Jn,"Ghazal","Ghazal","Delhi Cartel;Indo Warehouse",2025-08-22,341844,20,false,21lhygv42hmwomcbrhjtpz7da,2025-11-08T11:20:22Z,"desi","Indo Warehouse",0.695,0.928,11,-6.85,1,0.0481,0.002,0.828,0.0557,0.645,125.002,4
spotify:track:6jrDlAeVbWy1s83Kz1gwPQ,"Mann","Mann","Blu Attic;Aaromal",2021-03-04,220636,14,false,21lhygv42hmwomcbrhjtpz7da,2025-01-21T10:58:46Z,"hindi indie,melodic house,indian indie","Blu Attic",0.679,0.561,0,-9.127,0,0.103,0.273,0.00516,0.087,0.0765,110.008,4
spotify:track:4OcqMM7ptbMq4duRiVm9Cg,"Mil Jaa Na","Resurface","Blu Attic;Chayan Bhardwaj",2022-09-16,218520,22,false,21lhygv42hmwomcbrhjtpz7da,2023-02-26T04:04:08Z,"hindi indie,melodic house","Blu Attic",0.723,0.796,1,-7.677,0,0.085,0.372,0.00189,0.105,0.046,119.979,4
spotify:track:6ADEGmkXvSZEBz2lcRkTdW,"Yearn","Yearn","Blu Attic;Adarsh Saxena",2024-03-08,196560,28,false,21lhygv42hmwomcbrhjtpz7da,2025-01-21T10:55:57Z,"hindi indie,melodic house","Blu Attic",0.707,0.907,1,-5.583,0,0.053,0.277,0.891,0.345,0.179,125.023,4
spotify:track:7iU0kw9BHeuw4s7P0FxSWe,"Akhri Raat - Kahani Remix","Akhri Raat","Sickflip;Kahani;Arul Seth;Indo Warehouse",2025-06-13,493440,15,false,21lhygv42hmwomcbrhjtpz7da,2025-11-08T11:23:20Z,"indian indie,tamil hip hop,hindi indie,desi hip hop,hindi hip hop,tamil indie,desi","Indo Warehouse",0.8,0.594,1,-9.215,0,0.09,0.0106,0.623,0.105,0.431,124.996,4
spotify:track:3n0HFhYuWKcSAt0floD7Lq,"Kahin To","Kahin To","ENLIV3N",2025-06-12,142080,35,false,21lhygv42hmwomcbrhjtpz7da,2025-07-26T16:17:18Z,"tropical house","VeroPop India",0.658,0.791,7,-6.15,0,0.0322,0.422,0.244,0.215,0.153,124.992,4
spotify:track:2Ac1YdJq8vuG7EcdKgJXoP,"Tose Naina","Tose Naina","makaan",2024-05-15,237444,0,false,21lhygv42hmwomcbrhjtpz7da,2025-01-05T10:22:32Z,"","Dukaan Records",0.606,0.88,5,-8.738,0,0.0534,0.0438,0.0828,0.128,0.0377,123.952,4
spotify:track:0cxufMOUIvqzEHojQViQgC,"Hum Dum (Tech Panda & Kenzani Radio Mix)","Hum Dum (Tech Panda & Kenzani Remix)","Dhairya Mehrotra;Shikhar Sharma;Tech Panda;Kenzani",2024-12-10,265920,13,false,21lhygv42hmwomcbrhjtpz7da,2025-01-21T10:54:14Z,"hindi indie,indian indie,desi","Groovebird Records",0.684,0.858,1,-6.301,1,0.0394,0.0013,0.153,0.12,0.359,124.993,4
spotify:track:3N5tZ98UzEhlra4ZRrIRQ2,"MAURYA","MAURYA","artcriminal;Mitika Kanwar",2025-05-02,162850,50,false,21lhygv42hmwomcbrhjtpz7da,2025-06-03T11:59:44Z,"indian indie,hindi indie","R1 Records",0.763,0.822,6,-3.267,0,0.0362,0.0183,0.375,0.0665,0.402,117.984,4
spotify:track:34iEPCW85SguHPt3B7u32H,"Ek Tara - Radio Edit","Ek Tara (Radio Edit)","Tech Panda;Kenzani",2025-03-19,156774,24,false,21lhygv42hmwomcbrhjtpz7da,2025-03-21T21:30:20Z,"indian indie,hindi indie,desi","Groovebird Records",0.6,0.988,8,-5.247,1,0.0398,0.0000879,0.585,0.0883,0.0281,124.007,4
spotify:track:4aNSrYF6mHXlQlyFF3t6Ky,"Khoya","Khoya / Raahon","Blu Attic;ved;Indo Warehouse",2025-06-27,218000,18,false,21lhygv42hmwomcbrhjtpz7da,2025-10-06T16:07:12Z,"hindi indie,melodic house,desi","Indo Warehouse",0.606,0.828,6,-8.678,1,0.0323,0.0913,0.649,0.104,0.104,124.966,4
spotify:track:6jSZgdp2KUR21o5bG3UKgK,"Raahon","Khoya / Raahon","Blu Attic;Aaromal;Indo Warehouse",2025-06-27,239000,17,false,21lhygv42hmwomcbrhjtpz7da,2025-10-06T16:07:12Z,"hindi indie,melodic house,indian indie,desi","Indo Warehouse",0.694,0.904,1,-7.667,0,0.0385,0.0152,0.476,0.192,0.118,132.011,4
spotify:track:2Au7EPvWTNKTUu32jevAzj,"Sada - Afro Radio Edit","Sada (Afro Edit)","Tech Panda;Kenzani;Blu Attic;Aaromal",2024-12-15,240000,22,false,21lhygv42hmwomcbrhjtpz7da,2025-01-21T10:54:56Z,"indian indie,hindi indie,desi,melodic house","Groovebird Records",0.674,0.983,6,-5.084,0,0.039,0.0122,0.675,0.0988,0.0355,123.995,4
spotify:track:729DH1XkTyJdf5HYQ6dGcG,"SoulJam","SoulJam","Gandhar",2022-10-21,240000,15,false,21lhygv42hmwomcbrhjtpz7da,2023-12-07T22:23:26Z,"indian indie","Krunk Kulture",0.737,0.584,11,-10.543,0,0.0504,0.73,0.171,0.11,0.457,104.985,4
