Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4kqBlnzNv7UNOfCV8AywdH,"Paths of Wisdom","Paths of Wisdom","Roy Martin",2024-08-05,147951,26,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"celtic","EGrowthMusic",0.422,0.0461,9,-21.927,0,0.0387,0.993,0.942,0.119,0.255,79.365,3
spotify:track:1RkpAlhByEMKBtswFnEMMq,"Vestal","Vestal","Jason Dos Santos",2024-02-27,137600,51,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Jason Dos Santos",0.138,0.00625,4,-44.73,1,0.0435,0.926,0.917,0.11,0.0554,141.282,4
spotify:track:1YdM0bxvmPVkOFsBGhYLhI,"Coffee in Paris (Forest)","Coffee in Paris (Forest)","Yzalune",2025-01-15,150000,11,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Yzalune",0.219,0.178,2,-26.126,1,0.041,0.648,0.914,0.303,0.105,103.157,5
spotify:track:2xOC0YdKQnyZYXp0Ke3kby,"Gentle Winds","Gentle Winds","Jordan Henderson",2024-05-15,132951,45,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"celtic","Jordan Henderson",0.227,0.176,9,-22.122,1,0.0471,0.926,0.969,0.134,0.0392,67.341,3
spotify:track:1dw9IvF1iC17hZQpn9ScH9,"Lumière Éternelle - Slowed and Reverb","Lumière Éternelle (Slowed and Reverb)","Yzalune",2024-11-03,152822,53,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Yzalune",0.0771,0.00403,6,-41.135,0,0.0598,0.9,0.88,0.096,0.038,171.811,4
spotify:track:5k2RAm6M3OcGCCgYEFqRRI,"Path of Light (Forest)","Path of Light (Forest)","Yzalune",2025-02-03,136000,24,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Yzalune",0.192,0.152,1,-26.818,1,0.0603,0.829,0.959,0.439,0.129,101.442,3
spotify:track:6VirjVeUoj70WJbGydzosV,"Meditation Retreat","Meditation Retreat","Jason Dos Santos",2024-02-27,179399,50,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Jason Dos Santos",0.232,0.0264,2,-33.035,0,0.0444,0.977,0.96,0.0748,0.0442,130.326,4
spotify:track:2yCaLobCRyXqTiqgMbJmiy,"Rester Concentré (Rain)","Rester Concentré (Rain)","Yzalune",2025-01-30,135923,23,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Yzalune",0.166,0.0929,2,-23.107,0,0.0461,0.763,0.965,0.457,0.0325,125.93,4
spotify:track:1vcwa1Aavj0rXkXzyAb2yz,"The Breathing Horizon","The Breathing Horizon","Yzalune",2025-01-29,128000,15,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Yzalune",0.184,0.0642,9,-28.185,1,0.043,0.988,0.894,0.102,0.0347,67.011,3
spotify:track:73kKvZaMECKoeKq9vutn5h,"Heartbeats Underwater","Heartbeats Underwater","Yzalune",2025-01-28,128000,15,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Yzalune",0.244,0.0361,6,-31.236,0,0.0424,0.76,0.852,0.11,0.119,59.589,4
spotify:track:46ByMq5s6zUlDoSOQRzPRU,"Oasis (Rain)","Oasis (Rain)","Yzalune",2025-01-07,150000,22,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Yzalune",0.201,0.0727,0,-26.399,1,0.046,0.895,0.985,0.36,0.0399,77.443,4
spotify:track:1jgB96woe7e3y8HlAEdMtD,"Inner Paradise","Inner Paradise","Spiritual Moment",2024-05-15,132932,23,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Spiritual Moment",0.161,0.135,9,-26.027,1,0.05,0.914,0.937,0.115,0.0344,132.986,4
spotify:track:4f4q5c56t1SinvepUinGiw,"River of Dreams","River of Dreams","O'Brien",2024-09-18,137427,39,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"celtic","EGrowthMusic",0.441,0.0832,9,-28.409,1,0.0472,0.993,0.941,0.103,0.176,128.909,4
spotify:track:2UTo4ESEF7BJQlb2zMexiE,"Introspection Profonde (Forest)","Introspection Profonde (Forest)","Yzalune",2025-01-09,154649,15,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Yzalune",0.131,0.203,1,-25.438,0,0.0428,0.798,0.897,0.297,0.0835,51.751,4
spotify:track:0TiUr4EG8ywpQDCgHviwKj,"Melody of the Mountain - Slowed and Reverb","Melody of the Mountain (Slowed and Reverb)","Roy Martin",2024-09-27,162750,35,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"celtic","Roy Martin",0.145,0.00323,9,-39.773,0,0.047,0.996,0.929,0.0666,0.54,64.646,4
spotify:track:2xI5NMGsEXRXCZiBC3OiQ1,"Atmananda - Slowed and Reverb","Atmananda (Slowed and Reverb)","Roy Martin",2024-10-03,177211,33,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"celtic","Roy Martin",0.511,0.0339,2,-31.853,0,0.0854,0.959,0.788,0.165,0.176,90.132,4
spotify:track:1HYd5762lQUQjzAistCIdt,"Eternal Flow","Eternal Flow","Yzalune",2024-12-12,136000,22,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Yzalune",0.074,0.0162,11,-40.54,1,0.0558,0.825,0.937,0.11,0.0381,175.65,3
spotify:track:6eo7XKGDiAIO3bBpaVCDqp,"Prem Lahari - Slowed and Reverb","Prem Lahari (Slowed and Reverb)","Roy Martin",2024-09-30,184528,23,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"celtic","Roy Martin",0.277,0.0109,7,-32.919,0,0.0376,0.963,0.955,0.113,0.348,100.253,3
spotify:track:0g1qpaoEqqzjCpVxMFY7fe,"Sadhbh","Sadhbh","Roy Martin",2023-11-17,119442,36,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"celtic","Joredan S. Mompo",0.0928,0.0276,1,-34.824,0,0.0385,0.973,0.982,0.104,0.0309,85.579,3
spotify:track:4fossoBtL6WaemCCmcX5Xw,"Roots of Silence","Roots of Silence","Yzalune",2025-01-12,129264,15,false,315hb4idtmxetabby7fm2qevt32m,2025-02-11T12:15:45Z,"","Yzalune",0.188,0.0169,7,-31.709,1,0.0441,0.878,0.866,0.111,0.076,70.767,4
