Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,"Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,84,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:55Z,"folk pop","F-Stop Records/Atlantic",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
spotify:track:3JvKfv6T31zO0ini8iNItO,"Another Love","Long Way Down (Deluxe)","Tom Odell",2013-06-24,244360,89,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:55Z,"","ITNO/Columbia",0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4
spotify:track:5NORWMFC27ywGSZxi8uquP,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,5,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:55Z,"folk pop,indie folk","Decca (UMO)",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.02,4
spotify:track:7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)","us","gnash;Olivia O'Brien",2016-03-25,251033,77,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:55Z,"",":):",0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,4
spotify:track:1DxjoJ2w0K9zQ8KgU9rXhr,"Here I Am","Wrong Crowd (Expanded Edition)","Tom Odell",2016-06-10,209013,43,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:55Z,"","ITNO/Columbia",0.707,0.838,7,-4.109,0,0.0336,0.0903,0,0.368,0.605,116.534,4
spotify:track:2nEntnpNpsJNhw1wLY8O96,"Jeet","Ved","Ritviz",2019-07-01,184848,50,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:55Z,"indian indie,hindi indie,hindi pop","Ritviz",0.787,0.734,0,-6.465,1,0.0703,0.364,0.000995,0.0625,0.644,98.989,4
spotify:track:5mFMb5OHI3cN0UjITVztCj,"Rumour Has It","21","Adele",2011-01-24,223266,69,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:55Z,"soft pop","XL Recordings",0.612,0.749,0,-5.014,1,0.0446,0.615,0,0.167,0.574,120.052,4
spotify:track:61IEe4ujPKOU7OIyubydfz,"Dooba Dooba","Boondein","Silk Route",1998-05-06,303020,56,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:55Z,"desi pop,indian indie,hindi indie","Sony Music India / 550 Music",0.716,0.562,5,-8.741,1,0.0315,0.529,0.000133,0.0928,0.533,105.004,4
spotify:track:1K3LRUEcUz5FMtPYyg0F45,"Ho Hey","The Lumineers (Deluxe Edition)","The Lumineers",2012,163133,5,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:55Z,"folk pop,indie folk","Decca (UMO)",0.682,0.471,0,-9.182,1,0.0302,0.768,0,0.0908,0.421,79.907,4
spotify:track:26VneZP4sWiAhHjxiMi6l2,"Susu","Susu","SomeWhatSuper;Ahsan Javed",2019-07-18,130500,16,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-03-17T13:55:32Z,"desi,indian indie,desi hip hop","698942 Records DK",0.731,0.574,2,-7.203,1,0.127,0.589,0.00538,0.194,0.602,159.703,4
