Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6xATKzdUO89mZvStODhUSR,"Hunter","G I R L","Pharrell Williams",2014-03-03,240934,45,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"","Columbia",0.93,0.511,5,-4.384,0,0.0863,0.0624,0.0000303,0.0644,0.813,110.365,4
spotify:track:2ISSQPb9LHHiV6ng2NXosL,"Beautiful Now","True Colors","Zedd;Jon Bellion",2015-05-15,218293,74,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"edm","Interscope",0.628,0.832,11,-4.126,0,0.0282,0.0079,0.0000146,0.074,0.56,128.003,4
spotify:track:2C2TsU5LXpOTPH3L3aImYk,"Pompeii","Safe For Work","Bastille",2022-01-05,216760,9,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"","UME - Global Clearing House",0.68,0.711,9,-6.371,1,0.0414,0.0918,0,0.241,0.571,127.436,4
spotify:track:6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",2016-05-06,236001,79,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"","Villa 40/RCA Records",0.666,0.83,0,-5.715,1,0.0751,0.0123,0,0.191,0.702,113.03,4
spotify:track:21RzyxY3EFaxVy6K4RqaU9,"Body","Body","Loud Luxury;Brando",2017-10-27,163216,80,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"","Armada Music",0.752,0.764,1,-4.399,1,0.038,0.0476,0.0000944,0.0543,0.582,121.958,4
spotify:track:5tf1VVWniHgryyumXyJM7w,"Sugar (feat. Francesco Yates)","Sugar","Robin Schulz;Francesco Yates",2015-09-25,219043,83,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"tropical house","Tonspiel",0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,4
spotify:track:0ixVLOeDQc21uZ9y8qKqPp,"Destiny","Destiny","Markus Schulz;Delacey",2015-04-20,227927,29,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"trance,progressive trance","Coldharbour Recordings",0.551,0.896,3,-5.291,0,0.063,0.0135,0.000125,0.368,0.187,129.977,4
spotify:track:7pIjDevkJPxebfDPg4uvvk,"Rahh!","Hypnotized Vol.1","Pepa Knight",2014-11-28,225998,10,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"","Pepa Knight",0.605,0.801,9,-7.373,1,0.0343,0.00637,0.00408,0.163,0.76,100.011,3
spotify:track:7EVk9tRb6beJLTHrg6AkY9,"Tuesday","Tuesday (feat. Danelle Sandoval)","Burak Yeter;Danelle Sandoval",2016-09-02,241874,77,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"","SBA Production",0.841,0.639,9,-6.052,0,0.0688,0.0156,0.0654,0.0545,0.675,99.002,4
spotify:track:3Y3kkXvV0t6V4GkMKUeBTi,"","","",0000,0,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"","",0.863,0.481,11,-9.789,1,0.0451,0.00766,0.000014,0.0955,0.565,100.007,4
spotify:track:1pbjLSPTUrcyHR5s0T3O5y,"Dance Basanti (From ""Ungli"")","Raula Pai Jaan De (Bollywood Songs for Weddings)","Sachin-Jigar;Vishal Dadlani;Anushka Manchanda",2017-12-01,223991,8,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:47Z,"gujarati pop,bollywood,hindi pop,desi,gujarati garba","Sony Music Entertainment India Pvt. Ltd.",0.833,0.74,6,-4.513,0,0.129,0.165,0.00000274,0.363,0.804,103.032,4
