Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5YLIGr1NrZQl9xW5Dz3UHg,"Así q Atrévete","Así q Atrévete","Miluhska",2026-04-09,195714,46,false,,2026-05-21T22:02:03Z,"latin house,afro house","Encore Recordings",0.823,0.905,7,-6.423,0,0.0615,0.0271,0.808,0.115,0.363,126.013,4
spotify:track:4DrUjTGCmZHbeAnRCFX5QM,"Asereje","Asereje","Jean Massey",2023-07-10,168538,62,false,,2026-05-21T22:02:03Z,"techengue,latin house","RECORDS",0.737,0.99,3,-4.307,0,0.0716,0.00225,0.147,0.0759,0.479,126.048,4
spotify:track:2G6AM2rmjjJcyiOvizYawc,"Mi Combi","Mi Combi EP","Ollie BC;Mason Collective;Dany Gomez;EMBI",2026-05-08,166874,52,false,,2026-05-21T22:02:03Z,"latin house,tech house","MVSON",0.851,0.903,11,-6.59,0,0.222,0.0115,0.596,0.0445,0.771,126.976,4
spotify:track:5nZ9KC7vuQe8vy7N3M5YXj,"Dile","Dile","Juos",2024-03-15,150461,57,false,,2026-05-21T22:02:03Z,"latin house,techengue,tech house","Hellbent Records",0.771,0.921,11,-6.927,0,0.0542,0.00382,0.245,0.19,0.393,130.011,4
spotify:track:0a29WAeKCESk2E4UW88KMx,"Sonidito","Sonidito","HUGEL;Tom Enzy;Jdr;Josh Cross",2025-06-13,134634,64,false,,2026-05-21T22:02:03Z,"latin house,afro house,techengue,house,tribal house,slap house","Make The Girls Dance Records",0.794,0.999,1,-2.47,1,0.151,0.0176,0.522,0.159,0.108,123.006,4
spotify:track:3jWk66DLMnlEiNRlmVH0Di,"Monaco","Monaco EP","Blank Sense",2024-03-01,200307,46,false,,2026-05-21T22:02:03Z,"latin house,tech house","Repopulate Mars",0.756,0.901,11,-7.517,0,0.0401,0.00333,0.66,0.312,0.183,130.02,4
spotify:track:3b5hWg2x9MoVM7wjZ3qiY6,"Latinamerica (feat. Vika)","Latinamerica (feat. Vika)","Raffa Fl;MichaelBM;Jayie;Vika",2025-01-17,124830,67,false,,2026-05-21T22:02:03Z,"latin house,tech house,techengue,afro house,guaracha","Ultra Records, LLC",0.833,0.744,4,-5.662,0,0.158,0.00873,0.00379,0.257,0.204,127.097,4
spotify:track:1mZnxNzp17JrPyzDzkoiiC,"Loco Loco","Loco Loco","Gordo;Reinier Zonneveld",2026-02-13,136666,77,true,,2026-05-21T22:02:03Z,"techengue,afro house,latin house,techno,acid techno,hard techno,tekno,minimal techno","Spinnin' Records",0.732,0.958,11,-4.958,0,0.0382,0.00658,0.00953,0.408,0.505,126.962,4
spotify:track:7DxrTNmUprBMQ0RV45xreb,"Verano En NY","Verano En NY","Toman",2025-06-27,245972,69,false,,2026-05-21T22:02:03Z,"tech house,latin house","Solid Grooves Records",0.8,0.903,2,-6.796,1,0.0439,0.000182,0.777,0.0602,0.587,125.999,4
spotify:track:15DMSvuzeWrNbPX8QdEWk4,"Claro","Claro","Ginton;AMY MIYÚ",2026-03-27,159045,48,false,,2026-05-21T22:02:03Z,"afro house,latin house,bass house","Woody Trees",0.911,0.846,1,-6.7,1,0.156,0.0574,0.0141,0.0825,0.757,124.023,4
spotify:track:10mrpAnhT5iZYygv8rDIDr,"Morning Sex","Morning Sex EP","Quliano",2026-05-21,185625,4,false,,2026-05-21T22:02:03Z,"latin house,tech house","Somethin' Light",0.805,0.874,1,-7.067,1,0.0619,0.273,0.575,0.359,0.673,128.002,4
spotify:track:6B4BItXLcr8RngJqKLL9ps,"Que Rico","King Of Groove EP","LUMC (VE)",2026-05-15,171840,29,false,,2026-05-21T22:02:03Z,"latin house","NUSONIDO",0.759,0.893,2,-4.897,1,0.0661,0.0407,0.871,0.16,0.862,130.001,4
spotify:track:0qh9V7O8f0CSLufNlyjva9,"Perversa","Perversa","Andruss;Byred;Harrell",2025-09-19,156350,39,false,,2026-05-21T22:02:03Z,"latin house,techengue,tech house,tribal house","Drop Low Records",0.775,0.947,1,-6.477,1,0.0737,0.0109,0.0391,0.0852,0.589,129.995,4
spotify:track:1WpbVQ3hkP9QubhkNZv3AX,"Me Encanta","Me Encanta EP","Justin Garcia",2026-05-08,180000,31,false,,2026-05-21T22:02:03Z,"latin house","Clarisse Records",0.74,0.939,1,-5.159,1,0.0484,0.00259,0.574,0.262,0.586,127.98,4
spotify:track:4LLkiwgCnowzc4vosFDJGQ,"Mi Gentee","Mi Gentee EP","Chinonegro",2026-01-09,208782,47,false,,2026-05-21T22:02:03Z,"tech house,latin house","Botaniq",0.635,0.96,10,-6.026,0,0.0418,0.0000381,0.698,0.345,0.951,130.021,4
spotify:track:0bfvwaqeQrk39mY7o7XEBT,"La Bomba - Mr. Pauer Remix Original","La Bomba (Mr. Pauer Remix Original)","Azul Azul;Mr. Pauer",2025-01-17,153635,44,false,,2026-05-21T22:02:03Z,"merengue,latin house,electrocumbia,tribal house","Sony Music España/ORIANNA",0.605,0.743,2,-7.302,0,0.089,0.0374,0.0175,0.212,0.609,124.005,4
spotify:track:3ZNxjoCV4QCt9NiF38khgU,"Dum Duru","Dum Duru","Calussa",2026-03-20,178153,38,false,,2026-05-21T22:02:03Z,"latin house,afro house,tribal house,afro tech","NUSONIDO",0.789,0.947,0,-4.98,1,0.0596,0.074,0.247,0.29,0.527,130,4
spotify:track:2TdF6zvbYsehxKHh7hgkn9,"Oye Manita","Oye Manita","Leandro Da Silva;Haxhia",2026-05-15,131250,38,false,,2026-05-21T22:02:03Z,"latin house,tribal house,tech house","Black Lizard Records",0.62,0.972,6,-4.131,0,0.0487,0.00105,0.512,0.356,0.485,128.01,4
spotify:track:4E6M6muDadCiTQ72KUELbB,"No Pare","No Pare","Calussa;NATTI NATASHA;Marco Tropeano",2025-06-27,188650,40,false,,2026-05-21T22:02:03Z,"latin house,afro house,tribal house,afro tech,reggaeton,latin,urbano latino,bachata,tech house","Insomniac Records",0.716,0.901,1,-7.059,0,0.0566,0.0112,0.256,0.0884,0.639,126.023,4
spotify:track:20fzebeACMzZovFyFW3G0L,"Dame Un Grrr - Provi Remix Radio Edit","Dame Un Grrr (Provi Remix)","Fantomel;Kate Linn;Provi",2025-08-15,120000,61,false,,2026-05-21T22:02:03Z,"latin house,afro house","Creator Records under exclusive license to Universal Music Romania",0.878,0.833,5,-3.818,0,0.101,0.0163,0.386,0.349,0.403,123.007,4
spotify:track:4XgEODfTZF6RPwUmZhoP2F,"Sola","Sola","ESSED",2025-03-14,207778,45,false,,2026-05-21T22:02:03Z,"latin house,techengue,tech house","Hellbent Records",0.788,0.805,11,-8.171,1,0.0854,0.00353,0.575,0.22,0.691,130.033,4
spotify:track:4d0EQg1pramdmWPKcIaGWh,"Que Rico","Que Rico","RDL.wav",2026-04-24,377000,33,false,,2026-05-21T22:02:03Z,"latin house","Passe",0.801,0.95,9,-6.156,0,0.0449,0.0000664,0.611,0.0552,0.605,127.999,4
spotify:track:4gdGtQ5Apq80zuYzr5NJsM,"Lo Mueve","Lo Mueve","Raffa Fl;Le Twins;Nfasis",2026-04-03,152812,41,false,,2026-05-21T22:02:03Z,"latin house,tech house,techengue,dembow","Ultra Records, LLC",0.798,0.752,11,-6.494,0,0.0734,0.00535,0.64,0.129,0.247,128.045,4
spotify:track:0yhrmTRv74QipMUhaj88jN,"Canta el Agua","Canta el Agua","Captain Planet;De Mar Y Rio",2025-10-21,218709,37,false,,2026-05-21T22:02:03Z,"electrocumbia,latin afrobeats,latin house","Bastard Jazz Recordings",0.798,0.763,9,-6.748,0,0.174,0.0888,0.00461,0.43,0.417,123.991,4
spotify:track:1P9ZF3ZxRWNTDgJkZOgkI9,"Famax - Edit","Famax","RAFFA GUIDO",2024-02-23,213768,70,false,,2026-05-21T22:02:03Z,"afro house,latin house","Three Six Zero Recordings",0.808,0.83,1,-8.238,1,0.0356,0.00575,0.809,0.403,0.465,120.97,4
spotify:track:14S2VMZRhekYGluotZ4pqg,"Patadas de Ahogado / LATÍN MAFIA, HUMBE - Rework","Patadas de Ahogado / LATÍN MAFIA, HUMBE (Rework)","HUGEL",2024-02-22,186341,72,false,,2026-05-21T22:02:03Z,"latin house,afro house,techengue,house","HUGEL",0.706,0.629,1,-11.408,1,0.0444,0.159,0.34,0.0951,0.471,123.044,4
spotify:track:5rl7bbc4BX52AqIhKI2PK1,"Sentimental - Sombras","Sentimental (Sombras)","Joan Sebastian;Sinego",2025-05-30,213442,39,false,,2026-05-21T22:02:03Z,"ranchera,banda,mariachi,grupera,norteño,música mexicana,latin house,organic house","Craft Recordings",0.675,0.779,1,-8.21,1,0.0361,0.00649,0.398,0.343,0.315,121.998,4
spotify:track:5TqvSIrg2JO71XuWEDCwJj,"Alicante","Alicante","HUGEL;Tom Enzy;Danny Roma x Manrix;Yuliesky Gonzalez",2025-02-21,192701,62,false,,2026-05-21T22:02:03Z,"latin house,afro house,techengue,house,tribal house,slap house","Make The Girls Dance Records",0.77,0.936,7,-4.601,1,0.143,0.0223,0.843,0.132,0.0379,123.947,4
spotify:track:5ZmOi8QTdksIUcyjvwYQGx,"Reina de la Pista","Reina de la Pista","Miluhska",2025-10-17,167166,43,false,,2026-05-21T22:02:03Z,"latin house,afro house","Encore Recordings",0.853,0.624,11,-8.036,0,0.0796,0.216,0.166,0.348,0.717,127.999,4
