Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:episode:61PkxSKgdS7vL4J1u1jcHn,"Why Babies Babble And What It Can Teach Adults About Language","Short Wave","",,657110,0,false,,2023-10-14T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:4UmJpwcqyonmFNmIhBcBuC,"How many butterflies are there in the world?","More or Less","",,538506,0,false,,2023-10-13T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:0AZbjPj3pBSgazKUgtjXpf,"BrainStuff Classics: Are Any Superstitions Universal?","BrainStuff","",,224261,0,false,,2023-10-12T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:5G3NlUfkfNN30eNCXqTMxN,"Can Melatonin Help You Sleep?","Shots of Science Vs","",,396094,0,false,,2023-10-11T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:2CtYcwwFTYrFgwRnTJd4CF,"History of Sunscreen","Stuff You Missed in History Class","",,2266592,0,false,,2023-10-09T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:3MAQHgZWPVdbhhUTQdUyBw,"Why do we have crooked teeth when our ancestors didn't? | G. Richard Scott","TED Health","",,399777,0,false,,2023-10-08T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:0kLDSH7Khgvw2PULO0esf0,"3TB Shorts 2 - The Tortoise, The Hamburger and a Pilot's Dilemma","3 Techies Banter #3TB","",,565211,0,false,,2023-10-07T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:1nN6z1Yaw72xhC4uTqV7Fn,"Creating the first emoji","Witness History","",,566047,0,false,,2023-09-26T01:00:00Z,"","undefined",,,,,,,,,,,,
,"undefined","undefined","undefined",,,,,,2023-09-25T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:7pQWHronXigdmXGPKxN85A,"Comet Cures","Aaron Mahnke's Cabinet of Curiosities","",,592143,0,false,,2023-09-24T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:0REmSMjGK38YEpZEba4Jfk,"Why is it so hard to cure the common cold? | George Zaidan","TED Health","",,365426,0,false,,2023-09-22T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:3aJvNWpDZDl154QTvG5rM5,"The economics of protecting endangered animals","Finshots Daily","",,402580,0,false,,2023-09-21T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:3M3x9rql9RwXGTDqK9fwLq,"Winning Olympic Gold To Get The Girl","Incredible Feats","",,377521,0,false,,2023-09-20T01:00:00Z,"","undefined",,,,,,,,,,,,
spotify:episode:1AmOJD33o7gZgevWt8Q5QB,"What is Occam's Razor?","Astronomy Minute ","",,110027,0,false,,2023-09-19T01:00:00Z,"","undefined",,,,,,,,,,,,
