Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5CWPDL3gvV8xq3VBwjNrTR,"Pa Ca","Pa Ca","Massano;Silver Panda",2026-05-01,185859,51,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house,techno,progressive house,indie dance","Simulate Recordings",0.791,0.916,6,-5.488,1,0.0548,0.0117,0.856,0.107,0.157,127.982,4
spotify:track:0EHyZ4npallzJgCVM9cJbQ,"For Your Mind","For Your Mind","EL:BR",2026-05-22,295082,1,false,biavucyalnizlik,2026-05-21T22:40:26Z,"melodic techno,melodic house,progressive trance","widerworks",0.798,0.767,1,-6.183,1,0.0608,0.00335,0.885,0.109,0.116,125.993,4
spotify:track:4QR40LqFAbMdabh4AoZJGZ,"Bad Angel (with LISA)","Bad Angel (with LISA)","Anyma;LISA",2026-04-08,153281,83,true,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house,techno,stutter house,k-pop","Anyma/Interscope Records",0.737,0.766,5,-5.444,0,0.0284,0.00386,0.0711,0.339,0.321,128.06,4
spotify:track:7bIs1xkTNnmtuxz0wtikDT,"Catch It Up","Catch It Up","Aveno",2026-05-08,214335,38,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house","widerworks",0.677,0.878,5,-5.252,1,0.0337,0.000202,0.745,0.347,0.647,128.015,3
spotify:track:0ddLd0n19FHwawkSmhXwgg,"Don't Want Your Love","ODYSSEY","ILLENIUM;Ellie Goulding",2026-02-05,192000,69,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic bass,future bass,edm","Illenium, LLC",0.602,0.849,3,-3.446,0,0.0604,0.00941,0.000341,0.464,0.273,124.768,4
spotify:track:0O5J5xw0Geb9csWY6rg3uj,"Love Within","Love Within","Adam Beyer;Mark Reeve",2026-05-08,224328,51,false,biavucyalnizlik,2026-05-19T09:39:11Z,"techno,minimal techno,acid techno,tech house,melodic techno","Drumcode",0.608,0.993,10,-4.485,0,0.0566,0.0125,0.92,0.256,0.509,134.016,4
spotify:track:70rNRdlAOLmt1HLYhcxkww,"Vibing Check","Catch It Up","Aveno;BARDUCK",2026-05-08,200859,35,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house","widerworks",0.745,0.865,0,-5.625,1,0.0423,0.00134,0.772,0.274,0.602,127.954,4
spotify:track:29JiAscRnkqWCJB6S678Wz,"Something In The Water (feat. Darla Jade)","Something In The Water (feat. Darla Jade)","Massano;Darla Jade",2026-01-30,209985,53,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house,techno,afro house","Tomorrowland Music",0.679,0.859,9,-4.111,1,0.0453,0.0237,0.0134,0.142,0.285,128.015,4
spotify:track:7qhY2ySCqJg6EzsfKZz9Pw,"Heaven","Heaven","widerberg",2026-03-27,162666,41,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house,techno","Species Records",0.506,0.953,10,-4.719,0,0.0402,0.00186,0.233,0.185,0.122,134.975,4
spotify:track:4fGfXVPxj95kKsEwC88Ted,"Show Me","Catch It Up","Aveno",2026-05-08,207304,33,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house","widerworks",0.574,0.97,11,-6.512,0,0.0411,0.000497,0.0426,0.291,0.101,127.966,3
spotify:track:5tXbWcuhOj7NEgPgv6QZow,"TAKE THAT FIGHT","LOSE CONTROL EP","Jules Brand;MotherEarth",2026-05-08,170076,31,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house","ERRORR",0.668,0.962,0,-6.254,1,0.0482,0.000836,0.575,0.13,0.532,130.016,4
spotify:track:3BoXJR8HWgG7zTUBPbsnls,"Red Room","Red Room","ALIGEE;Gareden",2026-04-24,180480,35,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house","widerworks",0.579,0.827,8,-6.416,0,0.0423,0.000203,0.749,0.463,0.27,124.999,4
spotify:track:2Yt0g0JZ3ymeRDthG04tQo,"Destroying the Commons","Destroying the Commons (The Noam Chomsky Music Project)","widerberg;Ian Urbina",2021-11-05,146147,42,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house,techno","The Outlaw Ocean LLC",0.651,0.838,5,-6.283,0,0.0566,0.112,0.335,0.141,0.0937,122.013,4
spotify:track:5nyHEhFaT3L7jmx5AK6uPR,"Oblivion","Oblivion","Turako;A-Slam;K.A.E;GALAL",2026-03-27,176250,38,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house,afro house,organic house,indie dance","widerworks",0.721,0.88,8,-6.031,1,0.0641,0.0675,0.0096,0.126,0.571,128.01,4
spotify:track:6FQWDaVXpqComYOwrLHZDN,"In My Heart","In My Heart","Sam WOLFE",2026-05-01,154772,43,false,biavucyalnizlik,2026-05-19T09:39:11Z,"techno,acid techno","1605",0.737,0.893,6,-3.494,0,0.0947,0.0145,0.19,0.158,0.6,131.98,4
spotify:track:168hqyHROCB8lISUF270KI,"WAIT","WAIT","Argy;Massano",2026-03-20,168808,54,false,biavucyalnizlik,2026-05-19T09:39:11Z,"melodic techno,melodic house,techno","Simulate Recordings",0.682,0.953,0,-2.155,1,0.0381,0.00295,0.874,0.124,0.789,127.991,4
