Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4zlbKky2yA657Sk5rekZoR,"Baby again..","Baby again..","Fred again..;Skrillex;Four Tet",2023-03-17,319963,59,false,pjxdcekhpu4ok8ipe4nzmr1j2,2023-04-10T08:36:31Z,"stutter house,house,edm,dubstep,electro,electronic,idm,electronica","Atlantic Records UK",0.847,0.724,2,-7.668,1,0.047,0.00355,0.00339,0.0731,0.326,126.983,4
spotify:track:1EXDjOpV3Lbiv8CzJ7caHs,"Take Me Away","Take Me Away","ACRAZE",2023-03-03,179528,57,false,pjxdcekhpu4ok8ipe4nzmr1j2,2023-04-10T08:37:50Z,"tech house","Thrive Music/Capitol Records",0.728,0.983,11,-4.098,0,0.077,0.000194,0.866,0.268,0.744,126.039,4
spotify:track:6NRvZuFXn2ixp8YdzUvG5n,"Leave Me Like This","Quest For Fire","Skrillex;Bobby Raps",2023-02-17,188571,57,false,pjxdcekhpu4ok8ipe4nzmr1j2,2023-04-10T08:36:52Z,"dubstep,edm,electro,electronic,bass house,emo rap","OWSLA/Atlantic",0.679,0.959,10,-2.323,0,0.0428,0.00169,0.604,0.238,0.337,124.997,4
spotify:track:23E8Vr8RGP54IoP0n4Lr4Z,"Chemistry (feat. IDEMI)","Chemistry (feat. IDEMI)","KREAM;Camden Cox;IDEMI",2022-09-16,166229,40,false,pjxdcekhpu4ok8ipe4nzmr1j2,2023-04-10T08:39:43Z,"melodic techno,stutter house,house","Big Beat Records",0.679,0.766,11,-5.635,0,0.0348,0.00295,0.00143,0.247,0.548,123.991,4
spotify:track:3wJrBiiTIRRfKSL2TQWR60,"Delilah (pull me out of this)","Actual Life 3 (January 1 - September 9 2022)","Fred again..;Delilah Montagu",2022-11-02,250702,54,false,pjxdcekhpu4ok8ipe4nzmr1j2,2022-11-21T13:51:22Z,"stutter house,house,edm","Atlantic Records UK",0.685,0.827,10,-7.745,1,0.224,0.138,0.00207,0.374,0.586,133.93,4
spotify:track:4Z0OyS2aO8BXWY5sXSTwQc,"I Wanna - Tchami Remix","I Wanna (Tchami Remix)","Shiba San;Tchami",2022-08-25,215433,0,false,pjxdcekhpu4ok8ipe4nzmr1j2,2022-09-22T17:16:44Z,"g-house,tech house,bass house,future house,house","Basement Leak",0.833,0.783,5,-7.3,0,0.171,0.0151,0.379,0.0965,0.624,127.002,4
spotify:track:3yLU2Rd0k3AKYdCWECAyeo,"Words","Words","Nu Aspect",2022-08-26,197783,58,false,pjxdcekhpu4ok8ipe4nzmr1j2,2022-09-22T17:14:09Z,"deep house","Selected.",0.649,0.883,5,-5.753,0,0.041,0.00825,0.796,0.261,0.209,125.007,4
spotify:track:4ANmPUsA3LAvOSP8xen6Vt,"The Calling","The Calling","Tchami;Marten Horger",2022-05-20,197760,1,false,pjxdcekhpu4ok8ipe4nzmr1j2,2022-09-22T17:16:29Z,"future house,bass house,g-house,house","Confession Records / mtheory",0.748,0.873,6,-6.301,1,0.0627,0.00867,0.151,0.244,0.348,124.995,4
spotify:track:4D8Jh26RrDmNTeXL43kXBE,"Pressure","Pressure","KREAM",2022-03-04,171984,46,false,pjxdcekhpu4ok8ipe4nzmr1j2,2022-05-13T09:45:46Z,"melodic techno","Musical Freedom",0.643,0.945,10,-6.301,0,0.0781,0.0524,0.146,0.223,0.49,124.928,4
spotify:track:3YjYBo1Xd4z8Z5GnFG0K1y,"Where Do We Go","Where Do We Go","Mesto;Vluarr",2022-06-17,160000,21,false,pjxdcekhpu4ok8ipe4nzmr1j2,2022-07-29T13:17:46Z,"future house,edm,bass house","Spinnin' Records",0.629,0.694,5,-5.664,0,0.0329,0.00785,0.146,0.324,0.579,125.964,4
