Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4iy19ZQuXjr2BmGAXt1XyN,"Mångata","Mångata","Gobi Desert Collective",2020-08-28,393684,44,false,7sj8zj2mq41yrtbqxl71ysrb5,2021-08-22T14:22:06Z,"organic house,tribal house,downtempo","Alpas Records",0.659,0.596,5,-10.182,0,0.0339,0.0935,0.813,0.157,0.0633,113.988,4
spotify:track:47bR2GFCDsLlbX8NYbLx9U,"Close - Your Eyes","Willow","Viken Arman",2019-02-08,160500,0,false,7sj8zj2mq41yrtbqxl71ysrb5,2022-03-15T10:48:44Z,"organic house,tribal house,downtempo","Denature Records",0.809,0.27,7,-13.723,0,0.0781,0.0586,0.901,0.257,0.108,80.009,4
spotify:track:4JYSJAtPhjyZ15hwdw8VUL,"Open Road","Open Road","Gobi Desert Collective;Ampermut;Cafe De Anatolia",2023-10-20,253186,43,false,7sj8zj2mq41yrtbqxl71ysrb5,2023-10-19T22:53:35Z,"organic house,tribal house,downtempo,afro house,deep house,melodic techno","Cafe De Anatolia",0.716,0.56,2,-10.568,1,0.037,0.316,0.623,0.0935,0.136,90.998,4
spotify:track:0tXsOPXCi1LYeKtI0uSlEW,"Veloran","Veloran","Aydn Britt",2026-05-22,256470,2,false,7sj8zj2mq41yrtbqxl71ysrb5,2026-05-22T03:28:26Z,"organic house,downtempo","Red Dune Records",0.736,0.494,2,-12.183,1,0.0585,0.0135,0.889,0.125,0.104,102.012,4
spotify:track:7Hut4Mb70uHo7Cg01gEchb,"Noor","Suprematic Sampler 02","Gobi Desert Collective",2020-05-14,421052,45,false,7sj8zj2mq41yrtbqxl71ysrb5,2021-08-22T14:22:37Z,"organic house,tribal house,downtempo","Suprematic",0.833,0.422,4,-12.621,1,0.0414,0.476,0.866,0.169,0.0674,114.014,4
spotify:track:1EngP9XzHkpE7kL0bnuBYx,"Maghfira","Maghfira","Dharmik",2024-02-16,214963,0,false,7sj8zj2mq41yrtbqxl71ysrb5,2024-12-18T09:44:34Z,"","Chakra Records",0.686,0.813,5,-7.716,0,0.0505,0.142,0.83,0.18,0.448,120.01,4
spotify:track:4a4aHWYrDE4oBXSmfEQFnn,"Delom","Delom","DJ Phellix;Gobi Desert Collective;Sheenubb",2023-05-26,273335,0,false,7sj8zj2mq41yrtbqxl71ysrb5,2023-05-26T07:39:53Z,"organic house,tribal house,downtempo","Elebated Records",0.805,0.499,11,-11.427,1,0.0437,0.0611,0.761,0.335,0.121,116.019,4
spotify:track:6eAoYoPklPmKXbV7Y1YLOj,"Jaffa Cakes","Jaffa Cakes","LennyTunes",2026-05-15,231360,32,false,7sj8zj2mq41yrtbqxl71ysrb5,2026-05-15T11:25:26Z,"organic house,downtempo","LennyTunes Music",0.79,0.478,2,-10.142,1,0.0399,0.921,0.895,0.0946,0.364,102.983,4
spotify:track:5r8Z7i9u2OSwzgEmtglo7M,"Assez","Assez","Gobi Desert Collective",2021-05-05,302000,40,false,7sj8zj2mq41yrtbqxl71ysrb5,2021-08-22T14:23:01Z,"organic house,tribal house,downtempo","Alpas Records",0.664,0.704,9,-6.188,1,0.0347,0.000236,0.921,0.0928,0.348,115.999,4
spotify:track:5vFI35mSx5eBBQ2sTWYKHD,"Fake Charmer","Fake Charmer","The Oddness;Ohm Collective",2026-04-24,279279,35,false,7sj8zj2mq41yrtbqxl71ysrb5,2026-04-24T06:48:03Z,"organic house,downtempo","Ohm Collective",0.811,0.717,2,-9.873,1,0.0915,0.0033,0.823,0.0514,0.593,118.007,4
