Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6kkwzB6hXLIONkEk9JciA6,"Weightless","The Ambient Zone Just Music Cafe Vol 4","Marconi Union",2012-10-29,480106,71,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-05T02:16:12Z,"ambient","Just Music",0.139,0.22,2,-19.974,0,0.0324,0.856,0.831,0.17,0.0789,71.432,5
spotify:track:6zJUp1ihdid6Kn3Ndgcy82,"Sabrina (i am a party)","Actual Life (April 14 - December 17 2020)","Fred again..",2021-04-15,199062,54,true,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-05T02:16:39Z,"stutter house,house,edm","Atlantic Records UK",0.683,0.819,7,-7.825,1,0.0517,0.00826,0.748,0.495,0.127,104.012,4
spotify:track:4XA8pkvSrRmD8z11O3CAJt,"System","In My System EP","Massano",2022-04-15,367737,36,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-05T02:39:02Z,"melodic techno,melodic house,techno","Afterlife",0.742,0.657,5,-9.711,1,0.0508,0.00139,0.86,0.0881,0.0385,122.005,4
spotify:track:0jozSNmRCcQvIzuae6xQ78,"Counting","Counting","Hamdi;Princess Superstar",2023-05-26,232468,48,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-05T03:13:14Z,"uk garage,bassline,dubstep,bass music,electroclash","Deadbeats",0.574,0.867,4,-7.061,1,0.458,0.132,0.00959,0.501,0.623,71.734,4
spotify:track:2dSKFFNoNXKo3hPnlwUdPe,"They Don't Love It","Jackman.","Jack Harlow",2023-04-28,113292,64,true,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-06T03:58:13Z,"","Generation Now/Atlantic",0.536,0.814,1,-5.407,1,0.306,0.0388,0,0.142,0.851,96.7,4
spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,"In My Mind","In My Mind","Dynoro;Gigi D'Agostino",2018-06-08,184560,80,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-07T16:11:05Z,"italo dance,eurodance","Columbia/B1 Recordings",0.694,0.77,6,-5.335,1,0.149,0.176,0.000011,0.118,0.163,125.905,4
spotify:track:2szhvPsfs4rZUlryE6XCFo,"Diamonds and Pearls - Original Mix","Feel the Balance","Krawall",2017-07-14,399024,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-07T16:11:45Z,"","Moonbootique",0.723,0.526,6,-9.569,0,0.2,0.387,0.808,0.209,0.174,123.009,4
spotify:track:0L7tuyMZF1V61SrXL1tvrI,"Love Is What","Love Is What","Kollektiv Ost",2022-05-27,367078,27,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-07T16:12:31Z,"","Datscha Music",0.809,0.789,1,-11.114,0,0.0539,0.000133,0.907,0.107,0.122,123.014,4
spotify:track:1LIvdWNdKmHvU0FJvw2diN,"Big City Life","Big City Life","Luude;Mattafix",2022-06-16,146711,70,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-07T19:16:23Z,"drum and bass","Warner Records",0.615,0.902,3,-4.316,1,0.0859,0.0176,0.0000391,0.103,0.298,87.03,4
spotify:track:3BelLDoNYxRWMJQ8fImu55,"Mami - SOSA Remix","MAMI (SOSA Remix)","Chris Lorenzo;SOSA;Cobrah",2022-12-02,207692,35,true,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-08T14:46:04Z,"bass house,bassline,house,tech house,g-house,ballroom vogue,hyperpop","Late Checkout",0.79,0.882,11,-5.313,0,0.0454,0.00893,0.119,0.127,0.865,129.993,4
spotify:track:3M2l5Rh3qLjHzgVEWbyAbZ,"Skanka","Skanka","Hamdi",2021-12-15,221147,45,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-08T14:46:09Z,"uk garage,bassline,dubstep,bass music","Hamdi Recordings",0.53,0.708,2,-5.592,1,0.435,0.146,0.0000136,0.116,0.647,173.381,5
spotify:track:6WS2TcsMEGOFtveWbtbuwZ,"stayinit","stayinit","Fred again..;Lil Yachty;Overmono",2024-02-28,274925,54,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-08T14:46:19Z,"stutter house,house,edm,uk garage,breakbeat","Atlantic Records UK",0.699,0.755,7,-6.502,0,0.122,0.003,0.00511,0.244,0.132,134.082,4
spotify:track:7iUScoHKNJC5hqtA40vMlj,"leavemealone","USB","Fred again..;Baby Keem",2022-01-18,222784,4,true,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-08T14:46:38Z,"stutter house,house,edm","Atlantic Records UK",0.68,0.881,0,-4.503,1,0.0553,0.00499,0.0253,0.574,0.105,174.062,4
spotify:track:3As6KStgPcvSXXoP0rYDNT,"Walou","Outland's Official","Outlandish",2001-01-30,234533,14,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-12T02:30:30Z,"dansk pop","RCA Records Label",0.675,0.637,5,-6.384,0,0.182,0.11,0.0000121,0.137,0.788,174.031,4
spotify:track:7ycWLEP1GsNjVvcjawXz3z,"Praise The Lord (Da Shine) (feat. Skepta)","TESTING","A$AP Rocky;Skepta",2018-05-25,205813,83,true,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-20T10:05:00Z,"rap,grime,uk grime","A$AP Worldwide/Polo Grounds Music/RCA Records",0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4
spotify:track:6gBFPUFcJLzWGx4lenP6h2,"goosebumps","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,243836,86,true,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-20T10:27:17Z,"rap","Cactus Jack / Epic",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
spotify:track:20McUFi8KCIVdNDLrkTDuZ,"Goosebumps","Goosebumps","HVME",2020-06-12,163020,68,true,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-20T10:27:33Z,"slap house","Columbia/B1 Recordings",0.767,0.659,1,-7.429,1,0.0444,0.325,0,0.13,0.439,124.946,4
spotify:track:3DFuT29Zjg3UR2mXmim5Y9,"Secret ID","Secret ID","Moojo;Da Capo",2023-07-07,415661,53,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-03-22T22:03:42Z,"afro house,afro tech,latin house,tribal house,3 step,deep house","Calamar Records",0.674,0.733,1,-7.867,1,0.0389,0.0492,0.915,0.111,0.0306,119.97,4
spotify:track:40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I","When It's Dark Out","G-Eazy;Bebe Rexha",2015-12-04,251465,83,true,22nfklp6e2bdvfz6yfb4e5zdy,2024-04-08T14:59:40Z,"","BPG/RVG/RCA Records",0.756,0.674,0,-6.518,0,0.0959,0.0184,0,0.158,0.389,111.995,4
