Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6KM9LiYQsqtjHfdYGuWDpK,"Daaku Daaku","Daaku Daaku","Masoom Sharma;Ashu Twinkle",2022-01-11,154319,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-02-13T12:22:57Z,"haryanvi pop","Masoom Sharma",0.815,0.687,3,-6.159,0,0.0891,0.121,0,0.0752,0.754,111.939,4
spotify:track:1knnSlcBlhlcNsQkGyVl9X,"Jale 2","Jale 2","Shiva Choudhary;Sapna Choudhary",2023-11-28,159360,65,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-02-13T12:27:07Z,"haryanvi pop","Desi Geet",0.866,0.846,6,-4.41,0,0.0545,0.138,0.0000568,0.0685,0.857,124.948,4
spotify:track:0F7XXCXum92wXkBhYd25Ds,"Chora Haryane Aala","Chora Haryane Aala","Eshan Bhati;Sunny Andy Chora;Sanket Upadhyay;Kay D",2022-09-06,200571,48,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-02-13T12:28:57Z,"haryanvi pop","Gaurika Records",0.738,0.626,2,-7.017,1,0.0628,0.0584,0,0.0988,0.672,139.962,4
spotify:track:3jJ5HgLRNydtLRghjWVaCG,"Kabira (Encore)","Yeh Jawaani Hai Deewani","Pritam;Harshdeep Kaur;Arijit Singh;Amitabh Bhattacharya",2013-03-30,270438,64,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-02-13T12:31:03Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.611,0.612,2,-7.978,1,0.114,0.441,0,0.18,0.898,171.841,4
spotify:track:00lt7plJL4sJDCqwS10Sdb,"Kanda Kacheya Ne (From ""Daana Paani"" Soundtrack)","Kanda Kacheya Ne (From ""Daana Paani"" Soundtrack)","Jyotica Tangri;Jaidev Kumar",2018-05-11,194615,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-02-13T12:31:12Z,"bollywood,hindi pop,bhangra,punjabi pop","Rhythm Boyz",0.624,0.476,4,-5.763,1,0.0349,0.819,0.0000742,0.0918,0.425,78.019,4
spotify:track:20rwogC6aE369YsxFb5aRp,"Din Shagna Da","Phillauri","Jasleen Royal;Neeraj Rajawat",2017-03-06,215304,57,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-02-13T12:31:31Z,"hindi pop,bollywood,desi,gujarati pop,hindi indie","T-Series",0.583,0.452,11,-10.459,0,0.026,0.802,0.00632,0.143,0.327,79.999,4
spotify:track:73b9wDijCUpicQUzrc47EY,"Navrai Majhi","English Vinglish","Sunidhi Chauhan;Swanand Kirkire;Neelambari Kirkire;Natali Di Luccio",2012-09-04,262826,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-02-13T12:32:18Z,"bollywood,desi,hindi pop,bhajan,ghazal,marathi pop","Eros Now Music",0.9,0.594,1,-7.274,1,0.0552,0.0764,0.0000297,0.0718,0.816,120.038,4
spotify:track:119XDcdbad5u5bp841vUGV,"Aaj Sajeya","Aaj Sajeya","Goldie Sohel",2021-03-30,229179,58,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-02-13T12:32:40Z,"desi pop,desi","Saregama",0.641,0.57,7,-10.111,1,0.0665,0.883,0.00177,0.161,0.569,79.931,4
spotify:track:3xzxYEsDhcgA4dDGHC9Fdb,"Kabeera","Kabeera","The Wedding Story;Nidhi Kohli;Harpreet Bachher",2014-07-13,248732,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-02-13T12:32:48Z,"sufi","The Wedding Story",0.354,0.72,2,-10.572,1,0.0869,0.4,0.00000816,0.0895,0.496,82.647,4
spotify:track:3THyCpywXqlelZEERK2RlO,"Dhol Jageero Da","Dhol Jageero Da","Panjabi MC;Master Saleem",2001-01-01,264720,55,false,22nfklp6e2bdvfz6yfb4e5zdy,2024-02-13T12:34:04Z,"bhangra,bollywood","Moviebox Birmingham Limited",0.716,0.974,11,-2.48,0,0.17,0.184,0.00147,0.333,0.886,81.02,4
