Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1BRwuvjhkgezmv1gcI6lT6,"Die Young","What Now","Sylvan Esso",2017-04-28,210613,1,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"","Loma Vista",0.696,0.544,8,-6.419,1,0.0335,0.372,0.00438,0.104,0.418,101.974,4
spotify:track:3nc420PXjTdBV5TN0gCFkS,"Ocean (feat. Khalid)","Ocean (feat. Khalid)","Martin Garrix;Khalid",2018-06-15,216419,68,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"edm,progressive house,electronica","Epic Amsterdam",0.506,0.693,0,-7.265,0,0.0412,0.584,0.0000958,0.0891,0.221,139.912,4
spotify:track:6FRLCMO5TUHTexlWo8ym1W,"Girls Like You (feat. Cardi B) - Cardi B Version","Girls Like You (feat. Cardi B)","Maroon 5;Cardi B",2018-05-30,235545,64,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"pop","Interscope Records*",0.779,0.541,0,-6.824,1,0.0658,0.566,0,0.13,0.447,124.939,4
spotify:track:7AFASza1mXqntmGtbxXprO,"changes","?","XXXTENTACION",2018-03-16,121886,75,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"emo rap","Bad Vibes Forever, LLC",0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,4
spotify:track:7nAfXgeHfDO50upcOjJOaq,"Talking to Myself","One More Light","Linkin Park",2017-05-19,231306,62,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.593,0.712,2,-6.325,0,0.0286,0.00184,0,0.128,0.473,124.013,4
spotify:track:3CA9pLiwRIGtUBiMjbZmRw,"Nice For What","Scorpion","Drake",2018-06-29,210746,82,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"rap","Cash Money/Drake LP6",0.585,0.909,8,-6.474,1,0.0707,0.0891,0.000097,0.119,0.758,93.372,4
spotify:track:62mMBX4iRxSuj5BX14gUKv,"Breakdown","Checkmate","Bag Raiders",2016-02-26,291233,18,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"alternative dance","Universal Music Australia Pty. Ltd.",0.647,0.773,3,-6.086,1,0.0286,0.0347,0.00127,0.145,0.224,120,4
spotify:track:1YrC8s6yZWw23QxW6rfM9f,"Come","Zanaka","Jain",2016-10-21,162266,61,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"french pop","Columbia",0.818,0.783,1,-6.534,1,0.0444,0.232,0.00886,0.0803,0.819,99.992,4
spotify:track:0Z5ok0QLLttAKsujOZYOXf,"Chasing Pavements","19","Adele",2008-01-27,210506,78,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"soft pop","XL Recordings",0.616,0.47,5,-6.092,0,0.0253,0.291,0,0.111,0.325,80.03,4
spotify:track:7vFoFDWqTX0mHzLfrF1Cfy,"Cheerleader (Felix Jaehn Remix) - Radio Edit","Me 4 U","OMI;Felix Jaehn",2015-10-16,180565,84,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"tropical house","Ultra Records, LLC",0.782,0.685,4,-6.237,1,0.0309,0.166,0.0000118,0.16,0.603,118.02,4
spotify:track:4g2ks3sZw0NtdmBuczxOMo,"Dangerous","Some Kind of Trouble (Deluxe Edition)","James Blunt",2010-11-08,191453,38,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"","Custard/Atlantic",0.636,0.639,6,-5.907,0,0.0294,0.0518,0,0.077,0.961,139.954,4
spotify:track:4zn0kScuV9Oj28d4g9CQQs,"Jamming","Exodus (Deluxe Edition)","Bob Marley & The Wailers",1977-06-03,211000,1,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"reggae,roots reggae","Tuff Gong",0.934,0.467,11,-10.99,0,0.307,0.102,0.0000398,0.109,0.73,123.583,4
spotify:track:6nS5KDw4yXhzNqUbNmipWu,"Daydream","Laughing Cavalier","Wallace Collection",1969-01-01,299253,52,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"baroque pop","Rhino",0.311,0.725,2,-3.472,1,0.0317,0.275,0.0201,0.185,0.54,74.62,4
spotify:track:1zVBU0PAj7ZUVmVfG2pgQG,"Carry You Home","All the Lost Souls","James Blunt",2007-09-05,234786,65,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"","Custard/Atlantic",0.344,0.549,2,-7.194,1,0.037,0.7,0.00000116,0.101,0.206,83.046,4
spotify:track:6x4tKaOzfNJpEJHySoiJcs,"Mambo No. 5 (a Little Bit of...)","A Little Bit of Mambo","Lou Bega",1999-07-19,220293,81,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"","Sony Music/Vorsicht Musik",0.622,0.807,5,-6.752,0,0.408,0.103,0,0.306,0.892,174.06,4
spotify:track:4q6dqyGM25sKFU8nYAGRe4,"Show Me (feat. Chris Brown)","My Own Lane (Expanded Edition)","Kid Ink;Chris Brown",2014-01-06,217800,77,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"r&b","Tha Alumni Music Group/88 Classic/RCA Records",0.711,0.508,7,-7.299,1,0.0502,0.0355,0,0.141,0.663,98.098,4
spotify:track:1SWVDBtw6h3tm9OehOkDhv,"What's The Difference","2001","Dr. Dre;Eminem;Xzibit",1999-11-16,244200,77,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap,hardcore hip hop","Aftermath",0.772,0.821,11,-0.14,0,0.25,0.223,0,0.148,0.77,91.921,4
spotify:track:5ZsAhuQ24mWHiduaxJqnhW,"Udd Gaye","Ved","Ritviz",2019-07-01,180413,59,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"indian indie,hindi indie,hindi pop","Ritviz",0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961,4
spotify:track:5A6OHHy73AR5tLxgTc98zz,"Black and Yellow","Rolling Papers","Wiz Khalifa",2011-03-29,217666,81,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"","Rostrum/Atlantic",0.684,0.834,2,-4.524,0,0.0675,0.0646,0,0.271,0.538,164.02,4
spotify:track:5ljCWsDlSyJ41kwqym2ORw,"03' Bonnie & Clyde","The Blueprint 2: The Gift & The Curse","JAŸ-Z;Beyoncé",2002-11-12,205560,76,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"hip hop,east coast hip hop,rap","Roc Nation / Jay-Z",0.759,0.678,9,-5.148,0,0.314,0.23,0,0.15,0.327,89.64,4
spotify:track:0R8P9KfGJCDULmlEoBagcO,"Trouble","Parachutes","Coldplay",2000-07-10,273426,75,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"","Parlophone UK",0.565,0.546,11,-7.496,0,0.0314,0.189,0.0015,0.17,0.195,139.757,4
spotify:track:7mxpWt3f6U2lG0uzlimbKG,"Adventure","Adventure","Izzamuzzic",2016-04-22,319225,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"","Three Dot House",0.601,0.55,7,-10.026,1,0.213,0.0818,0.00228,0.105,0.125,100.083,4
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,"Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,84,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"folk pop","F-Stop Records/Atlantic",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
spotify:track:0Z5ok0QLLttAKsujOZYOXf,"Chasing Pavements","19","Adele",2008-01-27,210506,78,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"soft pop","XL Recordings",0.616,0.47,5,-6.092,0,0.0253,0.291,0,0.111,0.325,80.03,4
spotify:track:5h0ODSutX73Vt4vZsmmph0,"I Feel Like I'm Drowning","A 20 Something F**k","Two Feet",2018-10-12,185520,37,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"","Republic Records",0.719,0.575,8,-5.436,1,0.046,0.703,0.00334,0.0899,0.234,104.892,3
spotify:track:0R8P9KfGJCDULmlEoBagcO,"Trouble","Parachutes","Coldplay",2000-07-10,273426,75,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:24Z,"","Parlophone UK",0.565,0.546,11,-7.496,0,0.0314,0.189,0.0015,0.17,0.195,139.757,4
