Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0U62uEAcEBfWab5CyQLaEg,"Morning Coffee","Morning Coffee","GUDFELLA;Jitwam",2026-03-20,182109,68,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T13:19:08Z,"jazz house,lo-fi house,indie jazz","Thrive Music",0.808,0.923,1,-3.461,1,0.0552,0.0576,0.132,0.0615,0.681,127.986,4
spotify:track:0A907qe8bBU0D0R90yLNye,"Luxo","Harmonia","Trikk",2025-04-25,332400,40,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:30:37Z,"melodic techno,melodic house,indie dance","Innervisions",0.662,0.658,10,-7.238,0,0.0498,0.000231,0.895,0.0724,0.256,124.995,4
spotify:track:1wisB4DtmmPiuLrA188XmR,"111","111","Ape Drums;JAMIIE",2025-08-15,232000,47,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T13:19:14Z,"moombahton,afro tech,afro house,indie dance,melodic house","VOD",0.804,0.676,1,-9.947,1,0.0527,0.111,0.556,0.114,0.0981,119.988,4
spotify:track:1IR9m7mkEWAXkCA5cBfTz2,"So Good","So Good","Tim Engelhardt;Sean Doron",2024-04-05,344738,35,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:30:50Z,"melodic house,melodic techno,organic house,progressive house,indie dance,afro house","Siamese",0.803,0.756,1,-11.055,0,0.0698,0.0000501,0.866,0.11,0.341,126,4
spotify:track:2PfHWYV43Tq5M2PDw2qb0Z,"Shepard's Tone","UH HUH","Luch",2026-02-06,421463,45,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T13:19:26Z,"afro house,afro tech,melodic house","Gozar Records",0.852,0.616,6,-8.666,1,0.0676,0.00043,0.85,0.0843,0.319,122.995,4
spotify:track:1dWWpbUHni0mmv9aaVLhcH,"Asa","Asa","Âme",2024-07-12,277567,49,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:30:53Z,"minimal techno,melodic house,melodic techno","Innervisions",0.699,0.884,1,-6.554,1,0.0358,0.000593,0.894,0.118,0.287,128.078,4
spotify:track:2Kk6DJR5OsxNrN2uEEg1k6,"Move","Move","Samm (BE);Ajna (BE)",2024-06-21,299000,45,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:31:34Z,"afro house,afro tech,melodic house,organic house","When Stars Align",0.768,0.661,2,-9.667,1,0.0339,0.0256,0.849,0.103,0.0394,120.015,4
spotify:track:3dP8LJGBFeQuCtLxjLBVGO,"Mayflies","Mayflies","Denis Horvat;Sahar",2026-03-19,173976,22,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:35:47Z,"melodic techno,melodic house,techno,indie dance","Cercle Records",0.613,0.909,7,-7.559,1,0.0373,0.0000587,0.0499,0.339,0.221,123.039,4
spotify:track:6pkR3IU8zXngIXbUjV2gVe,"Heat","Heat","JUNO (DE)",2025-03-21,267768,53,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:39:11Z,"afro house,afro tech,melodic house","Magnifik Music",0.721,0.943,1,-6.932,1,0.0463,0.00119,0.879,0.067,0.675,121,4
spotify:track:0LSktlTAWO96fPG41WLj0N,"Last Dance","Last Dance","JUNO (DE)",2024-12-06,273999,60,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:39:39Z,"afro house,afro tech,melodic house","Magnifik Music",0.74,0.723,9,-7.01,1,0.0528,0.00101,0.71,0.101,0.56,120.001,4
spotify:track:1CM0kiqrtCSHClFjTccTOb,"Trippy Yeah","Trippy Yeah","Jimi Jules;Black Coffee",2025-06-27,238400,65,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:44:46Z,"melodic techno,afro house,afro tech,house","Innervisions",0.646,0.809,4,-7.879,0,0.0569,0.000877,0.166,0.116,0.729,123.025,4
spotify:track:1JHNil2Fef8rXU7oI3T6wv,"Como El Agua","Como El Agua","Pablo Fierro;FNX OMAR",2025-07-16,277073,32,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:45:18Z,"afro house,afro tech,tribal house,latin house,deep house,organic house,gnawa","WE'RE HERE",0.734,0.936,1,-7.319,1,0.0403,0.056,0.439,0.267,0.655,123.012,4
spotify:track:1lCnkwov638dkrJhQf2nmv,"Yours to Take","Yours to Take","Samm (BE);Ajna (BE)",2025-05-23,302815,41,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:47:00Z,"afro house,afro tech,melodic house,organic house","Siamese",0.736,0.854,10,-7.01,0,0.0403,0.00338,0.904,0.111,0.15,119.991,4
spotify:track:4J0gDIw2chzeWkzkOZphHX,"Riga","Riga","Super Flu;Marc Werner",2025-01-10,315371,48,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:47:09Z,"afro house,minimal techno,melodic house,melodic techno","Magnifik Music",0.771,0.886,11,-8.66,1,0.0376,0.000207,0.728,0.0941,0.114,121,4
spotify:track:5LTFPpDKltOhgdqUqNq7uR,"Back Up","Back Up","HotLap;Ajna (BE);Samm (BE);Benni Ola",2025-04-25,245125,41,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:47:13Z,"deep house,afro house,afro tech,melodic house,organic house,indie dance","Magnifik Music",0.747,0.851,10,-10.137,0,0.0379,0.112,0.806,0.101,0.247,119.989,4
spotify:track:6pv5Ajnc2fp12ilnkD5Xrr,"Like Dat - Ape Drums Remix","Like Dat (Ape Drums Remix)","Danidane;MAAURA;Ape Drums",2025-03-14,255605,55,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T09:47:16Z,"afro house,afro tech,moombahton","Klub Record Music LTD",0.78,0.729,9,-9.163,1,0.0469,0.00166,0.236,0.154,0.27,120.016,4
spotify:track:5cNnYUUjZkMJF4GtvXrzcv,"Creature (feat. Starving Yet Full)","Creature (feat. Starving Yet Full)","OSFUR;UVITA;The Scripture;Starving Yet Full",2024-10-25,210247,37,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T12:42:14Z,"afro house,afro tech,melodic house,organic house","Nervous Records",0.805,0.776,7,-7.372,1,0.06,0.0163,0.791,0.0573,0.631,121.014,4
spotify:track:1EBkH56rR8EunWZkcQjQ1r,"All The Love - WhoMadeWho & Samm Remix","All The Love (WhoMadeWho & Samm Remix)","Everything Is Art;WhoMadeWho;Samm (BE)",2025-04-04,266000,45,false,go4neuy7kclnfmse1jd1806xv,2026-03-26T12:59:30Z,"melodic house,afro house,afro tech,melodic techno","The Moment",0.661,0.841,6,-9.184,1,0.0388,0.0388,0.797,0.0725,0.18,120.004,4
spotify:track:3Z3Jnwm6NzBe21j9XSpSA3,"Get Em Up","Get Em Up","JUNO (DE);Jamek Ortega",2025-09-26,248801,48,false,go4neuy7kclnfmse1jd1806xv,2026-03-29T19:12:21Z,"afro house,afro tech,melodic house,tribal house","Magnifik Music",0.645,0.893,1,-6.219,1,0.0629,0.000856,0.816,0.0826,0.306,121.004,4
spotify:track:2KKbfAV8OX9dayLxpDXstg,"Back Then","Back Then","TwoForAll;Mont Rouge",2025-10-21,234063,46,false,go4neuy7kclnfmse1jd1806xv,2026-03-29T19:18:40Z,"indie dance,afro house,afro tech,melodic house","IN / ROTATION (Insomniac Records)",0.836,0.405,2,-20.656,1,0.0732,0.0251,0.385,0.133,0.494,123.988,4
spotify:track:5J72L91na30WRBYaCokV8i,"No One","No One","BLOND:ISH;Tim Engelhardt",2025-12-12,244391,43,false,go4neuy7kclnfmse1jd1806xv,2026-04-10T14:38:27Z,"afro house,techengue,latin house,melodic house,melodic techno,organic house,progressive house","ABRACADABRA Music",0.722,0.831,4,-9.51,0,0.0405,0.00034,0.374,0.0821,0.147,123.996,4
spotify:track:4YdaGUuNANlnBnwV2jhJs6,"Dancing - Extended Mix","Dancing","Grigoré;Serve Cold;Jaguar Jaguar",2025-06-06,446776,47,false,go4neuy7kclnfmse1jd1806xv,2026-04-10T15:36:25Z,"melodic techno,afro house,melodic house","Defected Records",0.741,0.833,11,-7.885,1,0.041,0.00705,0.827,0.0953,0.0439,121.002,4
spotify:track:6zcVM8SBJ6LWMqjb2bvMUZ,"Siren's Flicker","Siren's Flicker","Luch",2026-03-06,224516,33,false,go4neuy7kclnfmse1jd1806xv,2026-04-12T22:38:58Z,"afro house,afro tech,melodic house","Paranormal",0.798,0.867,0,-4.147,1,0.0386,0.0207,0.689,0.0617,0.508,124.001,4
