Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1SN1vSPsr4V4tIUTR3s8YW,"Fast Car","Blue","Jonas Blue;Dakota",2018-11-09,212424,77,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:27Z,"tropical house","Positiva",0.672,0.578,9,-6.621,1,0.0569,0.469,0,0.312,0.548,113.945,4
spotify:track:2RSHsoi04658QL5xgQVov3,"Bad Liar","Origins (Deluxe)","Imagine Dragons",2018-11-09,260773,83,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:27Z,"","Kid Ina Korner / Interscope",0.307,0.637,3,-6.993,1,0.0569,0.0732,0,0.368,0.0805,88.693,4
spotify:track:2mlGPkAx4kwF8Df0GlScsC,"Buttercup","Pop Food","Jack Stauber",2017-03-25,208026,71,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:27Z,"","Plopscotch Records",0.705,0.373,7,-9.066,1,0.0384,0.723,0.81,0.289,0.551,120.046,4
spotify:track:0r7efZb2yS1XaMNde55eXX,"Get Up (Original Mix)","Get Up - EP","Bingo Players",2008-09-18,353383,8,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:27Z,"big room","Secure Recordings",0.96,0.816,1,-7.581,1,0.119,0.0139,0.107,0.0741,0.357,126.963,4
spotify:track:3pG3KCxfWVtYVjJ7inOFKx,"Ding Dong Thing","Deaf Safari","Felix Laband",2015-05-29,718791,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:27Z,"","Compost Records",0.724,0.535,6,-9.256,0,0.0506,0.346,0.00694,0.109,0.574,103.007,4
spotify:track:0NlGoUyOJSuSHmngoibVAs,"All I Want","In A Perfect World (Expanded Edition)","Kodaline",2013-06-17,305746,81,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:27Z,"","B-Unique/RCA",0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,3
spotify:track:1XjBqBftdX0Q9g58WtmmUX,"Roses - Imanbek Remix","Roses (Imanbek Remix)","SAINt JHN;Imanbek",2019-10-09,175552,40,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:27Z,"slap house","Columbia/B1 Recordings",0.791,0.669,8,-5.562,1,0.0512,0.0226,0.0239,0.179,0.881,122.018,4
spotify:track:0l8J9eOFetKMCYaf2UVzdB,"Sinnerman","Spotlight on Nina Simone","Nina Simone",2020-12-14,619354,11,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:27Z,"vocal jazz,soul jazz,soul,jazz,blues","UME - Global Clearing House",0.44,0.674,11,-8.376,0,0.117,0.669,0.0000145,0.077,0.674,146.577,4
spotify:track:75zMKn5euxQdlkZgu4P42J,"Sympathy For The Devil","The Rolling Stones Singles Collection: The London Years","The Rolling Stones",1989-08-15,376800,65,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:27Z,"classic rock,rock","ABKCO",0.727,0.681,9,-10.943,1,0.221,0.61,0,0.0559,0.578,115.938,4
spotify:track:0mjAU3yKR1QnXnHtjGJqTM,"Rescue Me","Rescue Me","OneRepublic",2019-05-17,158899,65,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:27Z,"soft pop","Mosley Music/Interscope Records",0.759,0.605,7,-7.737,1,0.0433,0.156,0,0.694,0.64,121.049,4
