Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7uhINGViZPygI2AljxO8KN,"cold/mess","cold/mess","Prateek Kuhad",2020-10-07,281218,60,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Elektra (NEK)",0.509,0.477,11,-6.571,1,0.0262,0.309,0.0168,0.158,0.283,146.031,3
spotify:track:08kTa3SL9sV6Iy8KLKtGql,"Kasoor","Kasoor","Prateek Kuhad",2020-06-30,197549,63,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Prateek Kuhad",0.558,0.497,8,-7.175,1,0.0256,0.0285,0.00000536,0.0799,0.444,107.047,4
spotify:track:4kXkT9HF9ZfDjuv3LIKcwJ,"Dil Beparvah - The Dewarists, Season 5","Dil Beparvah (The Dewarists, Season 5)","Ankur Tewari;Prateek Kuhad;Dhruv Bhola;Nikhil Vasudevan",2016-11-17,250000,47,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie,hindi hip hop,desi hip hop","Ankur Tewari, Prateek Kuhad",0.762,0.391,1,-11.735,1,0.0337,0.867,0.000521,0.112,0.355,137.956,3
spotify:track:7eTy1IzCaICfm6JYy1BV4u,"with you/for you","cold/mess","Prateek Kuhad",2020-10-07,231897,42,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Elektra (NEK)",0.731,0.317,6,-13.775,1,0.0358,0.812,0.149,0.106,0.33,114.078,4
spotify:track:1gWtHDe403RuyZqhvSRcv8,"Tune Kaha","Tune Kaha","Prateek Kuhad",2016-02-22,216885,53,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Pagal Haina Records",0.362,0.763,3,-8.514,1,0.0589,0.015,0.00481,0.237,0.431,187.291,4
spotify:track:2jlPMNMojBNtGZTnSuXItA,"Something Wrong","Prateek Kuhad","Prateek Kuhad",2011-07-15,208413,16,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Pagal Haina Records",0.564,0.384,9,-8.651,1,0.0289,0.729,0.00000176,0.185,0.188,90.123,4
spotify:track:3FTRSa9mWB3kKx2jkhUAN3,"Tum Jab Paas","Tum Jab Paas - Single","Prateek Kuhad",2017-04-24,235932,57,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","AO",0.751,0.344,6,-7.712,1,0.0379,0.528,0.00000162,0.113,0.471,122.1,3
spotify:track:51Gk1czQl7NjX0jHwawO1G,"Yeh Pal","Raat Raazi","Prateek Kuhad",2013-08-18,247688,24,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Pagal Haina",0.752,0.204,2,-15.955,1,0.0371,0.834,0.102,0.109,0.38,117.997,4
spotify:track:5h1L6nOR9QYXeeNW14aeus,"Pause","Pause","Prateek Kuhad",2020-05-28,171149,45,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Prateek Kuhad",0.619,0.277,11,-11.771,1,0.0322,0.892,0.0542,0.116,0.435,111.576,4
spotify:track:2qI0dxrLFzm5oCgjiYc265,"for your time","cold/mess","Prateek Kuhad",2020-10-07,186873,37,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Elektra (NEK)",0.578,0.723,6,-5.575,1,0.036,0.0129,0.000137,0.334,0.631,130.997,4
spotify:track:3FrrdMIPRwHTu5DEBtVhjL,"Ab Hoga Kya","Raat Raazi","Prateek Kuhad",2013-08-18,254301,15,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Pagal Haina",0.869,0.458,11,-8.123,1,0.0525,0.495,0.0112,0.0706,0.488,133.943,4
spotify:track:5tJqtSvAfTJkMrV4Wst4Le,"100 words","cold/mess","Prateek Kuhad",2020-10-07,210420,49,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Elektra (NEK)",0.518,0.44,3,-14.536,1,0.034,0.888,0.457,0.111,0.575,76.154,4
spotify:track:3k458zzqcF9UeRfZqRbZYr,"Raat Raazi","Raat Raazi","Prateek Kuhad",2013-08-18,286956,17,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Pagal Haina",0.481,0.254,4,-10.642,1,0.0307,0.756,0.372,0.103,0.138,105.418,4
spotify:track:3IW6WWv5CeCgSyNwL9UmJr,"fighter","cold/mess","Prateek Kuhad",2020-10-07,235402,35,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:30:08Z,"indian indie,hindi indie","Elektra (NEK)",0.456,0.455,1,-7.53,1,0.0305,0.668,0.0000105,0.0936,0.132,116.504,4
