Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7rr6n1NFIcQXCsi43P0YNl,"Expert Jatt","Expert Jatt","Nawab",2018-01-18,199534,69,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:29Z,"punjabi pop,bhangra,punjabi hip hop","Juke Dock",0.765,0.948,6,-2.816,0,0.199,0.298,0,0.0784,0.647,172.038,4
spotify:track:1OACsTiYokI4NUgnMonSmt,"Bom Diggy Diggy","Sonu Ke Titu Ki Sweety","Zack Knight;Jasmin Walia;Kumaar",2018-02-14,238530,64,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:29Z,"desi,bollywood,bhangra,desi pop,hindi pop","T-Series",0.782,0.827,11,-4.219,0,0.0627,0.159,0,0.226,0.498,104.032,4
spotify:track:0LZA36VEmc6n0Y7X29zIgE,"Jaani Tera Naa","Jaani Tera Naa","Sunanda Sharma",2017-09-13,188606,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:29Z,"bhangra,punjabi pop,desi","Mad 4 Music",0.776,0.882,8,-2.864,0,0.0456,0.0653,0.000151,0.11,0.789,93.99,4
spotify:track:1glU6Shjekc7VmWHUq69GL,"Laembadgini","Diljit Dosanjh – Top Hits","Diljit Dosanjh",2018-07-10,186312,8,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:29Z,"bhangra,punjabi pop,punjabi hip hop,desi,bollywood","Speed Records",0.755,0.839,5,-2.26,0,0.129,0.294,0.0000149,0.107,0.592,82.041,4
spotify:track:3Oe3VdPn6rAueriQvFhCBA,"Illegal Weapon","Illegal Weapon","Garry Sandhu;Jasmine Sandlas",2017-09-25,230000,65,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:29Z,"bhangra,punjabi pop,desi,bollywood","Fresh Media Records",0.814,0.666,6,-6.555,1,0.0635,0.488,0.0000423,0.108,0.714,94.02,4
spotify:track:6lAZNsQB0zCDA2nV0JlS4h,"Gaal Ni Kadni","Desi Crew - Top Hits","Parmish Verma",2018-07-19,248515,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:29Z,"punjabi pop,punjabi hip hop,bhangra","Speed Records",0.694,0.799,6,-3.885,1,0.324,0.262,0,0.125,0.651,167.82,4
spotify:track:1W1dS4VnIrYnllQJ3CAcZy,"So High","So High","Sidhu Moose Wala",2017-08-10,218666,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:29Z,"punjabi hip hop,punjabi pop,bhangra,desi hip hop","Humble Music",0.538,0.763,11,-6.346,0,0.205,0.0152,0,0.109,0.484,180.002,4
spotify:track:7kNIauowyj6h2oIVPC8wKw,"Baddal","Baddal","Jasmine Sandlas;Intense",2016-09-04,243076,1,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:29Z,"bhangra,desi,punjabi pop,bollywood,lovers rock,jungle","Jasmine Sandlas",0.822,0.354,5,-13.418,0,0.154,0.519,0,0.399,0.14,130.063,4
spotify:track:0zRsGGueSQLRkYWs4kPA4V,"Naah","Naah","Harrdy Sandhu;Jaani",2017-11-30,190000,67,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:29Z,"punjabi pop,bhangra,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.714,0.863,2,-2.539,0,0.0631,0.62,0.0000643,0.0972,0.828,99.978,4
spotify:track:0I0LpAs5e4WpXIlKwywwcq,"Gangland","Gangland","Mankirt Aulakh;DJ Flow",2017-05-23,168000,45,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:29Z,"bhangra,punjabi pop,punjabi hip hop","Speed Records",0.746,0.914,4,-3.603,0,0.305,0.149,0,0.119,0.606,89.933,4
