Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0TTgEk0G8tVPt1cBztkmW7,"Ready for Love","Ready for Love","Zohran Miranda",2020-06-12,329535,4,false,v456cfup0r4ae9dkfy3crn2uq,2022-12-27T13:25:50Z,"indian indie","So Bad Records",0.57,0.742,0,-6.485,1,0.0244,0.0352,0.00365,0.173,0.398,88.014,4
spotify:track:7fyVBKYJYMP42nNr9RFTAT,"Ride","Ride","HYBS",2021-10-08,181622,52,false,v456cfup0r4ae9dkfy3crn2uq,2022-12-27T13:26:06Z,"","JUICEY",0.757,0.393,5,-7.942,1,0.212,0.788,0.000986,0.0501,0.715,77.985,4
spotify:track:0FRoVng8IZZoS0ATxIgvuH,"Gravity - Live at the House of Blues, Chicago, Illinois, September 22, 2005","TRY! - Live In Concert","John Mayer",2005-09-19,349253,41,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:01:27Z,"singer-songwriter","Aware/Columbia",0.543,0.344,7,-9.599,1,0.035,0.673,0.00329,0.813,0.477,115.281,3
spotify:track:5S9Os6xwdncvFEhj0RJRHv,"Ants Marching","Under the Table and Dreaming (Expanded Edition)","Dave Matthews Band",1994-09-27,271186,48,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:01:40Z,"jam band","Bama Rags Recordings",0.637,0.856,2,-4.34,1,0.034,0.0187,0.0000199,0.0157,0.846,113.322,4
spotify:track:3kfXUGIdBNpyr2gBvU3Guj,"Angel","Permanent Vacation","Aerosmith",1987-01-01,308906,66,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:07:24Z,"classic rock,rock","Aerosmith P&D - Geffen",0.239,0.819,3,-3.583,1,0.0393,0.304,0,0.0855,0.439,171.449,4
spotify:track:6LbbHFEajG9e4m0G3L47c4,"Pinball Wizard","Tommy","The Who",1969-05-23,180943,67,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:08:03Z,"classic rock,rock","UMC (Universal Music Catalogue)",0.543,0.715,2,-8.89,1,0.0356,0.0192,0,0.256,0.468,124.011,4
spotify:track:0mqTcM8kuu2IYPotMt7AzS,"Make You Feel My Love","19","Adele",2008-01-28,212040,1,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:08:36Z,"soft pop","XL Recordings",0.559,0.172,10,-10.636,1,0.0291,0.907,0.000383,0.105,0.0955,77.025,4
spotify:track:2lFlveK1y13WWp3vnQtrr3,"100 Years","The Battle for Everything","Five For Fighting",2003,244600,66,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:09:05Z,"","Aware/Columbia",0.643,0.569,7,-7.459,1,0.0276,0.544,0.0000217,0.178,0.275,120.507,4
spotify:track:3nqqDo8CcCLke3ZoTgiOKf,"The Man Who Can't Be Moved","The Script","The Script",2008-07-14,241373,88,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:13:41Z,"","Epic/Phonogenic",0.605,0.629,10,-5.051,1,0.0279,0.437,0,0.097,0.308,99.894,4
spotify:track:5ensPSgQkRM60i8ZH3S9wG,"Hollywood Tonight","Michael","Michael Jackson",2010-12-10,270373,2,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:34:38Z,"","Epic",0.805,0.744,9,-4.898,0,0.0533,0.00529,0.0000293,0.0901,0.824,114.074,4
spotify:track:6pnwfWyaWjQiHCKTiZLItr,"Shine On You Crazy Diamond (Pts. 1-5)","Wish You Were Here","Pink Floyd",1975-09-12,812800,74,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:35:42Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.264,0.294,7,-11.941,0,0.028,0.772,0.686,0.107,0.0402,137.937,3
spotify:track:5jgFfDIR6FR0gvlA56Nakr,"Blackbird - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,138386,80,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:36:00Z,"classic rock,psychedelic rock","EMI Catalogue",0.686,0.127,7,-14.361,1,0.0342,0.754,0.0000141,0.0573,0.372,93.699,4
spotify:track:0BzhS74ByIVlyz8BedHaYi,"Innuendo - Remastered 2011","Innuendo (2011 Remaster)","Queen",1991-02-05,393026,60,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:37:57Z,"classic rock,rock,glam rock","EMI",0.346,0.728,1,-5.747,1,0.0451,0.187,0.00379,0.344,0.174,74.939,4
spotify:track:3QHThjKGMW7y89xIEvB0J4,"So Far Away - Full Version","Brothers In Arms","Dire Straits",1985-05-13,308800,0,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:38:31Z,"classic rock","EMI",0.698,0.473,4,-11.741,1,0.0283,0.244,0.211,0.063,0.694,114.453,4
spotify:track:5tegtAKjUhkNp0GeSjW4Kr,"Life In The Fast Lane - Live On MTV, 1994","Hell Freezes Over (Remaster 2018)","Eagles",1994-11-08,361226,41,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:39:22Z,"classic rock,yacht rock,soft rock","Geffen",0.58,0.848,9,-6.576,1,0.083,0.0517,0.000837,0.974,0.427,111.893,4
spotify:track:57iDDD9N9tTWe75x6qhStw,"Bitter Sweet Symphony - Remastered 2016","Urban Hymns (Remastered 2016)","The Verve",1997-09-29,357266,88,false,v456cfup0r4ae9dkfy3crn2uq,2020-01-29T12:40:42Z,"britpop,shoegaze","UMC (Universal Music Catalogue)",0.356,0.917,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,4
spotify:track:2KH16WveTQWT6KOG9Rg6e2,"Eye of the Tiger","Rocky IV","Survivor",1985,245640,79,false,raghavsomani,2020-02-05T03:40:50Z,"","Volcano/Legacy",0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,4
