Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Es7AUAhQvapIcoh3qMKDL,"Timeless (feat. Playboi Carti)","Timeless","The Weeknd;Playboi Carti",2024-09-27,256000,17,true,kfvshl89wr6t8eevqv4t2igdq,2025-07-27T11:01:26Z,"rage rap","XO / Republic Records",0.769,0.722,11,-5.485,0,0.0507,0.0584,0.00000256,0.111,0.57,119.973,4
spotify:track:2q8MYOcUclJ3y5cQ3yVzIH,"Sick","Sick","Zaug",2024-02-23,113684,15,true,kfvshl89wr6t8eevqv4t2igdq,2025-07-27T11:01:26Z,"","BLNDR",0.769,0.486,8,-8.414,0,0.0703,0.0154,0.0881,0.106,0.301,95.032,4
spotify:track:1NpHJ96ljWvqdbjlyc9GtT,"FWU","FWU","Don Toliver;Mustard",2025-06-27,171000,77,true,kfvshl89wr6t8eevqv4t2igdq,2025-07-27T11:03:19Z,"","CactusJack/Donnway/ATL",0.689,0.608,8,-3.925,1,0.0436,0.0507,0.0000117,0.0745,0.485,76.007,4
spotify:track:57GsLpRtEtrzcPGPop20rS,"What Did I Miss?","What Did I Miss?","Drake",2025-07-05,194324,82,true,kfvshl89wr6t8eevqv4t2igdq,2025-07-27T11:03:19Z,"rap","OVO/Republic",0.753,0.802,0,-4.066,0,0.043,0.181,0,0.298,0.464,126.252,4
spotify:track:3bWGubzX73ZBN5sPQH6us7,"Ghost","Ghost","NGO;Rasmus Wahlgren",2022-10-14,165818,13,false,kfvshl89wr6t8eevqv4t2igdq,2025-07-27T11:01:26Z,"melodic rap","BLNDR",0.581,0.644,6,-8.477,1,0.0708,0.265,0,0.104,0.373,82.492,4
spotify:track:2PcZiMr9bRNtRikrN7s6bL,"Bodies (with JID)","Bodies (with JID)","Offset;JID",2025-06-20,178708,57,true,kfvshl89wr6t8eevqv4t2igdq,2025-07-27T11:03:19Z,"","Motown Records",0.863,0.732,9,-4.097,1,0.21,0.115,0,0.314,0.224,135.012,4
spotify:track:68qeaZhtMZ6abrJCYt6nQn,"RATHER LIE (with The Weeknd)","MUSIC","Playboi Carti;The Weeknd",2025-03-14,209680,80,true,kfvshl89wr6t8eevqv4t2igdq,2025-07-27T11:05:58Z,"rage rap","AWGE/Interscope Records",0.72,0.665,8,-4.431,1,0.0325,0.0583,0,0.213,0.279,132.991,4
spotify:track:5eW508Gq23QlXHowyzW39m,"Money On Money (feat. Future)","Money On Money (feat. Future)","Young Thug;Future",2025-04-25,236626,66,true,kfvshl89wr6t8eevqv4t2igdq,2025-07-27T11:03:19Z,"rap,melodic rap,trap","300 Entertainment",0.779,0.67,10,-6.432,0,0.0901,0.00282,0,0.247,0.0921,120.013,4
spotify:track:1AGqEvFQfgrJu3ET5LAS4P,"PCP","PCP","korotasilence;CESSIR",2024-04-19,118067,9,true,kfvshl89wr6t8eevqv4t2igdq,2025-07-27T11:01:26Z,"trap metal,horrorcore","BLNDR",0.693,0.878,9,-4.841,1,0.255,0.00313,0.000161,0.135,0.28,169.993,4
spotify:track:26N5kAVhlqFOWAkuMQ5Kwe,"WHERE WAS YOU","JACKBOYS 2","Travis Scott;Playboi Carti;Future",2025-07-13,272941,66,true,kfvshl89wr6t8eevqv4t2igdq,2025-07-27T11:03:19Z,"rap,rage rap","Cactus Jack / Epic",0.744,0.6,11,-6.499,0,0.115,0.063,0,0.214,0.201,159.885,4
