Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5pfJsMwoRYKampPay8amX0,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","This Unruly Mess I've Made","Macklemore & Ryan Lewis;Macklemore;Ryan Lewis;Grandmaster Melle Mel;Grandmaster Caz;Kool Moe Dee;Eric Nally",2016-02-26,292593,69,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:58Z,"old school hip hop,east coast hip hop,new jack swing","Macklemore",0.828,0.609,1,-4.402,1,0.0694,0.0916,0.00000121,0.291,0.707,109.725,4
spotify:track:1mea3bSkSGXuIRvnydlB5b,"Viva La Vida","Viva La Vida or Death and All His Friends","Coldplay",2008-06-06,242373,88,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:58Z,"","Parlophone UK",0.486,0.617,5,-7.115,0,0.0287,0.0954,0.00000323,0.109,0.417,138.015,4
spotify:track:0R2yQJOFsKqS0SsgPdWqtP,"G.R.I.N.D. (Get Ready It's A New Day)","G.R.I.N.D. (Get Ready It's A New Day)","Asher Roth",2010-01-01,218880,41,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:58Z,"","SRC Records / Def Jam",0.673,0.84,0,-4.81,1,0.0535,0.0214,0.00259,0.321,0.398,123.077,4
spotify:track:60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""","G I R L","Pharrell Williams",2014-03-03,233306,84,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:58Z,"","Columbia",0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,4
spotify:track:0nrRP2bk19rLc0orkWPQk2,"Wake Me Up","True","Avicii",2013-09-16,247426,88,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:58Z,"edm","Pophouse Entertainment Group",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
spotify:track:0bRXwKfigvpKZUurwqAlEh,"Lovely Day","Menagerie","Bill Withers",1977-10-29,257157,82,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:58Z,"soul","Columbia/Legacy",0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,4
spotify:track:5XX9oGZfgKMXdHnEp4t2JB,"Money On My Mind","In The Lonely Hour","Sam Smith",2014-05-26,192670,68,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:58Z,"soft pop","PLG - Capitol",0.67,0.841,2,-5.217,1,0.18,0.204,0.000294,0.229,0.742,133.918,4
spotify:track:5BxVRqpZi6tIhAap1ZjzVD,"Elevate","When The Night","St. Lucia",2013-10-07,308360,43,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:58Z,"","Neon Gold",0.541,0.982,2,-4.908,1,0.107,0.00767,0.000765,0.291,0.722,104.03,4
spotify:track:7apw8m9lHQjvuUVfMAm4kZ,"Higher Love","Early in the Morning (Special Edition)","James Vincent McMorrow",2010,215589,58,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:58Z,"","Believe digital",0.323,0.119,5,-17.892,1,0.05,0.962,0.000348,0.106,0.176,89.862,4
spotify:track:6u0dQik0aif7FQlrhycG1L,"The Morning","Trilogy","The Weeknd",2012-11-13,312426,69,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:58Z,"","CP Records",0.656,0.549,6,-7.555,0,0.0392,0.316,0,0.104,0.185,120.073,4
