Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0tm4exVT9Zj2WlKWUfgfqW,"Clara","Clara","Russ Chimes",2017-06-16,366506,14,false,,1970-01-01T00:00:00Z,"synthwave,french house,nu disco","Uno Mas Records",0.732,0.775,4,-8.044,0,0.0308,0.023,0.837,0.107,0.662,118.001,4
spotify:track:3beBgAxewFpofDveiARLLy,"Tobago","Tobago (Serve Cold, Bensy & Grigoré Remix)","Jonas Rathsman",2026-04-17,290000,39,false,,1970-01-01T00:00:00Z,"","DFTD",0.735,0.673,6,-7.662,1,0.0606,0.0785,0.732,0.0564,0.765,120.007,4
spotify:track:5iZYJDFss0teEDrTMO7dWc,"Dawn To Dusk - Meramek Remix","Dawn To Dusk","Thomas Schwartz;Fausto Fanizza;Meramek",2016-01-22,229354,16,false,,1970-01-01T00:00:00Z,"progressive house,deep house","Anjunadeep",0.621,0.821,5,-6.449,1,0.0296,0.00296,0.938,0.0901,0.86,123.998,4
spotify:track:4BmkmsfZ0uls2ghpHLjWal,"Spend It All - Original Mix","Spend It All EP","Journeyman",2014-05-05,294042,12,false,,1970-01-01T00:00:00Z,"trip hop","Anjunadeep",0.718,0.891,0,-6.337,1,0.034,0.000664,0.649,0.0855,0.312,124.977,4
spotify:track:2D9LvjQe6uyj2oivF5WDxE,"Kaleidoscope - Psychemagik Remix","Kaleidoscope (Remixes)","Mirror People;Psychemagik",2013-06-18,365901,27,false,,1970-01-01T00:00:00Z,"nu disco,indie dance","Discotexas",0.658,0.6,6,-8.299,0,0.0344,0.0177,0.867,0.101,0.362,121.999,4
spotify:track:5QmsLjpSaO884yvjABjL4X,"Familia","Castells (Original Short Film Soundtrack)","Russ Chimes",2019-04-26,179946,1,false,,1970-01-01T00:00:00Z,"synthwave,french house,nu disco","Uno Mas Records",0.458,0.464,7,-12.122,1,0.0291,0.000345,0.852,0.0936,0.0426,119.934,4
spotify:track:0WsQwE3Izp5mroN9idPros,"Holding Tight - Original Mix","Love Lights Music & More","MAM",2009-07-01,236068,16,false,,1970-01-01T00:00:00Z,"nu disco,french house,funky house,indie dance","Outcross Records",0.889,0.2,6,-14.05,0,0.167,0.0756,0.887,0.0848,0.89,119.988,5
spotify:track:01eR6PUrV5utYIfZUK3e1J,"Once Over Twice","Habitual Ritual","Luces;Amtrac;Plastic Plates",2017-06-16,397867,11,false,,1970-01-01T00:00:00Z,"melodic house,nu disco,deep house,indie dance","OPENERS",0.644,0.618,4,-12.085,0,0.0391,0.00576,0.833,0.0747,0.0822,117.992,4
spotify:track:6ezKiq5uvUlNlxCzQzZZ9n,"Love Divide","Love Divide","PADDY",2021-05-21,232320,19,false,,1970-01-01T00:00:00Z,"","United Dance Club",0.513,0.954,5,-7.928,0,0.0335,0.000741,0.859,0.162,0.137,124.962,4
spotify:track:3GZlKwpfyf8FZuoYSv7jjp,"Rocinante","Rocinante","Saison",2021-04-02,178032,17,false,,1970-01-01T00:00:00Z,"funky house,jazz house,disco house","Future Disco",0.709,0.719,9,-7.362,1,0.0369,0.00121,0.917,0.478,0.476,122.015,4
spotify:track:1SxIzU2HoXPGkMt70l47Fa,"Back 2 You - Hot Since 82 Remix","Back 2 You","Russ Chimes",2012-01-01,421974,23,false,,1970-01-01T00:00:00Z,"synthwave,french house,nu disco","Positiva/Virgin",0.716,0.659,11,-8.09,1,0.0314,0.00765,0.727,0.255,0.454,120.017,4
spotify:track:3VrOCjnNuR7K5wwaoQT4dn,"Only You - Original Mix","Anjunadeep 06","Meramek;Tropixx",2014-09-08,265373,15,false,,1970-01-01T00:00:00Z,"deep house,tropical house","Anjunadeep",0.586,0.967,9,-6.951,0,0.0347,0.000133,0.918,0.338,0.442,122.959,4
spotify:track:3xOS1faHHR5QxIv2xfDils,"Crushed Ice - Remix","Modern Heat EP","MAM",2021-08-10,223842,26,false,,1970-01-01T00:00:00Z,"nu disco,french house,funky house,indie dance","Outcross Records",0.655,0.646,7,-8.192,1,0.403,0.28,0,0.34,0.468,111.301,4
