Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2SxeNZphx2bH5kju5Ntu8P,"Airplane Lesson","Airplane Lesson","Stereoclip",2016,252145,56,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-06-29T15:36:58Z,"melodic techno","Hungry Music",0.532,0.448,7,-13.169,0,0.241,0.671,0.939,0.0978,0.13,123.034,4
spotify:track:2tzT3i3AofX2OAjdGJdBhw,"Far Away Place - Jody Wisternoff & James Grant Remix","Far Away Place (Jody Wisternoff & James Grant Remix)","Xinobi;James Grant;Jody Wisternoff",2017-10-20,239947,57,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-06-29T15:52:04Z,"melodic house,progressive house,deep house,organic house","Anjunadeep",0.654,0.826,9,-8.926,0,0.034,0.0238,0.792,0.0812,0.039,120.013,4
spotify:track:02VX51QXZlZcubvkm5mQGg,"Control","The Last Dance","Emmit Fenn",2019-03-28,170004,65,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-06-29T15:52:59Z,"","TH3RD BRAIN",0.87,0.362,11,-9.307,0,0.0646,0.17,0.00127,0.101,0.252,120.045,4
spotify:track:2W3XpXYmotMsZ2aN1224Gw,"Who Died and Made You King","Who Died and Made You King EP","Sascha Braemer;Dom Fricot",2021-07-09,390222,18,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-07-01T10:48:12Z,"minimal techno,tropical house","Systematic Recordings",0.724,0.599,11,-15.969,0,0.0497,0.0388,0.848,0.107,0.231,119.998,4
spotify:track:0an60vgDNuDx3wjE7UDSlX,"Bheer","Switchin'","Panjabi MC;Ranjit Mani",2000-01-01,285520,33,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-07-09T14:17:12Z,"bhangra,uk garage","Moviebox Birmingham Limited",0.881,0.728,1,-4.881,1,0.0714,0.00295,0.00014,0.0814,0.903,131.779,4
spotify:track:2lW57y7U7Pce21wRiMe6EA,"Ali Ali","Ali Ali","Diorange;A.R. Rahman;Nooran Sisters",2023-05-26,124000,51,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-07-10T12:09:49Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,qawwali","Universal Music AB",0.709,0.864,10,-6.033,0,0.276,0.0123,0.0293,0.487,0.48,135.111,4
spotify:track:3p7tnkOpYL5WH4IaRzLZ5e,"Friends","Friends","Night Tales",2018-11-30,274529,53,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-07-13T17:36:42Z,"","Craft Recordings",0.862,0.52,6,-7.628,1,0.0499,0.00467,0.107,0.0988,0.515,118.002,4
spotify:track:4NSe5EhRScbUpixWwojp7o,"Arms","Arms","Model Man",2022-09-09,244672,30,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-07-14T13:59:14Z,"lo-fi house","Helix Records",0.615,0.874,10,-6.859,1,0.039,0.00188,0.712,0.0725,0.417,122.005,4
spotify:track:2qPSa6HXjzwa9sLhNGpA1T,"Home","Home","Edith Whiskers",2020-10-16,195358,71,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-07-19T07:39:40Z,"","Tinpot Records",0.725,0.199,2,-12.478,1,0.0357,0.982,0.00395,0.1,0.264,120.031,4
spotify:track:4zlbKky2yA657Sk5rekZoR,"Baby again..","Baby again..","Fred again..;Skrillex;Four Tet",2023-03-17,319963,59,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-07-26T06:46:36Z,"stutter house,house,edm,dubstep,electro,electronic,idm,electronica","Atlantic Records UK",0.847,0.724,2,-7.668,1,0.047,0.00355,0.00339,0.0731,0.326,126.983,4
spotify:track:6gdDu39yYqPcaTgCwYEW8i,"Turn On The Lights again.. (feat. Future)","Turn On The Lights again.. (feat. Future)","Fred again..;Swedish House Mafia;Future",2022-07-29,267946,66,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-07-26T06:46:53Z,"stutter house,house,edm,rap","Atlantic Records UK",0.683,0.887,6,-4.944,0,0.0497,0.0125,0.446,0.318,0.551,132.007,4
spotify:track:31B7wLv4yvtjDoTTmbnxeE,"Jungle","Jungle","Fred again..",2022-06-29,198805,65,true,22nfklp6e2bdvfz6yfb4e5zdy,2023-07-26T06:47:01Z,"stutter house,house,edm","Atlantic Records UK",0.665,0.727,1,-8.073,0,0.0391,0.00984,0.394,0.172,0.397,133.922,4
spotify:track:0oks4FnzhNp5QPTZtoet7c,"Giorgio by Moroder","Random Access Memories","Daft Punk",2013-05-20,544626,66,false,22nfklp6e2bdvfz6yfb4e5zdy,2023-07-26T07:21:37Z,"french house,electronic,electro","Columbia",0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,4
