Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0WBClBemYPJR44H6uIn0kp,"Main Koi Aisa Geet Gaoon","Yes Boss (Original Motion Picture Soundtrack)","Abhijeet;Alka Yagnik",1999-06-18,304990,64,false,31h4d3ruiahjd2q5jfzpixvyk3ui,2022-01-09T20:04:42Z,"bollywood,hindi pop,desi","Ishtar Music Pvt. Ltd.",0.77,0.485,7,-11.612,1,0.0463,0.166,0.000196,0.289,0.932,121.685,4
spotify:track:28kHltq7Hv0ih4IwgcMnpz,"Better Days","Better Days","Pesukone",2021-10-08,203560,0,false,h1c9b881ahmpnalw9g0r325zi,2022-01-13T15:44:28Z,"","Badenstock",0.815,0.606,2,-4.49,1,0.0602,0.198,0,0.344,0.396,110.086,4
spotify:track:1dXdP74oVtOMxbcaljViJm,"Forever Young","Forever Young","Pesukone",2021-04-09,174461,0,false,h1c9b881ahmpnalw9g0r325zi,2022-01-13T15:44:28Z,"","Badenstock",0.651,0.38,2,-7.377,1,0.028,0.75,0,0.12,0.167,129.976,4
spotify:track:1gZvctrtdDiWC2PzDJmyeC,"Forever Young (Again)","Forever Young (Again)","Pesukone",2021-04-30,168460,0,false,h1c9b881ahmpnalw9g0r325zi,2022-01-13T15:44:28Z,"","Badenstock",0.657,0.382,2,-13.277,1,0.04,0.207,0.00000877,0.128,0.186,130.033,4
spotify:track:2SPTRx2MHpjXMCxJa6E3r0,"Happy Machine","Happy Machine","Pesukone",2021-07-30,200000,0,false,h1c9b881ahmpnalw9g0r325zi,2022-01-13T15:44:28Z,"","Badenstock",0.85,0.581,5,-9.278,1,0.0382,0.203,0,0.334,0.748,109.977,4
spotify:track:1OebUO6oPh7PvX3yJ6JVJB,"SongBot Plays Máquina De Lavar","SongBot Plays Máquina De Lavar","Pesukone;SongBot",2021-04-23,183588,0,false,h1c9b881ahmpnalw9g0r325zi,2022-01-13T15:44:28Z,"","Badenstock",0.643,0.892,4,-5.829,0,0.216,0.077,0,0.832,0.538,109.93,4
spotify:track:5H25ysZyRkvfNa8b8LNE41,"Don't Let Me Go","Don't Let Me Go","Pesukone;Leon Kavanagh",2021-12-24,166435,0,false,h1c9b881ahmpnalw9g0r325zi,2022-01-13T15:44:28Z,"","Badenstock",0.712,0.537,1,-13.253,0,0.037,0.0224,0.0286,0.168,0.574,127.992,4
spotify:track:3coCZMAA33WSiNEZUFoFzl,"Puoli Vuotta Jouluun","Puoli Vuotta Jouluun","Pesukone;Daalia",2021-10-29,132800,0,false,h1c9b881ahmpnalw9g0r325zi,2022-01-13T15:44:28Z,"","Badenstock",0.8,0.229,0,-11.887,1,0.0386,0.906,0,0.352,0.414,110.052,4
spotify:track:0tFWl3OQcWriw0A5Zyniqg,"Crazy - Teddy Hits Remix","Crazy (Teddy Hits Remix)","Melotika;Teddy Hits;Pesukone",2021-09-03,226391,0,false,h1c9b881ahmpnalw9g0r325zi,2022-01-13T15:44:28Z,"","Rebel Yelle",0.847,0.619,5,-8.404,0,0.046,0.0572,0.00419,0.0595,0.491,115.043,4
spotify:track:7wmhPOkxGtWGi0Ik3EbqIn,"Toro Loco Plays Ropa Suja","Toro Loco Plays Ropa Suja","Pesukone;Toro Loco",2021-04-02,201999,0,false,h1c9b881ahmpnalw9g0r325zi,2022-01-13T15:44:28Z,"","Badenstock",0.756,0.72,6,-5.851,0,0.052,0.0513,0.00139,0.257,0.374,125.989,4
