Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0UeYCHOETPfai02uskjJ3x,"Shooting Stars","Bag Raiders (Deluxe)","Bag Raiders",2011-01-01,235813,73,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"alternative dance","Modular",0.636,0.72,11,-6.195,1,0.0432,0.0893,0.0178,0.0868,0.425,124.944,4
spotify:track:3bWAqKDWg6u1davspr5IkS,"OK","OK","Robin Schulz;James Blunt",2017-05-19,189306,66,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"tropical house","WM Germany",0.653,0.81,7,-6.032,0,0.0558,0.118,0,0.126,0.583,121.951,4
spotify:track:0cD9mIZh7oEGdyVyKQkFib,"Watch the Sun Come Up","Won't Go Quietly","Example",2010-06-20,203943,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"","Ministry of Sound Recordings",0.62,0.932,2,-2.46,1,0.168,0.203,0,0.163,0.726,114.988,4
spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,"Feel It Still","Woodstock","Portugal. The Man",2017-06-16,163253,85,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"","Atlantic Records",0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4
spotify:track:3nc420PXjTdBV5TN0gCFkS,"Ocean (feat. Khalid)","Ocean (feat. Khalid)","Martin Garrix;Khalid",2018-06-15,216419,68,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"edm,progressive house,electronica","Epic Amsterdam",0.506,0.693,0,-7.265,0,0.0412,0.584,0.0000958,0.0891,0.221,139.912,4
spotify:track:4wckW1OjAM2z6elKQdqUpi,"One Of Them (feat. Big Sean)","When It's Dark Out","G-Eazy;Big Sean",2015-12-04,199521,45,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"","BPG/RVG/RCA Records",0.597,0.724,2,-7.764,1,0.0487,0.00268,0,0.111,0.325,110.016,4
spotify:track:7fOPVfABNLg3sxtgXBhBdp,"The Plan","The Beautiful & Damned","G-Eazy",2017-12-15,250293,47,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"","BPG/RVG/RCA Records",0.826,0.597,1,-7.807,1,0.432,0.00278,0,0.156,0.35,118.044,4
spotify:track:3qk4wRMDlaeagZGjSYbsOV,"Sober","The Beautiful & Damned","G-Eazy;Charlie Puth",2017-12-15,203960,54,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"soft pop","BPG/RVG/RCA Records",0.558,0.766,6,-5.953,0,0.231,0.263,0,0.32,0.182,96.281,4
spotify:track:5JdLUE9D743ob2RtgmVpVx,"Makeba","Zanaka","Jain",2016-10-21,249533,68,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"french pop","Columbia",0.824,0.656,2,-9.432,1,0.0704,0.388,0.506,0.253,0.418,116.068,4
spotify:track:62UAFVREdTssSevwa5jqhF,"I Took A Pill In Ibiza - Seeb Remix","At Night, Alone. (Expanded Edition)","Mike Posner;Seeb",2016-05-06,197933,59,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"","Monster Mountain, LLC / Island",0.665,0.727,7,-6.57,0,0.103,0.032,0.0000102,0.0873,0.66,101.976,4
spotify:track:1Lh8sjpvViWNcczPY4pbbo,"Won't Go Quietly","Won't Go Quietly","Example",2010-06-20,242053,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"","Ministry of Sound Recordings",0.566,0.838,8,-5.133,1,0.172,0.00221,0,0.33,0.649,125.036,4
spotify:track:78qRSpkPt9y1DtRp2uB9yO,"Lotta That (feat. A$AP Ferg & Danny Seth)","These Things Happen","G-Eazy;A$AP Ferg;Danny Seth",2014-06-23,288866,47,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"rap","BPG/RVG/RCA Records",0.712,0.674,9,-8.188,1,0.194,0.0333,0.00000187,0.0916,0.329,111.869,4
spotify:track:5k38wzpLb15YgncyWdTZE4,"Him & I (with Halsey)","The Beautiful & Damned","G-Eazy;Halsey",2017-12-15,268866,83,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"","BPG/RVG/RCA Records",0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,4
spotify:track:0e7ipj03S05BNilyu5bRzt,"rockstar (feat. 21 Savage)","beerbongs & bentleys","Post Malone;21 Savage",2018-04-27,218146,84,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"","Republic Records",0.585,0.52,5,-6.136,0,0.0713,0.124,0.0000775,0.131,0.129,159.798,4
spotify:track:422lAAWQO9TqL1LxIPdhOn,"Random","When It's Dark Out","G-Eazy",2015-12-04,180328,52,true,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:52Z,"","BPG/RVG/RCA Records",0.603,0.783,9,-6.891,1,0.138,0.00353,0,0.216,0.182,87.154,4
