Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7GVUmCP00eSsqc4tzj1sDD,"Come and Get Your Love - Single Version","Come and Get Your Love","Redbone",1973-11-01,205933,83,false,1291124540,2018-05-09T18:44:29Z,"native american music","Epic/Legacy",0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,4
spotify:track:2RlgNHKcydI9sayD2Df2xp,"Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303820,84,false,1291124540,2018-05-09T18:47:59Z,"art rock,soft rock","Epic/Legacy",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
spotify:track:7kv7zBjMtVf0eIJle2VZxn,"Southern Nights","Southern Nights","Glen Campbell",1977-01-01,180026,79,false,1291124540,2018-05-09T18:48:18Z,"classic country","Capitol Records",0.697,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,4
spotify:track:75GQIYnRaBg7ndHxhfYuQy,"Go All The Way","Raspberries","Raspberries",1972,205346,63,false,1291124540,2018-05-09T18:48:20Z,"power pop,jangle pop","Capitol Records",0.305,0.849,9,-4.892,1,0.0999,0.548,0.000134,0.0995,0.555,134.287,4
spotify:track:252YuUdUaC5OojaBU0H1CP,"Come A Little Bit Closer","Come A Little Bit Closer: The Best Of Jay & The Americans","Jay & The Americans",1964,166666,63,false,1291124540,2018-05-09T18:48:36Z,"doo-wop","Capitol Records",0.636,0.684,3,-9.302,1,0.057,0.52,0.0015,0.534,0.881,132.509,4
spotify:track:1OtWwtGFPXVhdAVKZHwrNF,"Suspicious Minds","Back In Memphis","Elvis Presley",1969-10,263973,0,false,1291124540,2018-05-09T18:49:09Z,"rockabilly,rock and roll","RCA Victor/Legacy",0.474,0.343,7,-12.138,1,0.0298,0.0225,0.00704,0.152,0.607,114.877,4
spotify:track:0D1pEisM3QkiacGXJe5dmd,"(You're The) Devil in Disguise","Elvis 30 #1 Hits","Elvis Presley",2002-09-24,140426,63,false,1291124540,2018-05-09T18:49:20Z,"rockabilly,rock and roll","RCA Records Label",0.481,0.733,5,-7.633,1,0.165,0.573,0.0000117,0.108,0.874,122.903,4
spotify:track:4zzXm1QJQXWLyUfFhWZBRg,"Don't Be Cruel","Elvis 30 #1 Hits","Elvis Presley",2002-09-24,122866,59,false,1291124540,2018-05-09T18:49:26Z,"rockabilly,rock and roll","RCA Records Label",0.68,0.675,2,-7.998,1,0.191,0.772,0,0.069,0.805,84.967,4
spotify:track:5LN9F6c1Okx7Yrwd6GO8tu,"I Want You Back","The Ultimate Collection: Jackson 5","The Jackson 5",1996-01-01,179960,1,false,1291124540,2018-05-09T18:49:40Z,"motown,christmas","Universal Music Group",0.672,0.592,8,-8.175,1,0.0338,0.47,0.00393,0.159,0.927,98.201,4
spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,"I'm a Believer - 2006 Remaster","More of The Monkees (Deluxe Edition)","The Monkees",1967-01-09,167373,75,false,1291124540,2018-05-09T18:49:58Z,"","Rhino",0.526,0.775,0,-6.05,1,0.0352,0.707,0.0000205,0.217,0.962,80.106,4
