Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:56y1jOTK0XSvJzVv9vHQBK,"Paint The Town Red","Scarlet","Doja Cat",2023-09-20,230466,77,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"","Kemosabe Records/RCA Records",0.864,0.556,2,-7.683,0,0.194,0.255,0.00000385,0.112,0.726,99.974,4
spotify:track:2NBQmPrOEEjA8VbeWOQGxO,"Drop It Like It's Hot","R&G (Rhythm & Gangsta): The Masterpiece","Snoop Dogg;Pharrell Williams",2004-01-01,266066,79,true,31fv2akp77zznxl5yxanxea6olpy,2026-05-23T07:14:07Z,"g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap","Geffen",0.888,0.632,1,-3.872,1,0.219,0.19,0,0.101,0.662,91.979,4
spotify:track:5cbTCQ14BC974Zsx6OlXF8,"Boulevard of Broken Dreams","American Idiot","Green Day",2004-09-21,260936,46,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"punk,pop punk","Reprise",0.51,0.578,8,-8.079,1,0.0275,0.0042,0.0000173,0.0417,0.612,166.99,4
spotify:track:6NFyWDv5CjfwuzoCkw47Xf,"Delicate","reputation","Taylor Swift",2017-11-10,232253,82,false,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"","Taylor Swift",0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,4
spotify:track:5TRPicyLGbAF2LGBFbHGvO,"Flashing Lights","Graduation","Kanye West;Dwele",2007-09-11,237506,90,true,31fv2akp77zznxl5yxanxea6olpy,2026-05-23T07:14:07Z,"rap,neo soul","Roc-A-Fella",0.639,0.628,6,-7.578,0,0.0398,0.0381,0,0.386,0.43,90.482,4
spotify:track:7iL6o9tox1zgHpKUfh9vuC,"In Da Club","Get Rich Or Die Tryin'","50 Cent",2003-02-06,193466,84,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"old school hip hop,east coast hip hop","Shady Records",0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,4
spotify:track:6WVdae8LbPfpOXAWuYdMnT,"Love Lost","I Love Life, Thank You","Mac Miller;The Temper Trap",2022-07-22,162875,82,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"","Rostrum Records",0.735,0.812,2,-4.417,1,0.151,0.528,0,0.186,0.584,109.829,4
spotify:track:5IZXB5IKAD2qlvTPJYDCFB,"I Had Some Help (Feat. Morgan Wallen)","F-1 Trillion","Post Malone;Morgan Wallen",2024-08-15,178205,84,true,31fv2akp77zznxl5yxanxea6olpy,2026-05-23T07:14:07Z,"country","Mercury Records / Republic Records",0.644,0.874,0,-4.723,1,0.0265,0.0113,0,0.227,0.753,128.017,4
spotify:track:1MlAkYV0nbRKWhhfvTt3zc,"Don't You Worry Child - Radio Edit","Until Now","Swedish House Mafia;John Martin",2012-01-01,213168,47,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"edm","Virgin Records",0.614,0.832,11,-3.419,0,0.0522,0.11,0,0.185,0.429,129.038,4
spotify:track:42F7AY5a40owYmUeq0QQTl,"The Thrill","The Thrill","Wiz Khalifa;Empire Of The Sun",2020-11-11,234333,84,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"","Rostrum Records",0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,4
spotify:track:4lcQHckNMeUkM8jx67j28G,"Mohabbat","Vulture Prince","Arooj Aftab",2021-04-23,462500,47,false,31fv2akp77zznxl5yxanxea6olpy,2026-05-23T07:14:07Z,"","Arooj Aftab",0.369,0.231,9,-16.222,1,0.0315,0.852,0.096,0.108,0.0516,165.438,4
spotify:track:2KrN3MCNztKcSleZgHEj83,"Little Lion Man","Sigh No More","Mumford & Sons",2009-01-01,245173,71,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"folk,indie folk,folk rock","Universal-Island Records Ltd.",0.517,0.492,5,-8.05,1,0.0272,0.0275,0.0000319,0.0873,0.455,138.585,4
spotify:track:49GpUfc9M09eGET6yBJUAj,"Gorah","Gorah","Nitefreak;Emmanuel Jal",2023-11-03,246000,72,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"afro house,afro tech,house,tribal house","Higher Ground",0.597,0.755,1,-7.341,0,0.0336,0.000135,0.885,0.205,0.114,120.036,4
spotify:track:0ElpbbncWT9aS7mgoqEHbQ,"Where's My Love - Acoustic","Where's My Love","SYML",2017-07-07,239880,75,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"","Nettwerk Music Group",0.554,0.225,3,-11.324,1,0.0281,0.892,0.0321,0.107,0.221,104.007,4
spotify:track:4x6jx7AeSyE7PlQTdCjIJs,"Thandaza","Thandaza","&ME;Rampa;Adam Port;Alan Dixon;Keinemusik;Arabic Piano",2024-03-15,361810,63,false,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"afro house,afro tech,house,melodic house","Keinemusik",0.684,0.725,6,-7.776,0,0.0339,0.0623,0.00673,0.104,0.125,122.979,4
spotify:track:4N1MFKjziFHH4IS3RYYUrU,"My Love","My Love","Route 94;Jess Glynne",2014-02-28,259933,81,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"house","Rinse",0.813,0.616,8,-7.571,1,0.0495,0.000132,0.705,0.0658,0.744,119.977,4
spotify:track:2aSjWonALEwE3wTpjYMvc7,"There She Goes","There She Goes","CYRIL;MOONLGHT;The La's",2025-05-16,121874,74,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"britpop,jangle pop","Spinnin' Records",0.806,0.89,7,-5.346,1,0.0678,0.00291,0.000718,0.0996,0.321,127.953,4
spotify:track:2XJi8jbLnDBZ60gTPpdbrg,"Home","Up From Below","Edward Sharpe & The Magnetic Zeros",2009,302080,63,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"","Shock Entertainment",0.546,0.592,2,-6.723,1,0.0325,0.296,0.000492,0.602,0.114,111.732,4
spotify:track:4YMsS8OqXICdQXF5HNUxFq,"make you mine","locket","Madison Beer",2026-01-16,221709,79,false,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"","Epic/Sing It Loud",0.533,0.642,6,-6.315,0,0.0403,0.221,0.00697,0.238,0.488,123.128,4
spotify:track:4Nh7Umpl8YPFPcggcby6JW,"Runaway (U & I)","Runaway (U & I)","Ian Asher;Galantis",2025-07-11,147307,78,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"","Easier Said",0.641,0.852,11,-6.541,0,0.0366,0.22,0.759,0.553,0.0814,137.962,4
spotify:track:3OjGnubBPttaeNuFk9FNsS,"Hypnotized","Exotica","Purple Disco Machine;Sophie and the Giants",2021-08-27,195704,48,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"disco house,nu disco,funky house,house","Ultra Records, LLC",0.689,0.813,11,-5.084,0,0.0997,0.1,0.000276,0.11,0.703,108.065,4
spotify:track:0aQA9DP54h37OevE7hRc2a,"My Stress","The Search","NF",2019-07-26,252711,64,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"christian hip hop","NF Real Music",0.653,0.796,7,-4.05,0,0.245,0.24,0,0.108,0.405,160.026,4
spotify:track:50PeqUz1BjMw9ayNTk5O4d,"I've Been Thinking About You","Best! The Singles 16 Tracks","Londonbeat",1995-11-20,230066,69,false,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"eurodance","RCA Records Label",0.678,0.659,11,-12.695,0,0.0396,0.0236,0.00192,0.0744,0.899,113.542,4
spotify:track:7FrJV8tydWEv1Mxu2mIQrm,"Beautiful","Paid Tha Cost To Be Da Bo$$","Snoop Dogg;Pharrell Williams;Charlie Wilson",2002-01-01,298306,76,true,31fv2akp77zznxl5yxanxea6olpy,2026-05-23T07:14:07Z,"g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap,sexy drill","Parlophone",0.907,0.695,11,-6.268,0,0.135,0.246,0,0.0808,0.961,101.007,4
spotify:track:4wtR6HB3XekEengMX17cpc,"Children","Children (Dance Vault Mixes)","Robert Miles",1996-07-11,243266,78,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"trance,eurodance","Arista",0.604,0.755,0,-10.761,1,0.0337,0.000298,0.817,0.0625,0.387,137.064,4
spotify:track:0wGrTrI43CKmfzbFNNhftb,"East Side Flow","East Side Flow","Sidhu Moose Wala",2019-03-17,224211,74,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"punjabi hip hop,punjabi pop,bhangra,desi hip hop","Juke Dock",0.767,0.867,4,-2.931,0,0.247,0.109,0,0.155,0.786,151.965,4
spotify:track:4EWCNWgDS8707fNSZ1oaA5,"Heartless","808s & Heartbreak","Kanye West",2008-11-24,211000,88,false,31fv2akp77zznxl5yxanxea6olpy,2026-05-23T07:14:07Z,"rap","Roc-A-Fella",0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,4
spotify:track:7tavmiMMEibizGOiXoozar,"Goat","Not by Chance","AP Dhillon;Gurinder Gill;Money Musik",2020-12-23,159130,57,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"punjabi hip hop,punjabi pop,desi,bhangra,desi hip hop","RUN-UP RECORDS",0.725,0.821,6,-5.147,1,0.154,0.103,0.000003,0.118,0.135,91.821,4
spotify:track:4xt9T7bqLoLHuHpdVAJdVd,"Jatt Don’t Care","Jatt Don’t Care","Sultaan;BIG Ghuman",2022-05-13,204054,55,true,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"punjabi hip hop,punjabi pop,desi hip hop","Sultaan Inc.",0.897,0.72,11,-4.572,1,0.318,0.135,0,0.0893,0.516,127.892,4
spotify:track:0e7ipj03S05BNilyu5bRzt,"rockstar (feat. 21 Savage)","beerbongs & bentleys","Post Malone;21 Savage",2018-04-27,218146,84,true,31fv2akp77zznxl5yxanxea6olpy,2026-05-23T07:14:07Z,"","Republic Records",0.585,0.52,5,-6.136,0,0.0713,0.124,0.0000775,0.131,0.129,159.798,4
spotify:track:6ZYxNjuAU9Vy3VtF6W1dtE,"We Rollin","We Rollin","Shubh",2021-09-09,199205,68,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"punjabi hip hop,punjabi pop,desi hip hop,hindi hip hop,desi","SHUBH",0.82,0.504,4,-9.113,0,0.141,0.261,0.000007,0.104,0.275,85.016,4
spotify:track:5a2Mb0OPY17zkS8FnciQhg,"Finally","Finally","Swedish House Mafia;Alicia Keys",2024-08-29,215583,71,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"edm,r&b,neo soul","Swedish House Mafia",0.593,0.843,10,-5.008,0,0.076,0.0137,0.0447,0.105,0.13,130.994,4
spotify:track:1zgs6QpTBuJ67TQvXMtp7L,"VHS RAVE","VHS RAVE","Tiësto;Swimming Paul",2024-09-06,191250,62,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"edm,trance,big room,stutter house","Musical Freedom",0.714,0.925,8,-6.119,0,0.0635,0.0277,0.348,0.137,0.282,127.988,4
spotify:track:0nD1ddzxpTjcYlGh8GCLsh,"Baiana - Club Mix","Baiana (Club Mix)","Matt Sassari;CHRSTPHR;Barbatuques",2025-05-02,206250,68,false,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"tech house,latin house,techengue","Cr2 Records",0.787,0.707,2,-4.297,1,0.052,0.00567,0.066,0.0348,0.351,128.005,4
spotify:track:7Kmo4UQ5Co6tqtysQcLkpF,"set me free","SYNCHRONICITY","Aaron Hibell;Alex Wann",2026-03-06,218360,60,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"stutter house,afro house,melodic house,afro tech","Astralwerks",0.531,0.899,4,-5.661,0,0.0355,0.0288,0.483,0.0995,0.0667,121.984,4
spotify:track:3iEUDvanZwQhLCIqUmCR7N,"The Spins","K.I.D.S. (Deluxe)","Mac Miller;Empire Of The Sun",2010-08-13,195873,89,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"","Rostrum Records",0.794,0.766,9,-3.894,0,0.0377,0.0135,0,0.0785,0.55,127.006,4
spotify:track:5OcxthvGOxWYsuwKrWk5U4,"Time To Pretend","Oracular Spectacular","MGMT",2007,261000,27,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"indie","Columbia",0.438,0.94,2,-3.249,1,0.0452,0.0000874,0.0777,0.3,0.421,100.99,3
spotify:track:3F9ByoUqu31xU0I3G5xfVg,"Meet Me Halfway","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","Black Eyed Peas",2009-01-01,284373,84,false,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"","Interscope",0.798,0.629,11,-6.857,0,0.0735,0.00474,0.0000229,0.324,0.4,130.002,4
spotify:track:2wGSgTmgSF3xjRrHkTc25R,"Hate It Or Love It","The Documentary","The Game;50 Cent",2005,206400,85,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"west coast hip hop,old school hip hop,gangster rap,hip hop,east coast hip hop","Geffen",0.802,0.785,9,-4.781,1,0.207,0.14,0,0.123,0.435,99.998,4
spotify:track:0C5G0JJLTyDexp08AiAzxy,"i think i'm addicted","feel","oskar med k;Haley Joelle",2026-03-27,158520,76,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"stutter house","7CULT",0.874,0.666,8,-8.566,0,0.175,0.691,0.478,0.289,0.496,125.029,4
spotify:track:2NSGXSn3phBbGnEnWQyyx8,"gravity","gravity","all things break",2025-11-28,230137,76,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"deep house","Selected.",0.724,0.657,11,-8.131,0,0.032,0.139,0.637,0.09,0.0686,126.991,4
spotify:track:6nHyY8kHh39ZB4SfsQ35zD,"Glow","Glow","MA:RK",2026-01-16,159390,71,false,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"deep house","Selected.",0.766,0.552,2,-8.937,0,0.0472,0.22,0.308,0.106,0.106,125.022,4
spotify:track:2ZGSXWF4H5HogHxtKbyckj,"We Run","We Run","Small Town Kid",2026-03-13,162946,76,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"deep house","Selected.",0.838,0.464,6,-7.123,0,0.0426,0.0175,0.153,0.0871,0.37,126.027,4
spotify:track:6LiCNxTWT6gDKE4aYZEObC,"Ranjha","Ranjha","Diljit Dosanjh;Sia;David Guetta",2026-03-13,184058,78,false,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"bhangra,punjabi pop,punjabi hip hop,desi,bollywood,edm","Warner Music India",0.775,0.504,7,-9.525,0,0.0344,0.217,0,0.298,0.869,119.97,4
spotify:track:7a9pcpMLb9DLq64lPu0y3w,"Teri Yeh Baatein - From ""Kho Gaye Hum Kahan""","Kho Gaye Hum Kahan (Original Motion Picture Soundtrack)","OAFF;Savera;Ankur Tewari",2023-12-10,169182,47,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"indian indie,hindi indie,bollywood,desi pop,hindi hip hop,desi hip hop","Zee Music Company",0.399,0.553,8,-5.298,1,0.0391,0.379,0.00000195,0.0999,0.568,148.342,4
spotify:track:6roBXAr6w4Xe3ifd53ixER,"BARELY BARELY","ECLESIA","Naïka",2026-02-20,168906,58,false,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"kompa","Naïka Music",0.797,0.477,7,-8.685,0,0.163,0.324,0.000218,0.129,0.363,102.953,4
spotify:track:0RsH8g8DxdYZgdGcod5I36,"Bairan","Bairan","Banjaare",2026-01-23,150857,90,false,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"haryanvi pop","Sony Music India / Brown",0.663,0.605,5,-7.028,1,0.0354,0.0954,0.00000509,0.253,0.481,139.88,4
spotify:track:53DB6LJV9B8sz0p1s6tlGS,"Roll Up","Rolling Papers","Wiz Khalifa",2011-03-29,227773,68,true,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"","Rostrum/Atlantic",0.523,0.805,3,-5.473,1,0.192,0.0524,0,0.0914,0.602,125.358,5
spotify:track:4NTWZqvfQTlOMitlVn6tew,"The Show Goes On","Lasers","Lupe Fiasco",2011-03-04,239613,76,true,22nfklp6e2bdvfz6yfb4e5zdy,2026-05-23T07:14:07Z,"","1st & 15th/Atlantic",0.591,0.889,7,-3.839,1,0.115,0.0189,0,0.155,0.65,143.067,4
spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,"Just the Way You Are","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,220734,89,false,31yifgjb4w6l3vioi24lvz5kkhoa,2026-05-23T07:14:07Z,"","Atlantic Records",0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
