Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:39glDGcpBhLVMSsQhvtqHR,"I Only Smoke When I Drink","I Only Smoke When I Drink","nimino",2024-08-22,198425,77,false,,2026-05-22T04:00:25Z,"stutter house,melodic house","Counter Records",0.88,0.729,11,-6.378,0,0.176,0.334,0.0113,0.185,0.246,127.028,4
spotify:track:4MSj19TwYBLgDFj3ddEeco,"Black Friday (pretty like the sun)","Black Friday (pretty like the sun)","Lost Frequencies;Tom Odell",2024-07-19,145599,84,false,,2026-05-22T04:00:25Z,"tropical house","UROK",0.853,0.618,6,-10.833,1,0.0923,0.633,0.89,0.0972,0.32,126.031,4
spotify:track:2lWc1iJlz2NVcStV5fbtPG,"Clouds","Clouds","BUNT.;Nate Traveller",2023-01-13,158760,68,false,,2026-05-22T04:00:25Z,"stutter house","Arista Records",0.7,0.748,9,-8.16,0,0.0771,0.226,0.796,0.104,0.154,130.056,4
spotify:track:75n9WHWZAzhB59xSjIHly4,"WACUKA","WACUKA","AVAION;Sofiya Nzau",2025-01-10,190153,73,false,,2026-05-22T04:00:25Z,"stutter house,deep house,afro house","RCA Local",0.833,0.65,0,-8.919,1,0.0565,0.177,0.0687,0.101,0.434,129.94,4
spotify:track:0dgdDB39uUoC8WICmTE2U8,"No Bad Vibes","No Bad Vibes","Jazzy;KILIMANJARO",2024-10-18,162100,80,false,,2026-05-22T04:00:25Z,"afro house","Chaos",0.65,0.873,9,-5.078,0,0.0454,0.0125,0.0397,0.104,0.582,120.016,4
spotify:track:0xoYZ45fgTfyQYREZPN7Sa,"You & Me - Rivo Remix","You & Me (Rivo Remix)","Disclosure;Rivo;Eliza Doolittle",2023-12-22,208524,82,false,,2026-05-22T04:00:25Z,"house,afro house","UMC (Universal Music Catalogue)",0.702,0.797,10,-6.635,0,0.0557,0.583,0.495,0.179,0.0356,122.011,4
spotify:track:4SnuG111QPmgwRmlwhJ4Mg,"Hold Me","Hold Me","Lavern",2023-03-31,140000,73,false,,2026-05-22T04:00:25Z,"stutter house","Island Records",0.762,0.942,9,-6.432,0,0.038,0.586,0.764,0.115,0.038,120,4
spotify:track:6wmR2TU2ke8vQP5Hv8TsVq,"Cruise","Cruise","ROYA",2024-07-05,175708,67,false,,2026-05-22T04:00:25Z,"stutter house","Warner Music Central Europe",0.546,0.945,9,-4.622,0,0.0557,0.313,0.762,0.0828,0.0737,119.945,4
spotify:track:0WS1qLcXKsCGt5e3dqq30S,"Forever (feat. Malou & Yuna)","Forever (feat. Malou & Yuna)","HUGEL;Diplo;Malou;Yuna",2024-09-20,140500,75,false,,2026-05-22T04:00:25Z,"latin house,afro house,techengue,house,moombahton,melodic house,malay,malaysian pop","Warner Music Central Europe",0.542,0.946,9,-6.048,0,0.0425,0.0312,0.632,0.107,0.229,120.036,4
spotify:track:35dt2bP4CcBzepyufQbvYZ,"Fire Fire","Fire Fire","Shimza;AR/CO;Kasango",2025-06-13,150480,82,false,,2026-05-22T04:00:25Z,"afro house,afro tech,3 step,gqom","Helix Records",0.683,0.822,7,-7.405,0,0.0366,0.0272,0.00406,0.292,0.262,124.944,4
spotify:track:7rXke3ttpL2uXel9Nesf4u,"Sweet Disposition - John Summit & Silver Panda Remix","Sweet Disposition (John Summit & Silver Panda Remix)","The Temper Trap;John Summit;Silver Panda",2024-01-26,251904,73,false,,2026-05-22T04:00:25Z,"house,tech house,melodic techno,melodic house,progressive house,indie dance","Experts Only",0.587,0.919,11,-4.679,0,0.0429,0.0042,0.014,0.357,0.0745,125.977,4
spotify:track:5u4hhtZ7f4rWkMZEZcTKrH,"Relax My Eyes","Relax My Eyes","ANOTR;Abel Balder",2022-11-04,192150,79,false,,2026-05-22T04:00:25Z,"house","NO ART",0.747,0.616,3,-9.76,0,0.0324,0.176,0.116,0.143,0.908,131.975,4
spotify:track:6KqM3xmPIDonsTjCSGrrr5,"TOO COOL TO BE CARELESS","TOO COOL TO BE CARELESS","PAWSA",2024-07-05,220046,79,false,,2026-05-22T04:00:25Z,"tech house,house","PAWZ",0.805,0.781,1,-7.225,0,0.0434,0.002,0.302,0.0598,0.818,128.001,4
spotify:track:6jTbKd7VnhCt5qxyWTdak7,"Karibu","Karibu","WITH U",2024-03-29,242500,69,false,,2026-05-22T04:00:25Z,"afro house","Kontor Records",0.702,0.81,5,-9.467,0,0.0398,0.246,0.267,0.102,0.269,120.022,4
spotify:track:29I9dv9Nq704w0Oc5yFGsR,"She’s Gone, Dance On","She’s Gone, Dance On","Disclosure",2024-05-29,226773,75,false,,2026-05-22T04:00:25Z,"house","Disorder",0.534,0.943,1,-4.812,0,0.0496,0.000215,0.794,0.0929,0.375,134.004,4
spotify:track:4A56h4B9xUuMMXoKuj18HT,"Edge of Desire","Edge of Desire","Jonas Blue;Malive",2025-07-18,134905,85,false,,2026-05-22T04:00:25Z,"tropical house,brazilian hip hop","Defected Records",0.779,0.787,0,-6.636,1,0.0459,0.139,0.827,0.0904,0.818,123.019,4
spotify:track:1NKjc6bRHutPoaVtYclFC3,"Your Body","Your Body","Marten Lou",2025-03-21,228099,73,false,,2026-05-22T04:00:25Z,"afro house,melodic house,afro tech","Warner Music Central Europe",0.628,0.909,10,-7.502,1,0.0354,0.0578,0.507,0.22,0.0799,121.022,4
spotify:track:04gs2fDnnjT6995ruR1qbk,"Ease My Mind","Ease My Mind","Chris Lake;Abel Balder",2025-02-14,191704,67,false,,2026-05-22T04:00:25Z,"tech house,house,bass house","Black Book Records",0.739,0.805,8,-6.067,0,0.0337,0.0551,0.16,0.103,0.766,125.997,4
spotify:track:3wlEt7tgbcyowpdlcnCwfz,"Sauti","Sauti","Francis Mercier;Faul & Wad;African Children's Choir",2024-07-19,208770,76,false,,2026-05-22T04:00:25Z,"afro house,afro tech,melodic house,house,tribal house,latin house,tropical house","Insomniac Records",0.666,0.974,2,-3.855,0,0.055,0.0314,0.253,0.322,0.227,121.984,4
spotify:track:03p9MCjq5ld1kRmqCGNXgs,"EVERYTHING IN ITS RIGHT PLACE","EVERYTHING IN ITS RIGHT PLACE","LE YORA;SOMMA;JEWELS;YUMA;MAGNUS",2026-01-30,302044,62,false,,2026-05-22T04:00:25Z,"afro house,melodic house,afro tech,deep house,melodic techno","Alta Music Group",0.584,0.705,8,-9.353,1,0.032,0.00414,0.905,0.113,0.038,124.017,4
spotify:track:74y1VgzL668hynrvA59WQB,"Stay","Stay","FISHER",2025-03-21,165961,74,false,,2026-05-22T04:00:25Z,"tech house,house","Catch & Release",0.738,0.971,0,-5.776,0,0.125,0.0153,0.911,0.103,0.456,128.022,4
