Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:23sc99sTpCEeOKn18HBMjQ,"Push Up","Push Up","Yellow Pvnk;TECHNO KING;GopStop",2025-04-17,126091,60,false,8krseju49t5475nume3bfvfu8,2025-10-17T13:28:58Z,"hypertechno,techno","Techno King Records",0.855,0.958,7,-3.166,1,0.11,0.018,0.588,0.0991,0.407,158.06,4
spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,"Thank You (Not So Bad)","Thank You (Not So Bad)","Dimitri Vegas & Like Mike;Tiësto;Dido;W&W;Dimitri Vegas;Like Mike",2023-12-01,140000,84,false,31n7p2qfu3wd4enb67uileykkkda,2024-08-29T04:49:31Z,"big room,electronica,edm,trance","Ministry of Sound Recordings",0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,4
spotify:track:6it64Jzw2oozPLRYPjkie6,"I Like The Way You Kiss Me","I Like the Way You Kiss Me","Harddope;Nito-Onna;Rovack",2024-06-28,139500,57,false,31n7p2qfu3wd4enb67uileykkkda,2024-08-29T04:49:31Z,"deep house,slap house,hypertechno","Techno King Records",0.586,0.998,11,-3.219,1,0.169,0.0251,0.00256,0.0818,0.46,160.013,4
spotify:track:3Ou8xGg1SdkvY5bbTDZFFl,"L'Amour Toujours","L'Amour Toujours","Lawstylez;M-T3CK;TECHNO KING",2025-06-13,129076,51,false,31cqcyotykwdin6q7xdjjoicl2ia,2025-06-13T01:13:53Z,"hypertechno,hardstyle,techno","Lawstylez, M-T3CK, TECHNO KING",0.557,0.94,11,-4.424,0,0.0628,0.258,0.0446,0.12,0.249,155.006,4
spotify:track:0b7i9ATV4CyCgFPfE8pIiV,"JUMP - Hard Techno","JUMP (Hard Techno)","Seeko;KROMA",2025-09-12,161600,61,false,magicmusicsquad,2026-02-20T11:52:25Z,"hard techno,techno,hypertechno","17Diamonds",0.719,0.962,7,-2.442,1,0.111,0.0209,0.0000289,0.272,0.561,150.043,4
spotify:track:3XCGpKx1EaFA4sqgpQ2253,"Freaks","Freaks","TRFN;PET3RPUNX;TECHNO KING;Siadou",2024-12-13,121161,56,false,31cqcyotykwdin6q7xdjjoicl2ia,2024-12-13T06:04:14Z,"slap house,g-house,hypertechno,techno","Techno King Records",0.794,0.857,6,-5.609,0,0.203,0.0141,0.491,0.37,0.582,154.976,4
spotify:track:2XwMxmVrzMDv6xQObLW5LN,"The Mass","The Mass","ERA;Jesse Bloch",2024-07-19,156444,58,false,magicmusicsquad,2026-05-20T23:24:06Z,"new age,gregorian chant,celtic,hypertechno","Universal Music Division Decca Records France",0.715,0.92,2,-5.759,1,0.0366,0.0459,0.0356,0.124,0.212,134.989,4
spotify:track:0l6fM0B3KDdGRj7R8vo4hK,"Satisfaction - Hardwell & Maddix Remix","Satisfaction (Hardwell & Maddix Remix)","David Guetta;Benny Benassi;Hardwell;Maddix",2023-01-05,204436,53,false,31n7p2qfu3wd4enb67uileykkkda,2024-08-29T04:49:31Z,"edm,electro house,big room,progressive house,electronica,techno,hard techno,acid techno,hypertechno","Ultra Records, LLC",0.714,0.896,11,-5.856,1,0.0644,0.00355,0.0645,0.188,0.141,134.998,4
spotify:track:5AGyJNUpgz5zVGIKvkwrOc,"Meet Her At The Love Parade","Meet Her At The Love Parade","TRFN;PET3RPUNX;TECHNO KING",2025-10-03,134400,51,false,31cqcyotykwdin6q7xdjjoicl2ia,2025-10-03T06:45:38Z,"slap house,g-house,hypertechno,techno","TRFN, PET3RPUNX, TECHNO KING",0.824,0.947,11,-5.983,0,0.26,0.125,0.812,0.174,0.271,150.006,4
spotify:track:69rkTLyCalwtIPiXCLEMnf,"bombe","bombe","Memento Mori",2026-02-13,145500,57,true,31cqcyotykwdin6q7xdjjoicl2ia,2026-05-16T02:45:53Z,"psytrance","oury",0.582,0.98,10,-4.344,1,0.0782,0.0343,0.615,0.191,0.389,159.968,4
spotify:track:29LvrhHCFMe0ars4VVFS7C,"In My Mind","In My Mind","TECHNO KING;2Hounds",2023-10-04,159324,57,false,31n7p2qfu3wd4enb67uileykkkda,2024-08-29T04:49:31Z,"hypertechno,techno,slap house","Techno King Records",0.598,0.843,11,-8.07,1,0.161,0.107,0.411,0.43,0.826,148.09,4
