Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4jyynpBSTJ7ZDUn52rpkZA,"Dance Away the Pain (feat. Marissa Guzman)","Genesys","Da Capo;Marissa Guzman",2020-05-29,517758,30,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T11:55:29Z,"afro tech,afro house,3 step,tribal house,deep house","Genesys",0.631,0.594,8,-8.905,0,0.0414,0.000495,0.87,0.106,0.3,123.005,4
spotify:track:4oWDaJpusSH1lqIQQkEHsS,"Father Ocean - Ben Böhmer Remix Edit","Father Ocean","Monolink;Ben Böhmer",2018-12-07,318674,62,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T11:55:46Z,"melodic techno,melodic house,techno,progressive house,deep house","Embassy One",0.609,0.74,2,-11.046,1,0.0342,0.396,0.749,0.113,0.0391,122.008,4
spotify:track:1MvLmHeLkaNgUScgbUVnWJ,"Breathing","Breathing","Ben Böhmer;Nils Hoffmann;Malou",2019-11-22,222605,69,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T11:56:04Z,"melodic house,melodic techno,progressive house,deep house,minimal techno,afro house","Anjunadeep",0.598,0.561,11,-11.421,0,0.0511,0.0229,0.557,0.109,0.0385,182.988,3
spotify:track:22QG2saDLvgToHzeOZPm20,"Erase","Begin Again","Ben Böhmer;lau.ra",2021-09-24,253240,59,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T11:56:25Z,"melodic house,melodic techno,progressive house,deep house","Anjunadeep",0.279,0.542,1,-11.962,1,0.0494,0.47,0.601,0.0888,0.163,123.846,4
spotify:track:6j9hfHxpXEaYzFwcSK4MhH,"Begin Again","Begin Again","Ben Böhmer",2021-09-24,161760,62,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T11:56:36Z,"melodic house,melodic techno,progressive house,deep house","Anjunadeep",0.743,0.432,8,-14.725,0,0.0499,0.278,0.913,0.117,0.411,121.006,4
spotify:track:0gwNGHcBRYtF7mvgUczVo1,"Return to Oz - ARTBAT Remix","Return to Oz (ARTBAT Remix)","Monolink;ARTBAT",2019-08-09,480000,62,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T11:57:46Z,"melodic techno,melodic house,techno,progressive house","RCA Records Label",0.854,0.93,2,-7.528,1,0.0439,0.563,0.697,0.0815,0.192,123.998,4
spotify:track:25ZrGWzFc0Trv3024g9BSg,"Lost In Mind","Breathing","Ben Böhmer;Malou",2019-11-22,210587,57,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T11:58:03Z,"melodic house,melodic techno,progressive house,deep house,afro house","Anjunadeep",0.689,0.705,10,-12.4,0,0.0452,0.186,0.712,0.0864,0.258,123.999,4
spotify:track:0f0akmH768sNyykkYNDL7e,"Purple Line","Vom Menschen","Ben Böhmer",2017-02-07,480301,48,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T12:00:58Z,"melodic house,melodic techno,progressive house,deep house","KELLER",0.71,0.697,0,-9.569,1,0.0373,0.174,0.838,0.134,0.352,122.006,4
spotify:track:4HGi3uJg4OTWHQs6TkYAFb,"Closer","Closer","Kaskade",2021-01-26,280527,40,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T12:20:15Z,"edm","Monstercat",0.691,0.882,11,-5.111,0,0.0537,0.0616,0.837,0.0719,0.163,127.986,4
spotify:track:4PmnCafj5tsr7U5PWyxiHP,"Gógó - Lulu Rouge Remix","Multicolor","Kúra",2010-12-03,339820,43,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T12:20:38Z,"dub techno","Kilobeat",0.835,0.467,4,-14.643,0,0.0824,0.386,0.579,0.116,0.11,116,4
spotify:track:3w3FNdoX0K3XvfE9o3ENoj,"Symphony (feat. Yann Menge)","Symphony (feat. Yann Menge)","Alar;Korolova;Yann Menge",2021-05-21,263606,42,false,ybkhtr89by7mi17ul97nxg9wg,2021-12-05T12:21:36Z,"melodic techno,indie dance,melodic house,progressive house","AFTR:HRS",0.677,0.89,5,-6.28,0,0.032,0.0000814,0.777,0.19,0.273,122.011,4
