Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5Jul5AvR2cTOjYSpgfzG0c,"Keep It Up","Keep It Up","DJ Crisps",2022-03-18,358261,16,false,thesoundsofspotify,2024-05-10T19:51:44Z,"uk garage,breakbeat,uk funky,bassline","Time Is Now Records",0.759,0.976,8,-3.983,1,0.0856,0.000243,0.395,0.0758,0.759,134.971,4
spotify:track:2wOAeV7IE1vxJDn6LsaywO,"Partita for 8 Singers: 3. Courante","Caroline Shaw: Partita for 8 Voices","Caroline Shaw;Roomful of Teeth;Brad Wells",2013-04-18,539053,0,false,thesoundsofspotify,2024-05-10T19:51:44Z,"contemporary classical,choral","New Amsterdam",0.232,0.169,7,-16.069,1,0.0383,0.958,0.774,0.109,0.0515,68.574,4
spotify:track:4Fit6LHhPVaPTFgR7qB57r,"Attract Massive Wealth","432Hz Powerful Miracle Tones Music for Enhancing Positive Energy","432Hz Powerful Miracle Tones",2018-10-08,451966,26,false,thesoundsofspotify,2024-01-12T18:13:28Z,"","Spiritual Power Thoughts",0.198,0.000577,9,-27.001,0,0.0479,0.991,0.934,0.117,0.0799,77.773,4
spotify:track:62bPGqh8IYBpVOzxIxkrXA,"青春時計","青春時計 (Special Edition)","NGT48",2017-04-11,208466,33,false,thesoundsofspotify,2024-04-26T21:57:33Z,"c-pop,j-pop","Sony Music Labels Inc.",0.694,0.761,5,-4.087,0,0.0372,0.446,0,0.289,0.55,114.947,4
spotify:track:3Nq0dpwjbORPYhO05TkCbq,"Blidt 528 Hz","Blidt 528 Hz","Alba Lie",2023-03-16,165517,50,false,thesoundsofspotify,2024-06-02T22:28:16Z,"","Alba Lie",0.0983,0.0179,0,-36.33,1,0.0518,0.973,0.908,0.152,0.13,74.094,3
spotify:track:21j3qXlRXCDJRG1xWQt2gW,"Broken Heart","ONE HEARTED","AMPERS&ONE",2024-03-26,173466,45,false,thesoundsofspotify,2024-05-03T18:20:33Z,"k-pop,t-pop","FNC ENTERTAINMENT",0.709,0.985,0,-2.288,0,0.104,0.238,0.00000196,0.0935,0.845,119.991,4
spotify:track:2G1P7fzblRleUALoFmtJyD,"Roxies and Cigarettes","About Your Imaginary Friend","Oolong",2020-02-28,235529,32,true,thesoundsofspotify,2023-04-14T21:36:13Z,"midwest emo,math rock,emo,screamo","Sun-Eater Records",0.309,0.765,7,-9.973,1,0.0393,0.01,0.000507,0.109,0.597,182.131,4
spotify:track:1IN3RLkUXvVaBeI4BwyVUw,"Lavender Town (From ""Pokémon Red, Blue, Yellow"")","Pokémon Red, Blue & Yellow","8-Bit Arcade",2020-09-23,83765,43,false,thesoundsofspotify,2023-04-14T21:36:13Z,"","8-Bit Arcade",0.788,0.533,4,-3.444,0,0.0702,0.27,0.779,0.124,0.967,126.03,4
spotify:track:30U7BS4kFEQwUIvArpGlYJ,"Dancing with a Stranger","Dancing with a Stranger (8D Audio)","8D Audio",2019-03-30,175250,23,false,thesoundsofspotify,2024-04-26T21:57:33Z,"","iM Dance",0.652,0.625,5,-11.967,0,0.254,0.696,0.144,0.135,0.802,105.957,4
spotify:track:5sCrcqn74sRGARWDwI4llo,"Hey Juliet","Helix","Tufts Beelzebubs",2013-10-11,155440,35,false,thesoundsofspotify,2021-09-24T15:05:18Z,"","A Cappella Records",0.688,0.819,1,-5.728,1,0.0315,0.0668,0,0.14,0.958,107.986,4
