Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6CNtmwzn2ErISMZf3MJkdt,"Lego","Rollercoaster TLV","Adam Ten;Mita Gami",2021-10-22,386256,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-06-10T13:15:03Z,"indie dance,melodic house,tech house","Diynamic Music",0.81,0.654,7,-10.486,1,0.0551,0.0001,0.947,0.0817,0.151,120.01,4
spotify:track:0iANTai9oZfdFzmrGnMQ3Y,"Dreamers","Dreamers","Space Motion;Stylo",2021-07-16,403902,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-06-04T08:33:33Z,"melodic techno,afro house,melodic house,afro tech,progressive house,tribal house","Space Motion Records",0.805,0.886,6,-8.129,0,0.0685,0.000313,0.877,0.0673,0.272,122.995,4
spotify:track:7v1R9HlSqBTNNn7mMEgWzL,"Ad Infinitum - Original Mix","Unforeseen Alliances","Voiski",2012-03-26,423000,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-06-04T09:11:29Z,"acid techno,dub techno,techno,melodic techno","Construct Reform",0.79,0.668,10,-8.291,0,0.0578,0.000166,0.905,0.0941,0.0381,125.007,4
spotify:track:7LJXrj1cY2T39zNMNALceR,"Tulum","Tulum","The Gabe Concept",2022-01-31,336626,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-06-04T14:30:23Z,"organic house,latin house,melodic techno","The Gabe Concept",0.766,0.612,2,-11.29,1,0.0473,0.00144,0.806,0.0531,0.378,123.002,4
spotify:track:3r23gXqrId9eZuS79AaNav,"Cobra - Space Motion Remix","Tuluminati","The Gabe Concept;Space Motion",2022-04-17,416640,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-06-08T11:10:59Z,"organic house,latin house,melodic techno,afro house,melodic house,afro tech,progressive house,tribal house","The Gabe Concept",0.742,0.674,7,-10.285,1,0.0412,0.0171,0.918,0.108,0.239,124.998,4
spotify:track:4PCUyejIMnQs6mYrR90QFp,"Numb - Elderbrook VIP","Numb","Elderbrook",2020-03-06,199354,50,false,31ppgaxjpcjfzij6qyljry4drlui,2022-06-10T13:02:40Z,"","Parlophone UK",0.727,0.59,5,-9.357,0,0.0348,0.00894,0.153,0.0582,0.319,123.993,4
spotify:track:4ItMchWCT6d3acnzQfcpmy,"Maelstrom","Breathing","Ben Böhmer",2019-11-22,237176,60,false,31ppgaxjpcjfzij6qyljry4drlui,2022-06-10T13:02:46Z,"melodic house,melodic techno,progressive house,deep house","Anjunadeep",0.687,0.42,5,-10.179,1,0.0543,0.106,0.81,0.104,0.288,123.013,3
spotify:track:1O1eKFVVUiVChb3uDHXohb,"Felina","Felina","Lexer",2019-08-02,440019,0,false,31ppgaxjpcjfzij6qyljry4drlui,2022-06-10T13:02:51Z,"melodic techno,melodic house,deep house","Einmusika Recordings",0.846,0.847,6,-8.927,0,0.0552,0.0114,0.855,0.132,0.355,120.012,4
spotify:track:3ydFRJUABULlXklU1M24TV,"Together","Together","SIDEPIECE",2020-11-13,186341,54,false,31ppgaxjpcjfzij6qyljry4drlui,2022-06-10T13:02:54Z,"tech house,edm,house","FFRR",0.727,0.749,2,-5.811,0,0.0327,0.184,0.00666,0.105,0.466,125.056,4
spotify:track:5aFD0QPy4BQqUq39l0o5HD,"Forget You","Aura","Lemon & Herb;Julia Church",2020-10-30,288880,40,false,31ppgaxjpcjfzij6qyljry4drlui,2022-06-10T13:03:26Z,"afro tech,afro house,tribal house,deep house,3 step","Mixed In Motion Recordings",0.73,0.398,11,-13.638,0,0.0465,0.096,0.0458,0.0933,0.419,121.944,4
