Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:39EueBD3fxiJPXbjfLUlhY,"Banjara","Banjara","Aarav",2022-11-11,356666,1,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-11-11T19:24:07Z,"melodic techno,organic house,melodic house","Varaa Records",0.525,0.653,2,-8.554,1,0.0376,0.00562,0.605,0.0921,0.037,122.022,4
spotify:track:6Nl9LOY5BZp4DQBmuivcVA,"Biba","Biba","Aarav",2022-12-23,251829,0,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2023-01-26T18:04:04Z,"melodic techno,organic house,melodic house","Varaa Records",0.589,0.783,10,-10.766,0,0.0331,0.000504,0.609,0.105,0.106,126.015,4
spotify:track:3fubT0Q6lqZuLsqA8PhVJJ,"Kulli","Kulli","Aarav",2022-10-28,283070,1,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:28:39Z,"melodic techno,organic house,melodic house","Varaa Records",0.616,0.708,1,-9.507,0,0.0411,0.0000278,0.0884,0.153,0.224,122.986,4
spotify:track:6c05B0BTOJbDyRy5KLI7my,"Nadia","Beyond Skin","Nitin Sawhney",1999-06-21,307000,35,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:35:54Z,"","Outcaste Records",0.35,0.599,1,-10.519,1,0.079,0.111,0.00707,0.369,0.107,84.971,4
spotify:track:3BvD0QChydjM5AhJVXcgHj,"Melancholia","Melancholia","Tech Panda;Kenzani",2022-03-09,214285,7,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-31T19:52:01Z,"indian indie,hindi indie,desi","Groovebird Records",0.435,0.794,5,-14.408,1,0.047,0.0239,0.183,0.504,0.154,139.983,4
spotify:track:3wfrzxr2n7RmtPakWCULys,"Naina (feat. Isheeta Chakrvarty)","In Other Words","Anhad + Tanner;Isheeta Chakrvarty",2020-08-14,331026,16,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:29:44Z,"indian indie,hindi indie","Gravity Sounds",0.566,0.48,2,-12.349,0,0.0331,0.554,0.687,0.0729,0.0736,140.009,4
spotify:track:4GdSydpo68O9XnTnnmSntO,"Rasiya","Grounded in Space","Advaita",2009-03-06,338840,25,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:30:04Z,"indian indie,hindi indie","Advaita",0.482,0.577,8,-11.821,1,0.0309,0.581,0.919,0.115,0.256,149.982,4
spotify:track:0HBs3NUUS4qDOX6MAuNuG2,"Baithi Hai","Songs of Trance","Amit Trivedi;Amitabh Bhattacharya;Sharmistha Chatterjee",2020-10-14,202076,45,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:35:31Z,"bollywood,hindi pop,gujarati garba,desi,hindi indie,indian indie","Amit Trivedi Azaad",0.769,0.462,5,-9.176,0,0.0351,0.33,0.0943,0.117,0.0539,96.001,4
spotify:track:5SvAonia2IhHVX4aFLUFCM,"Pareshaan","Pareshaan","faizal;Bhumi",2022-03-25,151200,14,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:30:13Z,"desi hip hop,indian indie,hindi indie,hindi hip hop,tamil indie","faizal & Bebhumika",0.658,0.421,4,-7.355,1,0.19,0.413,0,0.155,0.446,100.272,4
spotify:track:1ftqBj67v2sO7CJcNcUWRV,"Preet","Tabia","Prabh Deep",2021-03-04,198680,0,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:40:04Z,"desi hip hop,hindi hip hop,punjabi hip hop,indian indie","Azadi Records",0.667,0.734,5,-7.038,0,0.056,0.0827,0.0021,0.112,0.345,92.997,4
spotify:track:29oDEupGopJp1BVQb1Pk2L,"Antibambi","Play the Piano Drunk Like a Percussion Instrument Until the Fingers Begin to Bleed a Bit","JBABE",2019-10-18,204083,0,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:40:14Z,"indian indie,hindi indie","Jbabe",0.68,0.493,11,-9.294,0,0.127,0.547,0.000152,0.126,0.476,139.988,4
spotify:track:5NDeopMvrUgr5Om56eKq4c,"Lakh Tut Ju","All or Nothing","2NV;Billa Ferozepuria",2020-05-31,152727,21,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:30:52Z,"bhangra","2NV Music",0.855,0.857,1,-5.813,1,0.0886,0.422,0.0000175,0.109,0.859,132.004,4
spotify:track:3sl51Z3sTpiedX9bDFEX9f,"Saanp","Saanp","Katoptris",2021-06-11,152067,0,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:39:12Z,"indian indie,hindi indie,hindi hip hop,desi hip hop","Kenmark ITan Solutions",0.863,0.611,1,-4.397,0,0.0514,0.0484,0.00654,0.158,0.0787,116.009,4
spotify:track:33pI6gmz2JXXx0hrEkOibv,"Berang","Berang","Siddhant;Natiq",2021-12-05,183000,14,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:40:27Z,"punjabi pop,hindi indie,desi hip hop,indian indie,hindi hip hop","Siddhant",0.585,0.406,5,-11.917,0,0.0402,0.63,0.00553,0.0864,0.301,180.086,4
spotify:track:5QJYLRisVQTgS5HfVkUFxE,"Dilruba","Khayaal","Natiq;Teesri Duniya",2019-12-16,208615,0,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:40:35Z,"desi hip hop,hindi indie,indian indie,hindi hip hop","Natiq",0.813,0.565,11,-6.368,1,0.079,0.457,0.0442,0.105,0.629,89.986,4
spotify:track:2pxnkj24Q74womJqc3nb57,"Kehdena","Kehdena","Faizan;Natiq",2021-10-25,214396,27,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:40:42Z,"hindi indie,desi hip hop,indian indie,hindi hip hop","J Block",0.645,0.14,2,-14.061,1,0.0459,0.831,0.00616,0.11,0.303,129.813,4
spotify:track:3xAyShHSX808m3QMlYwV25,"Hoor","Hoor","Siddhant;Natiq;Tarun.",2022-06-08,210461,7,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:40:48Z,"punjabi pop,hindi indie,desi hip hop,indian indie,hindi hip hop","Siddhant",0.732,0.596,6,-8.208,0,0.299,0.62,0.0000596,0.484,0.823,129.965,4
spotify:track:0R2S2ZlDH2fKbYqH1S8GxE,"Har Taraf","Har Taraf","Natiq;Suspendednotes",2020-12-18,141681,0,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:40:54Z,"desi hip hop,hindi indie,indian indie,hindi hip hop","Natiq",0.681,0.132,6,-16.163,0,0.388,0.908,0.768,0.113,0.134,134.188,4
spotify:track:0ywHt5qfKPIF0cAf6FZm21,"Kalla Killah","Kalla Killah","Siddhant;Faichan",2022-06-17,165517,13,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:32:01Z,"punjabi pop,hindi indie,desi hip hop,indian indie,hindi hip hop","Saregama",0.632,0.548,5,-6.476,0,0.324,0.377,0,0.11,0.39,68.632,4
spotify:track:1zDAkehGGqrvTqwJBzTzEi,"Tabia","Tabia","Prabh Deep",2021-03-04,146266,0,false,31mgi2ppjn6pv5wajshnxrsxmlwi,2022-10-28T14:32:37Z,"desi hip hop,hindi hip hop,punjabi hip hop,indian indie","Azadi Records",0.669,0.413,0,-10.021,0,0.0681,0.824,0.00000392,0.0983,0.132,108.118,4
