Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1yMbUKRRiISrp66LUHRpSr,"Cole’s Memories - Original Mix","We Are Your Friends (Music From The Original Motion Picture)","Pyramid",2015-08-21,351213,51,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"electronica","UMGRI Interscope",0.573,0.522,8,-11.369,1,0.0388,0.00452,0.792,0.0932,0.0517,125.987,4
spotify:track:51hSi1p7g2KdXg7fJA1Hgp,"The Drop","The Drop EP","Bro Safari",2013-10-22,229850,39,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"moombahton,edm trap,dubstep","Bro Safari Music",0.689,0.88,0,-3.964,0,0.101,0.105,0.0283,0.447,0.528,170.039,4
spotify:track:5q0KO2b7OhbGzhyvbQffMD,"Ah Yeah So What - SCNDL Remix","Ah Yeah So What (Remixes)","Will Sparks;SCNDL;Wiley;Elen Levon",2015-03-05,258750,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"melbourne bounce,big room,techno,bounce,aussie drill,grime,uk grime,tropical house","Hussle Recordings",0.769,0.978,5,-3.597,0,0.156,0.0941,0.317,0.765,0.475,127.984,4
spotify:track:2r78H9qsYkFBLbVA640gBs,"Break Yourself","We Are Your Friends (Music From The Original Motion Picture)","Hook N Sling;Far East Movement;Pusha T",2015-08-21,201106,4,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"","UMGRI Interscope",0.875,0.843,1,-5.851,1,0.0846,0.137,0.0122,0.117,0.333,120.023,4
spotify:track:57kR5SniQIbsbVoIjjOUDa,"You Know You Like It","You Know You Like It","DJ Snake;AlunaGeorge",2014-10-14,247266,80,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"","Universal-Island Records Ltd.",0.407,0.725,5,-5.346,0,0.188,0.0141,0.00000246,0.306,0.247,196.093,4
spotify:track:3B1Je3rlEac3p4ikYW13zw,"Define","Define","Dom Dolla;Go Freek",2015-07-24,232129,67,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"house,tech house,future house","Sweat It Out",0.405,0.808,0,-3.867,0,0.0355,0.18,0.000412,0.133,0.32,122.043,4
spotify:track:0y6gmJdgwbpXJ9J4Zp5Qrh,"See You in the Other Side","The Hall","Pyramid",2011-03-28,332000,53,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"electronica","Space Designer",0.559,0.701,5,-9.843,0,0.0446,0.00432,0.874,0.117,0.0757,130.019,4
spotify:track:5SrkUJPvHtyW1c8llSYtHv,"Plaisir de France (Reconstitution)","Reconstitutions","Alexandre Chatelard",2010-04-26,240064,42,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"","Ekler",0.912,0.701,5,-6.35,0,0.0574,0.00152,0.844,0.0819,0.288,120.008,4
spotify:track:50rbvzYGOj4fczxI2NrVR1,"Another Sky - The Magician Remix","Another Sky","Scenic;The Magician",2011-08-15,400226,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"","Future Classic",0.666,0.938,6,-6.156,1,0.0382,0.0997,0.886,0.119,0.885,120.001,4
spotify:track:5n9DJWUiwuKuPE9sCVbQ0n,"Something About You","Something About You","Hayden James",2015-04-22,225181,69,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"","EMI",0.861,0.602,2,-7.314,0,0.0617,0.369,0.0644,0.0751,0.684,114.978,4
spotify:track:1byNRv4Mb2usF2sCSMXp60,"Sister Saviour - DFA vocal remix","Sister Saviour","The Rapture;Tim Goldsworthy;James Murphy",2003-01-01,265293,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"new rave,indie dance,electroclash,alternative dance","EMI",0.746,0.715,7,-6.317,1,0.047,0.00436,0.475,0.0768,0.487,117.012,4
spotify:track:00lopN8UjPU58scvfgjSPK,"Pushing On","Pushing On","Oliver Dollar;Jimi Jules",2014-08-25,163386,1,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"melodic techno","Ultra Records, LLC",0.741,0.822,6,-4.475,0,0.0428,0.00297,0.00215,0.232,0.717,122.006,4
spotify:track:2FgJ0toSqpItZ8BOUO4RLm,"Need Your Lovin - Tiger & Woods Remix","Need Your Lovin (Tiger & Woods Remix)","Tensnake;Tiger & Woods",2011-12-09,459115,0,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"nu disco,deep house,disco house,italo disco","Permanent Vacation",0.695,0.942,0,-7.48,0,0.0509,0.0933,0.876,0.572,0.629,113.986,4
spotify:track:3uwagf49mKxwrDLuRtHqAZ,"Songs Remind Me of You - The Swiss Remix","Songs Remind Me of You","Annie",2010-07-20,361209,32,false,22nfklp6e2bdvfz6yfb4e5zdy,2022-01-09T13:29:40Z,"electropop,norwegian pop,electroclash","Smalltown Supersound",0.658,0.812,9,-7.732,0,0.0482,0.00777,0.304,0.058,0.93,124.008,4
