Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4nuzsRJmL3fynIYihttE0H,"Yana Pula","Zeal","Vanco;TroyMusiq",2019-06-14,398048,14,false,,1970-01-01T00:00:00Z,"afro tech,afro house,private school piano","Ocha Mzansi",0.785,0.702,8,-8.489,1,0.0501,0.00637,0.141,0.0813,0.276,123,4
spotify:track:19GkT8wYkfB3Gw9CokBCIV,"You're Not Alone","You're Not Alone","MoBlack;Agoria;Simone Santagati;Blasé",2026-05-22,296000,9,false,,1970-01-01T00:00:00Z,"afro house,afro tech","Universal Music Division Virgin Records",0.67,0.906,8,-7.779,0,0.0371,0.00237,0.666,0.0731,0.127,120.003,4
spotify:track:22PU4pVszaCGSD8QQnu3L5,"Majo","Majo","LevyM;Lesgo 966",2026-05-22,208780,2,false,,1970-01-01T00:00:00Z,"afro house,afro tech,3 step,amapiano,private school piano","Ópalo Records",0.704,0.94,9,-6.236,0,0.0379,0.0182,0.024,0.168,0.36,122.985,4
spotify:track:3mzeSNOqCwZ5l32GqVVX4j,"Battles - Drumapella Mix","Battles","BADBOX;Dr Feel;Native Tribe & Da Q-Bic",2022-12-16,237000,33,false,,1970-01-01T00:00:00Z,"afro tech,afro house,tribal house,3 step","Sudam Recordings",0.843,0.62,2,-7.829,1,0.0535,0.00233,0.866,0.058,0.172,121.993,4
spotify:track:61J7enpGqNf6rSNs91OUQD,"Xakanga - Ralf GUM Radio Edit","Xakanga","Ralf Gum;Toshi",2020-10-02,222302,25,false,,1970-01-01T00:00:00Z,"deep house,jazz house,house,afro tech,afro house,tribal house","Gogo Music",0.915,0.515,0,-9.124,1,0.088,0.177,0.891,0.134,0.647,123.109,4
spotify:track:0kpstkWosDu38GQS4AKgD6,"Anymore - Atmos Blaq Remix","Anymore","DJ Tomer;Ricardo;Nuzu Deep;Atmos Blaq",2021-04-23,393673,19,false,,1970-01-01T00:00:00Z,"afro tech,afro house,3 step,tribal house,melodic house,gqom","Union Records",0.762,0.511,7,-14.596,0,0.082,0.000382,0.661,0.493,0.327,121.995,4
spotify:track:4vIkXt1OWEjXHYUNwIjqmU,"My Soul","Afro Paradise, Vol.3","Vanco",2024-02-16,213120,5,false,,1970-01-01T00:00:00Z,"afro tech,afro house","Graba Music",0.811,0.681,11,-8.19,1,0.0458,0.000434,0.893,0.117,0.208,125.011,4
spotify:track:2yX55kFZ5jeLy9N61TLpZI,"Barasu Ayo","Barasu Ayo","Claudio Ricci",2021-11-27,375371,13,false,,1970-01-01T00:00:00Z,"melodic house","COYA MUSIC",0.798,0.721,1,-9.439,1,0.0511,0.0000266,0.796,0.0762,0.12,120.997,4
spotify:track:2740xS5BDXNym9IFT7zcEW,"Sandcastle","Sandcastle","Toprak Baris;Tal Barahya;Green Baker",2025-06-20,227350,34,false,,1970-01-01T00:00:00Z,"afro house,turkish pop,afro tech","House Music With Love",0.794,0.669,10,-8.615,0,0.059,0.247,0.848,0.245,0.0819,120.012,4
spotify:track:4h6ZnBuN9vzgg7nP86uYfP,"Mkatakata","Bayethe EP","DJ Qness;Ilitha Lelanga Marimba Ensemble",2020-08-21,359848,15,false,,1970-01-01T00:00:00Z,"afro tech,afro house,deep house,tribal house","Elements",0.732,0.764,5,-9.752,0,0.0391,0.0659,0.899,0.0809,0.175,119.999,4
