Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wl5EdJziwUSvnt9KEh4S8,"Kalaa","Sónar 25: An advanced music mixtape by Black Coffee","Pablo Fierro",2018-05-10,410280,37,false,11136031964,2020-12-29T17:39:41Z,"afro house,afro tech,tribal house,latin house,deep house,organic house","Black Coffee",0.804,0.824,0,-15.663,0,0.054,0.139,0.917,0.146,0.144,121.794,4
spotify:track:0yRbdmtSZIAt29prSfst2U,"We Are One - Black Coffee Original Dub","We Are One","Black Coffee;Hugh Masekela",2011-02-16,478310,43,false,11136031964,2020-12-29T17:39:44Z,"afro house,afro tech,house,afro soul,afrobeat","Universal Music (Pty) Ltd.",0.805,0.715,1,-9.84,0,0.0491,0.001,0.905,0.0765,0.564,124.011,4
spotify:track:4rSpUjqW7KTn4Whk9vEIv5,"Muyè (Black Coffee Remix)","Sónar 25: An advanced music mixtape by Black Coffee","Black Coffee;Keinemusik",2018-05-10,440920,49,false,11136031964,2020-12-29T17:39:47Z,"afro house,afro tech,house,melodic house","Black Coffee",0.573,0.83,7,-12.678,1,0.0354,0.134,0.867,0.113,0.0367,121.941,4
spotify:track:2c1tZgqbw9blstEXyzPHru,"Buya - Da Capo Remix","Buya","Black Coffee;Toshi;Da Capo",2016-08-26,464182,0,false,11136031964,2020-12-29T17:40:04Z,"afro house,afro tech,house,3 step,tribal house,deep house","Get Physical Music",0.851,0.734,8,-9.556,0,0.0558,0.00171,0.601,0.0358,0.496,124.986,4
spotify:track:5TxEZgAUddBRlcgqehFci9,"All Alone (feat. Argento Dust)","All Alone","Shimza;Argento Dust",2018-06-29,359817,39,false,11136031964,2020-12-29T17:40:07Z,"afro house,afro tech,3 step,gqom,amapiano,tribal house","Madorasindahouse Records",0.72,0.473,11,-12.961,1,0.0413,0.00203,0.871,0.0931,0.357,123.007,4
spotify:track:0lgjH1m0zBOUGqEW599k07,"Kelaya","BLACK by Culoe De Song","Da Capo",2018-03-20,328046,32,false,11136031964,2020-12-29T17:40:10Z,"afro tech,afro house,3 step,tribal house,deep house","Culoe De Song",0.726,0.819,11,-11.362,0,0.0467,0.0552,0.784,0.311,0.702,122.996,4
spotify:track:2RDzkYukAw2HdDRKjzs9Yc,"The Night","The Night","Leroy Styles",2018-08-23,371403,27,false,11136031964,2020-12-29T17:40:14Z,"afro tech","Other Days Records",0.475,0.863,1,-6.368,1,0.0585,0.00343,0.859,0.0876,0.108,160.032,5
spotify:track:64JJhLaMse4NPag7BFtwyU,"Traveller (Kususa & QueTornik Official Remix)","Black Coffee Ibiza 17 Appreciation Mix","DeMajor;Lizwi;Kususa",2017-10-08,350122,35,false,11136031964,2020-12-29T17:40:18Z,"afro tech,afro house,tribal house,3 step,gqom","Soulistic Music",0.675,0.906,11,-9.166,0,0.0354,0.000262,0.85,0.143,0.176,122.013,4
spotify:track:4ok4NiGs5EmP9T04AEDBA9,"Umbovukazi","Hyenah presents RISE RADAR 01","Da Capo",2019-09-13,444263,42,false,11136031964,2020-12-29T17:40:23Z,"afro tech,afro house,3 step,tribal house,deep house","Rise Music",0.833,0.759,0,-8.941,1,0.149,0.017,0.856,0.0898,0.155,122.013,4
spotify:track:4s3zzMFfU0MQ1FJDaMHXx8,"The Creation","Sónar 25: An advanced music mixtape by Black Coffee","Vestaa",2018-05-10,283266,32,false,11136031964,2020-12-29T17:40:27Z,"afro tech,afro house","Black Coffee",0.749,0.849,1,-9.345,1,0.0533,0.0401,0.915,0.0446,0.725,122.004,4
spotify:track:3rh9sbfAaCNSLRc2dPUGme,"From A Distance","Incognito","Calypso De Sir",2018-02-02,377995,0,false,11136031964,2020-12-29T17:40:31Z,"afro tech,afro house","DM.Recordings",0.742,0.894,6,-7.634,0,0.0389,0.000128,0.759,0.0582,0.581,122.983,4
