Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0I7sLmQnnQetMc1vKrRR2E,"Fuck The Funk","Fuck The Funk","G.E",2023-11-03,270486,0,false,11171198644,2023-11-03T18:46:14Z,"acid techno,hard techno,techno","Gwenn Elderhorst",0.652,0.916,10,-10.33,0,0.046,0.00405,0.866,0.103,0.301,139.984,4
spotify:track:2veUJ8zZGo947piavlkG9k,"Airstrike","Airstrike","G.E",2023-03-08,295327,10,false,11171198644,2023-03-14T19:57:45Z,"acid techno,hard techno,techno","G.E",0.622,0.876,7,-8.602,1,0.0365,0.00203,0.0555,0.0647,0.301,145.067,4
spotify:track:49ZHCS7t7cRCTDVMlbBSg7,"Public Agony","Public Agony","MIT",2023-06-23,318100,7,false,11171198644,2023-06-23T08:06:05Z,"hard techno,techno","MIT",0.5,0.97,1,-6.896,0,0.0659,0.0000722,0.821,0.0887,0.0396,149.971,4
spotify:track:24XDkZsHa7ykuinmQOJc4i,"Injection","Nothingness EP","Alignment",2020-11-20,378748,0,false,11171198644,2022-03-31T13:53:15Z,"hard techno,techno,acid techno,tekno","KNTXT",0.648,0.9,4,-10.267,1,0.0494,0.0135,0.783,0.13,0.491,140.003,4
spotify:track:6Y7Gyq3q0DMeF5nXJx13ed,"Craving Violence","Craving Violence","MIT",2022-11-25,317008,21,false,11171198644,2022-12-26T14:21:08Z,"hard techno,techno","MIT",0.563,0.99,1,-8.407,1,0.102,0.000298,0.847,0.064,0.425,75.002,4
spotify:track:52HfNdv2xIFjD1Z3Zmu9tu,"I Be Good To You Baby","Nasty Word","H! Dude;ROBPM",2020-04-24,344545,19,false,11171198644,2021-12-03T21:19:32Z,"hard techno,techno,acid techno,hardcore techno,tekno","Autektone Dark",0.836,0.856,1,-7.156,1,0.0467,0.178,0.878,0.291,0.135,132.004,4
spotify:track:4GEyFz3H1CcBNzusy3WBZp,"Paro Hour","Paro Hour","Luciid",2022-09-30,361695,0,false,11171198644,2023-01-09T20:54:15Z,"hard techno,techno,acid techno,tekno,hardcore techno","Kneaded Pains",0.7,0.939,10,-7.938,0,0.192,0.0725,0.911,0.191,0.0469,74.993,4
spotify:track:3VyCBpr1POQQmx8BqwgZiG,"Hellfire","Hellfire","Luciid",2022-12-09,360000,0,false,11171198644,2023-01-09T20:54:36Z,"hard techno,techno,acid techno,tekno,hardcore techno","Kneaded Pains",0.664,0.98,7,-5.793,1,0.22,0.000537,0.745,0.144,0.119,153.967,4
spotify:track:6dNvlUpFOUMVdQb6GnnDqp,"Dreadnought","KPAINS2","Luciid;Alt8",2020-02-07,430187,0,false,11171198644,2023-01-09T20:55:28Z,"hard techno,techno,acid techno,tekno,hardcore techno","Kneaded Pains",0.729,0.997,11,-7.194,1,0.0669,0.00221,0.893,0.0736,0.281,134.987,4
spotify:track:7kzq9FpJiUmqVCmoPOUNkU,"D.O.L.L.A","Mob / D.O.L.L.A","Luciid",2019-12-06,295072,14,false,11171198644,2023-01-09T20:55:15Z,"hard techno,techno,acid techno,tekno,hardcore techno","Autektone Dark",0.781,0.93,5,-10.003,0,0.0537,0.022,0.508,0.234,0.455,129.988,4
